Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
3326 101 2022 012 031 1,3326,31/12/22,BANJIR,PEKALONGAN,Jawa Tengah,Dipicu hujan dengan intensitas tinggi dengan durasi yang cukup lama,0,0,0,0,5082,0
3315 101 2022 012 031 1,3315,31/12/22,BANJIR,GROBOGAN,Jawa Tengah,Dipicu hujan dengan intersiatas tinggi,1,0,0,0,2881,1
3319 101 2022 012 031 1,3319,31/12/22,BANJIR,KUDUS,Jawa Tengah, Dipicu hujan dengan intensitas tinggi,0,0,0,0,44713,0
3321 101 2022 012 031 1,3321,31/12/22,BANJIR,DEMAK,Jawa Tengah,dipicu hujan dengan intesitas tinggi disertai angin kencang,0,0,0,109,39240,0
3318 101 2022 012 031 1,3318,31/12/22,BANJIR,PATI,Jawa Tengah, Dipicu hujan dengan intensitas tinggi sehingga meluapnya sungai Juwana/Silugonggo,0,0,0,0,6301,0
3324 101 2022 012 031 1,3324,31/12/22,BANJIR,KENDAL,Jawa Tengah,Dipicu hujan dengan intensitas tinggi,0,0,0,7,17264,0
3603 101 2022 012 031 1,3603,31/12/22,BANJIR,TANGERANG,Banten,dipicu akibat hujan dengan intensitas sedang hingga lebat disertai meluapnya kali Cidurian,0,0,0,3,367,0
3374 101 2022 012 031 1,3374,31/12/22,BANJIR,KOTA SEMARANG,Jawa Tengah,Dipicu hujan dengan intersiatas tinggi disertai gelombang air pasang laut,6,0,0,0,11812,0
3375 101 2022 012 030 1,3375,30/12/22,BANJIR,KOTA PEKALONGAN,Jawa Tengah,Dipicu hujan dengan intensitas tinggi dengan durasi yang cukup lama,0,0,0,0,311,0
3601 101 2022 012 030 1,3601,30/12/22,BANJIR,PANDEGLANG,Banten,hujan lebat dengan intensitas tinggi hingga sedang,0,0,0,0,1722,0
3320 101 2022 012 030 1,3320,30/12/22,BANJIR,JEPARA,Jawa Tengah,dipicu akibat hujan dengan intensitas sedang hingga lebat,0,0,0,3,103,0
3604 101 2022 012 029 1,3604,29/12/22,BANJIR,SERANG,Banten,Hujan dengan intensitas tinggi,0,0,0,0,351,0
3603 101 2022 012 029 1,3603,29/12/22,BANJIR,TANGERANG,Banten,curah hujan intensitas tinggi dan meluapnya sungai cidurian .,0,0,0,0,48,0
3374 101 2022 012 029 1,3374,29/12/22,BANJIR,KOTA SEMARANG,Jawa Tengah,Belum Diketahui,0,0,0,3,0,0
7371 101 2022 012 029 1,7371,29/12/22,BANJIR,KOTA MAKASSAR,Sulawesi Selatan,hujan dengan intensitas tinggi dan cuaca ekstrem,0,0,0,0,1176,0
1173 101 2022 012 029 1,1173,29/12/22,BANJIR,KOTA LANGSA,Aceh,hujan intensitas tinggi dan DAS ambruk,0,0,0,0,8,0
3320 101 2022 012 029 1,3320,29/12/22,BANJIR,JEPARA,Jawa Tengah,terjadi banjir rob dan gelombang tinggi di beberapa wilayah pesisir  Jepara yang mengakibatkan beberapa wilayah tergenang.,0,0,0,0,317,0
3601 101 2022 012 028 1,3601,28/12/22,BANJIR,PANDEGLANG,Banten,Dipicu hujan dengan intensitas tinggi dengan durasi yang lama,0,0,0,0,94,0
3315 101 2022 012 027 1,3315,28/12/22,BANJIR,GROBOGAN,Jawa Tengah,"Akibat Dampak Banjir di Wilayah Kecamatan Geyer dan air menuju hilir (Sungai Lusi) serta kiriman air dari hulu (Bendung Dumpil) sungai lusi tidak mampu menampung debit air,  sehingga air meluap menggenangi jalan dan area persawahan",0,0,0,0,518,0
7322 101 2022 012 027 1,7322,28/12/22,BANJIR,LUWU UTARA,Sulawesi Selatan,Akibat jebolnya tanggul di Desa tetangga yakni di desa Lembang Lembang tepatnya di dusun Sukamakmur hingga masuk ke wilayah desa Cenning,0,0,0,0,199,0
5311 101 2022 012 028 1,5311,28/12/22,BANJIR,ENDE,Nusa Tenggara Timur,"Dipicu hujan sedang hingga lebat disertai angin kencang pada hari Rabu, 28 Desember 2022, Pkl. 12:45 WITA",0,0,0,0,44,1
3509 101 2022 012 028 1,3509,28/12/22,BANJIR,JEMBER,Jawa Timur,hujan dengan intensitas sedang hingga lebat yang mengakibatkan aliran sungai Kalijompo tidak dapat menampung debit air sehingga meluap ke pemukiman warga dengan ketinggian ±75 - 100 cm,0,0,0,0,0,0
3601 101 2022 012 027 1,3601,27/12/22,BANJIR,PANDEGLANG,Banten,curah hujan yang berintentias tinggi yang meyebabkan air Sungai Cilemer meluap ke pemukiman masyarakat.,0,0,0,0,620,0
3604 101 2022 012 027 1,3604,27/12/22,BANJIR,SERANG,Banten,hujan deras dengan intensitas tinggi sehingga debit air di sungai ciujung mulai tinggi dan meluap,0,0,0,0,209,0
3523 101 2022 012 026 1,3523,26/12/22,BANJIR,TUBAN,Jawa Timur," cuaca ekstrim, gelombang tinggi dan angin kencang",0,0,0,8,0,0
7371 101 2022 012 026 1,7371,26/12/22,BANJIR,KOTA MAKASSAR,Sulawesi Selatan, hujan dengan intensitas tinggi hingga sedang,0,0,0,0,434,0
3216 101 2022 012 025 1,3216,25/12/22,BANJIR,BEKASI,Jawa Barat,Air laut dan cuaca buruk mengakibat kan banjir Rob,0,0,0,0,362,0
5303 101 2022 012 025 1,5303,25/12/22,BANJIR,KUPANG,Nusa Tenggara Timur,Dipicu akibat hujan lebat,1,0,0,68,619,8
3215 101 2022 012 025 1,3215,25/12/22,BANJIR,KARAWANG,Jawa Barat,Meluapnya sungai Cibeet dan Citarum,0,0,0,0,1699,0
5303 101 2022 012 025 1,5303,25/12/22,BANJIR,KUPANG,Nusa Tenggara Timur,"Dipicu hujan dengan intensitas tinggi pada hari Minggu, 25 Desember 2022, Pkl. 06.00 WITA",0,0,0,14,527,3
5307 101 2022 012 025 1,5307,25/12/22,BANJIR,ALOR,Nusa Tenggara Timur,Sebanyak 108 rumah warga terdampak akibat gelombang pasang yang menyebabkan banjir rob melanda dua kecamatan di Kabupaten Alor,0,0,0,44,108,2
5311 101 2022 012 025 1,5311,25/12/22,BANJIR,ENDE,Nusa Tenggara Timur,"Dipicu gelombang pasang pada hari Minggu, 25 Desember 2022, Pkl. 23:00 WITA sehingga mengakibatkan banjir ROB yang melanda pemukiman warga sepanjang pinggir pantai",0,0,0,0,17,0
