No,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1,7403 105 2022 012 031 1,7403,31/12/22,PUTING BELIUNG,KONAWE,SULAWESI TENGGARA,Dokumentasi,Dipicu hujan dengan intesitas tinggi disertai angin kencang,0,0,0,4,0,0
2,3326 101 2022 012 031 1,3326,31/12/22,BANJIR,PEKALONGAN,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi dengan durasi yang cukup lama,0,0,0,0,5082,0
3,3315 101 2022 012 031 1,3315,31/12/22,BANJIR,GROBOGAN,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intersiatas tinggi,1,0,0,0,2881,1
4,3319 101 2022 012 031 1,3319,31/12/22,BANJIR,KUDUS,JAWA TENGAH,Dokumentasi, Dipicu hujan dengan intensitas tinggi,0,0,0,0,44713,0
5,5314 105 2022 012 031 1,5314,31/12/22,PUTING BELIUNG,ROTE NDAO,NUSA TENGGARA TIMUR,Dokumentasi,Dipicu angin kencang,0,0,0,8,0,0
6,3209 105 2022 012 031 1,3209,31/12/22,PUTING BELIUNG,CIREBON,JAWA BARAT,Dokumentasi,Dipicu akibat hujan disertai angin kencang,0,0,0,0,0,8
7,3321 101 2022 012 031 1,3321,31/12/22,BANJIR,DEMAK,JAWA TENGAH,Dokumentasi,dipicu hujan dengan intesitas tinggi disertai angin kencang,0,0,0,109,39240,0
8,3217 105 2022 012 031 1,3217,31/12/22,PUTING BELIUNG,BANDUNG BARAT,JAWA BARAT,Dokumentasi,Dipicu akibat hujan disertai angin kencang,0,0,0,3,0,0
9,3318 101 2022 012 031 1,3318,31/12/22,BANJIR,PATI,JAWA TENGAH,Dokumentasi, Dipicu hujan dengan intensitas tinggi sehingga meluapnya sungai Juwana/Silugonggo,0,0,0,0,6301,0
10,3201 105 2022 012 031 1,3201,31/12/22,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi,Dipicu akibat hujan disertai angin kencang,0,0,0,1,0,1
11,3324 101 2022 012 031 1,3324,31/12/22,BANJIR,KENDAL,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi,0,0,0,7,17264,0
12,3201 105 2022 012 031 1,3201,31/12/22,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi, Dipicu akibat hujan disertai angin kencang,0,0,0,3,0,0
13,3603 101 2022 012 031 1,3603,31/12/22,BANJIR,TANGERANG,BANTEN,Dokumentasi,dipicu akibat hujan dengan intensitas sedang hingga lebat disertai meluapnya kali Cidurian,0,0,0,3,367,0
14,3374 101 2022 012 031 1,3374,31/12/22,BANJIR,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intersiatas tinggi disertai gelombang air pasang laut,6,0,0,0,11812,0
15,5205 105 2022 012 030 1,5205,30/12/22,PUTING BELIUNG,DOMPU,NUSA TENGGARA BARAT,Dokumentasi,Dipicu hujan dengan intesitas tinggi disertai angin kencang,0,0,0,0,0,0
16,3207 105 2022 012 030 1,3207,30/12/22,PUTING BELIUNG,CIAMIS,JAWA BARAT,Dokumentasi,Dipicu akibat hujan disertai angin kencang,0,0,0,2,0,0
17,6201 107 2022 012 030 1,6201,30/12/22,KEBAKARAN HUTAN DAN LAHAN,KOTAWARINGIN BARAT,KALIMANTAN TENGAH,Dokumentasi,Masih dalam Penyelidikan,0,0,0,0,0,0
18,7372 105 2022 012 030 1,7372,30/12/22,PUTING BELIUNG,KOTA PARE-PARE,SULAWESI SELATAN,Dokumentasi,Dipicu hujan dengan intesitas tinggi disertai angin kencang,0,0,0,0,0,0
19,7307 105 2022 012 030 1,7307,30/12/22,PUTING BELIUNG,SINJAI,SULAWESI SELATAN,Dokumentasi,dipicu angin kencang,0,0,0,10,0,0
20,1306 105 2022 012 030 1,1306,30/12/22,PUTING BELIUNG,PADANG PARIAMAN,SUMATERA BARAT,Dokumentasi,Karena curah hujan yang sangat tinggi sehingga terjadi hujan lebat sebagian besar wilayah padang pariaman Dan angin yang kencang menyebabkan ada beberapa titik pohon tumbang dan menerbangkan atap rumah warga,0,0,1,0,0,0
21,3375 101 2022 012 030 1,3375,30/12/22,BANJIR,KOTA PEKALONGAN,JAWA TENGAH,Dokumentasi,Dipicu hujan dengan intensitas tinggi dengan durasi yang cukup lama,0,0,0,0,311,0
22,3601 101 2022 012 030 1,3601,30/12/22,BANJIR,PANDEGLANG,BANTEN,Dokumentasi,hujan lebat dengan intensitas tinggi hingga sedang,0,0,0,0,1722,0
23,5306 105 2022 012 030 1,5306,30/12/22,PUTING BELIUNG,BELU,NUSA TENGGARA TIMUR,Dokumentasi,"Cuaca ekstrem melanda delapan desa/kelurahan di Kabupaten Belu, pada Jumat (30/12/22). Peristiwa tersebut dipicu akibat intensitas curah hujan yang tinggi yang disertai angin kencang",0,0,0,0,0,0
24,7304 105 2022 012 030 1,7304,30/12/22,PUTING BELIUNG,JENEPONTO,SULAWESI SELATAN,Dokumentasi,Hujan disertai angin kencang,0,0,0,29,0,1
25,5309 105 2022 012 030 1,5309,30/12/22,PUTING BELIUNG,FLORES TIMUR,NUSA TENGGARA TIMUR,Dokumentasi,Angin kencang terjadi dengan intensitas yang tinggi sehingga menyebabkan terjadinya kerusakan,0,0,0,520,0,0
26,3272 105 2022 012 030 1,3272,30/12/22,PUTING BELIUNG,KOTA SUKABUMI,JAWA BARAT,Dokumentasi,Dipicu akibat hujan disertai angin kencang,0,0,0,2,0,0
27,7306 105 2022 012 030 1,7306,30/12/22,PUTING BELIUNG,GOWA,SULAWESI SELATAN,Dokumentasi,Dipicu hujan dengan intensitas tinggi hingga disertai angin kencang,0,0,0,41,0,0
28,3320 101 2022 012 030 1,3320,30/12/22,BANJIR,JEPARA,JAWA TENGAH,Dokumentasi,dipicu akibat hujan dengan intensitas sedang hingga lebat,0,0,0,3,103,0
29,3604 101 2022 012 029 1,3604,29/12/22,BANJIR,SERANG,BANTEN,Dokumentasi,Hujan dengan intensitas tinggi,0,0,0,0,351,0
30,6303 105 2022 012 029 1,6303,29/12/22,PUTING BELIUNG,BANJAR,KALIMANTAN SELATAN,Dokumentasi,Hujan deras disertai angin yang bertiup cukup kencang saat kejadian,0,0,0,0,0,0
31,3603 101 2022 012 029 1,3603,29/12/22,BANJIR,TANGERANG,BANTEN,Dokumentasi,curah hujan intensitas tinggi dan meluapnya sungai cidurian .,0,0,0,0,48,0
32,3509 105 2022 012 029 1,3509,29/12/22,PUTING BELIUNG,JEMBER,JAWA TIMUR,Dokumentasi,hujan deras disertai angin kencang,0,0,0,1,0,0
33,7310 105 2022 012 029 1,7310,29/12/22,PUTING BELIUNG,BARRU,SULAWESI SELATAN,Dokumentasi,Pada Pukul 19.15 WITA Terjadi Hujan Sedang hingga Lebat disertai Angin Kencang Sehingga mengakibatkan Pohon Tumbang dan Kerusakan Pemukiman di beberapa wilayah Kab. Baru,0,0,0,0,0,0
34,3374 101 2022 012 029 1,3374,29/12/22,BANJIR,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,Belum Diketahui,0,0,0,3,0,0
35,3201 105 2022 012 029 1,3201,29/12/22,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi,hujan deras disertai angin kencang dan kondisi bangunan yang sudah lapuk mengakibatkan satu unit rumah jebol di bagian atap.,0,0,0,0,0,0
36,7371 101 2022 012 029 1,7371,29/12/22,BANJIR,KOTA MAKASSAR,SULAWESI SELATAN,Dokumentasi,hujan dengan intensitas tinggi dan cuaca ekstrem,0,0,0,0,1176,0
37,1173 101 2022 012 029 1,1173,29/12/22,BANJIR,KOTA LANGSA,ACEH,Dokumentasi,hujan intensitas tinggi dan DAS ambruk,0,0,0,0,8,0
38,3510 105 2022 012 029 1,3510,29/12/22,PUTING BELIUNG,BANYUWANGI,JAWA TIMUR,Dokumentasi,hujan disertai angin kencang,0,0,0,0,0,0
39,3320 101 2022 012 029 1,3320,29/12/22,BANJIR,JEPARA,JAWA TENGAH,Dokumentasi,terjadi banjir rob dan gelombang tinggi di beberapa wilayah pesisir  Jepara yang mengakibatkan beberapa wilayah tergenang.,0,0,0,0,317,0
40,5304 105 2022 012 029 1,5304,29/12/22,PUTING BELIUNG,TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR,Dokumentasi,"cuaca ekstrem melanda wilayahnya sejak tanggal 29 Desember 2022 sampai dengan 04 Januari 2023. Peristiwa tersebut berdampak pada rusaknya rumah warga, fasilitas umum serta terhambatnya arus trasnportasi",0,0,0,25,0,0
41,3601 101 2022 012 028 1,3601,28/12/22,BANJIR,PANDEGLANG,BANTEN,Dokumentasi,Dipicu hujan dengan intensitas tinggi dengan durasi yang lama,0,0,0,0,94,0
