subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,avg_ce_2018-2022
Aceh,28.125,218669.9510869565,28289528.79347826,117.125,900442.1739130435,519897.3768115942,380544.8985507246,447685.02898550726,276457.6376811594,339163.85507246375,474814.0869565217,714962.463768116,576737.0869565217,638902.4782608695,1040915.3913043478,1863570.072463768,1069746.579710145,1309521.2898550725,1340021.7536231885,997518.1884057971,1492913.1014492754,845858.0144927537,1203528.9130434783,1096502.927536232,1131596.0289855073,718415.1449275363,753525.8985507246,777626.3188405797,699745.9130434783,816181.8608695653
Bali,28.125,42568.805555555555,4303349.0,92.90277777777777,21823.85185185185,234244.03703703705,-212420.11111111112,27601.185185185186,20146.62962962963,12603.185185185184,23137.666666666668,15799.111111111111,34298.74074074074,33461.03703703704,15633.148148148148,24712.62962962963,13371.185185185184,14120.925925925925,47126.81481481482,16413.59259259259,46213.40740740741,7165.666666666667,10212.185185185184,15300.814814814816,20643.074074074073,40780.444444444445,11571.444444444445,12699.888888888889,17110.925925925927,20561.155555555557
Banten,28.125,74869.765625,6958592.53125,75.0,142978.0,398606.0416666667,-255628.125,73621.5,123731.16666666667,19556.625,98161.125,37232.208333333336,127462.66666666667,72478.91666666667,67311.29166666667,205031.45833333334,119539.58333333333,162027.25,260318.79166666666,126217.04166666667,159843.125,182120.04166666666,131986.41666666666,238019.875,239965.58333333334,312216.2916666667,145269.91666666666,135755.83333333334,107647.41666666667,188171.00833333333
Bengkulu,28.125,179550.1125,23030522.2625,115.8875,1310411.7333333334,664428.9333333333,645982.7333333333,974567.5333333333,721183.9,564814.8,1777253.2333333334,896105.5,1531186.7666666666,1207486.7666666666,1507349.1333333333,1296640.4,1082482.6333333333,1744886.0333333334,2004985.7666666666,915601.0,1338979.4333333333,1376167.3666666667,1620637.0666666667,1814503.1333333333,1666667.3,1170325.2,1082629.3,938323.1,1596284.2333333334,1290845.8266666667
DI Yogyakarta,28.125,31423.7,2085988.375,71.0,5732.066666666667,122805.33333333333,-117073.4,7864.6,2952.133333333333,734.0,5608.933333333333,1348.5333333333333,5802.266666666666,1628.0666666666666,2359.5333333333333,2343.9333333333334,18526.266666666666,20329.933333333334,5231.4,1830.2,4052.4666666666667,3172.5333333333333,5266.0,8679.866666666667,9846.933333333332,5215.933333333333,4504.533333333334,5841.333333333333,2964.266666666667,5674.599999999999
DKI Jakarta,28.125,1665.2916666666667,17141.979166666668,37.520833333333336,35.388888888888886,2279.8333333333335,-2244.3888888888887,110.5,1.1111111111111112,14.277777777777779,71.33333333333333,12.777777777777779,177.61111111111111,100.55555555555556,14.88888888888889,5.277777777777778,84.77777777777777,102.16666666666667,27.333333333333332,12.944444444444445,0.0,5.055555555555555,0.0,36.0,0.0,0.0,2.4444444444444446,0.0,0.0,0.48888888888888893
Gorontalo,28.125,145679.10714285713,20965578.26785714,118.21428571428571,564185.7619047619,320098.09523809527,244087.7619047619,321477.14285714284,747964.2857142857,281757.61904761905,638908.0952380953,418330.6666666667,493982.14285714284,403275.38095238095,160868.2857142857,981673.8095238095,140816.38095238095,272520.95238095237,397623.90476190473,681150.4285714285,1094111.761904762,1260074.6666666667,1033322.8571428572,690802.9047619047,720792.8095238095,928144.619047619,289398.0,198043.42857142858,257048.52380952382,478685.4761904762
Jambi,28.125,406843.875,44351489.30681818,107.70454545454545,5503927.363636363,2129081.757575758,3374845.6363636362,2988114.272727273,3200286.1818181816,1543674.303030303,7826672.696969697,5447498.454545454,7466546.575757576,8246057.878787879,9117391.090909092,8715741.727272727,2388489.6363636362,3198299.121212121,10731900.151515152,4585855.242424242,4908468.03030303,3717387.606060606,11382852.757575758,4974945.333333333,3890565.6666666665,3782696.3333333335,4864275.96969697,3842361.5757575757,4266322.363636363,4129244.3818181814
Jawa Barat,28.125,80082.98148148147,7421308.384259259,83.00925925925925,83811.43209876544,338526.43209876545,-254714.9135802469,167652.38271604938,89867.6049382716,50798.60493827161,73810.76543209876,53510.88888888889,109857.34567901235,71994.20987654322,118620.79012345678,64976.41975308642,61375.753086419754,119349.02469135802,86095.74074074074,51911.345679012345,77157.77777777778,67930.65432098765,78830.20987654322,108111.12345679013,84964.65432098765,127930.56790123456,70354.90123456791,54576.0,54174.91358024691,78400.2074074074
Jawa Tengah,28.125,48053.0625,3922219.996527778,82.23611111111111,37894.26851851852,216471.60185185185,-178577.21296296295,45688.055555555555,27959.86111111111,13148.305555555555,52663.75925925926,26026.90740740741,47486.47222222222,44308.833333333336,40192.194444444445,48060.055555555555,21429.814814814814,67779.97222222222,39325.583333333336,16073.888888888889,39156.416666666664,24979.824074074073,35697.34259259259,52847.0462962963,38093.833333333336,40250.82407407407,42191.583333333336,35126.101851851854,35188.43518518518,38170.15555555556
