subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,avg_tc_loss_2018-2022
Aceh,28.125,247115.30434782608,218669.9510869565,214262.01086956522,5615.913043478261,790.6739130434783,473.4021739130435,511.8804347826087,824.5597826086956,1142.4565217391305,919.8967391304348,1045.233695652174,1591.3641304347825,2989.8804347826085,1764.0978260869565,2054.9565217391305,2135.5054347826085,1789.1467391304348,2530.358695652174,1466.5978260869565,2164.304347826087,1982.6902173913043,1995.804347826087,1237.1576086956522,1310.6032608695652,1375.266304347826,1289.9076086956522,1441.7478260869564
Bali,28.125,62118.77777777778,42568.805555555555,44537.88888888889,445.77777777777777,46.5,34.291666666666664,19.84722222222222,40.5,26.02777777777778,56.541666666666664,55.56944444444444,25.27777777777778,41.27777777777778,21.76388888888889,24.5,86.23611111111111,50.208333333333336,113.40277777777777,14.86111111111111,17.59722222222222,29.944444444444443,35.513888888888886,81.70833333333333,18.666666666666668,22.694444444444443,29.76388888888889,37.66944444444444
Banten,28.125,116902.75,74869.765625,71424.71875,1338.625,130.28125,217.390625,35.984375,173.140625,67.234375,238.0625,131.25,114.953125,341.15625,202.421875,286.796875,407.625,226.453125,281.53125,327.84375,242.921875,428.734375,420.296875,585.59375,252.9375,235.734375,190.46875,337.00625
Bengkulu,28.125,198146.8,179550.1125,179112.5625,6629.1,1413.9,1038.8375,807.8,2590.4375,1310.3625,2349.8875,1751.9125,2229.275,1870.4625,1597.1375,2450.85,2768.2875,1411.3,2023.5125,2014.0125,2425.4125,2710.5,2452.1875,1815.1375,1622.8125,1435.425,2381.5625,1941.425
DI Yogyakarta,28.125,63536.8,31423.7,27172.65,367.6,15.95,6.225,1.675,13.4,2.875,11.975,3.8,5.125,4.95,28.1,33.95,10.875,5.775,11.175,8.15,13.225,21.9,27.6,14.1,11.35,13.675,7.4,14.825000000000003
DKI Jakarta,28.125,10892.333333333334,1665.2916666666667,1602.7916666666667,179.16666666666666,0.5833333333333334,0.0,0.0,0.16666666666666666,0.0,0.5833333333333334,0.22916666666666666,0.16666666666666666,0.0,0.3125,0.5833333333333334,0.125,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.14583333333333334,0.0,0.020833333333333332,0.0625,0.16666666666666666,0.0,0.05
Gorontalo,28.125,172026.7142857143,145679.10714285713,142560.92857142858,918.8571428571429,496.5357142857143,1136.892857142857,399.23214285714283,985.75,602.8928571428571,744.9821428571429,613.7142857142857,254.42857142857142,1593.6607142857142,222.5,422.9642857142857,559.9285714285714,853.6071428571429,1493.9642857142858,1921.5357142857142,1586.625,1133.375,1153.7142857142858,1588.5357142857142,436.0357142857143,316.82142857142856,405.76785714285717,780.175
Jambi,28.125,445121.63636363635,406843.875,396740.95454545453,18582.363636363636,4241.568181818182,4073.068181818182,1942.6704545454545,8774.863636363636,6422.511363636364,10830.181818181818,10775.022727272728,11263.25,11367.886363636364,3325.6136363636365,4433.329545454545,13812.272727272728,6056.227272727273,7012.568181818182,5490.704545454545,14222.772727272728,7786.113636363636,6318.954545454545,6117.818181818182,7085.5,6616.056818181818,6841.306818181818,6595.927272727272
Jawa Barat,28.125,137254.5185185185,80082.98148148147,77773.19907407407,1434.9259259259259,250.0787037037037,140.72222222222223,72.68981481481481,131.65740740740742,84.92592592592592,189.04166666666666,111.67129629629629,185.94444444444446,105.18518518518519,96.30092592592592,197.36111111111111,137.73611111111111,95.16203703703704,138.1435185185185,129.1064814814815,134.75462962962962,208.80555555555554,168.12962962962962,259.3888888888889,127.93055555555556,95.68055555555556,95.73148148148148,149.37222222222223
Jawa Tengah,28.125,95657.77777777778,48053.0625,45656.10763888889,838.1944444444445,73.25,51.170138888888886,21.552083333333332,96.17013888888889,45.84027777777778,92.46875,78.16319444444444,71.74305555555556,83.02083333333333,36.18055555555556,121.44097222222223,67.32638888888889,34.00694444444444,81.97569444444444,52.260416666666664,63.041666666666664,96.10069444444444,72.13194444444444,78.53125,77.24305555555556,59.364583333333336,59.15277777777778,69.28472222222221
Jawa Timur,28.125,126306.1052631579,59431.1875,58932.79934210526,983.578947368421,110.48355263157895,105.48355263157895,76.08552631578948,167.2171052631579,73.2467105263158,149.00328947368422,115.0625,103.60526315789474,111.07236842105263,42.89802631578947,151.9309210526316,222.71381578947367,84.92434210526316,185.0,77.54276315789474,84.09539473684211,128.89144736842104,118.4342105263158,140.76973684210526,130.29276315789474,95.15131578947368,78.71381578947368,112.67236842105262
Kalimantan Barat,28.125,1049102.0714285714,970841.875,938739.3035714285,35816.71428571428,5533.991071428572,6871.133928571428,3975.2678571428573,8079.741071428572,7419.151785714285,9281.61607142857,9368.5625,14340.473214285714,20442.04464285714,10803.544642857143,18607.26785714286,22152.446428571428,14090.00892857143,20533.41964285714,18886.10714285714,20129.875,12741.044642857143,11185.919642857143,10067.455357142857,8582.42857142857,7696.919642857143,9700.589285714286,9446.6625
Kalimantan Selatan,28.125,287483.23076923075,220709.14423076922,218410.88461538462,20214.384615384617,1445.5096153846155,1851.125,1400.6057692307693,3178.201923076923,1934.5384615384614,4101.6057692307695,2250.3653846153848,1411.8173076923076,4577.4807692307695,1983.576923076923,3659.394230769231,5039.576923076923,2728.625,5020.836538461538,5555.836538461538,4996.548076923077,2882.326923076923,2897.644230769231,3407.730769230769,1615.3076923076924,1708.5961538461538,1390.5096153846155,2203.957692307692
Kalimantan Tengah,28.125,1097938.7857142857,1014013.5267857143,991163.1875,44225.92857142857,4548.696428571428,7288.660714285715,9174.330357142857,12014.982142857143,11234.482142857143,15701.36607142857,20739.571428571428,14509.1875,13778.026785714286,10125.25892857143,9880.517857142857,15542.089285714286,7332.241071428572,13888.410714285714,15054.910714285714,34853.30357142857,7280.330357142857,7766.455357142857,8581.1875,6422.223214285715,3791.4821428571427,5165.482142857143,6345.366071428571
Kalimantan Timur,28.125,1399844.9285714286,1324330.294642857,1288406.9375,21971.285714285714,5177.991071428572,5744.875,3805.401785714286,7654.339285714285,6435.5,10792.5,10809.785714285714,10268.63392857143,18658.01785714286,9736.223214285714,15910.982142857143,22453.45535714286,12720.42857142857,19173.464285714286,16421.446428571428,24862.526785714286,11898.767857142857,13096.5625,11450.669642857143,8249.767857142857,6625.794642857143,5630.669642857143,9010.692857142858
Kepulauan Bangka Belitung,28.125,239403.42857142858,191573.4107142857,183287.9642857143,13340.57142857143,1963.232142857143,1584.7142857142858,1003.8035714285714,3099.8035714285716,2790.375,2850.9285714285716,3269.6964285714284,3190.2321428571427,9002.910714285714,3273.6428571428573,4565.035714285715,5571.089285714285,2484.214285714286,5824.875,5833.017857142857,8211.67857142857,3616.5714285714284,3180.214285714286,3638.0178571428573,3499.964285714286,4401.142857142857,4837.464285714285,3911.3607142857145
Kepulauan Riau,28.125,118260.42857142857,99588.85714285714,96587.0,2881.1428571428573,242.375,779.4107142857143,250.53571428571428,641.5892857142857,1141.4285714285713,770.0892857142857,378.98214285714283,1235.857142857143,741.8571428571429,677.6964285714286,984.1071428571429,1329.5357142857142,674.0178571428571,2720.75,828.3214285714286,1843.8392857142858,1131.25,901.0535714285714,1265.9642857142858,1244.5892857142858,621.1785714285714,402.85714285714283,887.1285714285716
Lampung,28.125,239196.7857142857,138274.0892857143,133998.14285714287,11840.714285714286,729.6428571428571,657.3660714285714,351.4642857142857,738.0625,650.4732142857143,982.0982142857143,1091.1607142857142,1134.9464285714287,1614.919642857143,985.9910714285714,1172.9642857142858,2128.5,369.17857142857144,824.5446428571429,1050.4017857142858,1225.7410714285713,888.0446428571429,804.2946428571429,1026.3482142857142,715.2053571428571,586.5357142857143,532.4464285714286,732.9660714285714
Maluku,28.125,421343.45454545453,380294.1931818182,379385.57954545453,1728.2727272727273,410.53409090909093,1320.1136363636363,390.07954545454544,666.7613636363636,507.65909090909093,1124.659090909091,403.67045454545456,265.53409090909093,1214.0568181818182,398.3863636363636,848.3181818181819,1030.6022727272727,424.53409090909093,1381.3977272727273,4435.295454545455,2493.7386363636365,665.5227272727273,1015.2727272727273,1569.659090909091,512.5,339.5568181818182,460.14772727272725,779.4272727272726
Maluku Utara,28.125,350102.3333333333,341425.47222222225,339693.06944444444,858.3333333333334,815.4861111111111,2594.4861111111113,1113.125,1336.361111111111,712.3055555555555,1788.0277777777778,594.1527777777778,550.0138888888889,1495.1666666666667,673.5694444444445,637.5416666666666,999.7638888888889,751.5694444444445,1992.5972222222222,5035.111111111111,2977.7361111111113,1173.611111111111,1370.6666666666667,1567.75,822.2222222222222,669.4305555555555,704.4305555555555,1026.9
Nusa Tenggara Barat,28.125,196705.1,122527.1375,125057.725,1136.7,285.525,265.425,169.7625,451.175,201.7625,245.575,197.0625,270.5875,193.3,113.975,228.875,312.8625,158.45,727.6125,446.9375,407.45,627.25,832.925,887.8,671.1375,487.375,566.125,689.0725
Nusa Tenggara Timur,28.125,221161.33333333334,122242.48214285714,115382.01190476191,1512.142857142857,222.64285714285714,216.58333333333334,181.01785714285714,219.11309523809524,236.9047619047619,328.0654761904762,235.38690476190476,208.63095238095238,277.8809523809524,83.54761904761905,363.92261904761904,223.1904761904762,108.39285714285714,467.2202380952381,369.01190476190476,370.20238095238096,508.07738095238096,257.51785714285717,387.1904761904762,319.64285714285717,473.1011904761905,341.7738095238095,355.8452380952382
Papua,28.125,1082005.9310344828,1018955.9094827586,1022392.0818965518,5107.413793103448,430.7155172413793,699.2887931034483,401.4051724137931,654.8922413793103,505.5301724137931,730.4224137931035,725.551724137931,533.6293103448276,791.9094827586207,882.0086206896551,795.6853448275862,1606.2844827586207,1309.6120689655172,2018.6293103448277,2805.0474137931033,2838.5775862068967,1705.0689655172414,1193.6293103448277,1187.7543103448277,1026.4224137931035,905.5862068965517,983.8706896551724,1059.4525862068965
