,Provinsi,Tahun,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
0,Aceh,2019,11795.0,8000.0,4525.0,9105.0,4325.0,3000.0,2805.0,1675.0,3670.0
1,Aceh,2020,13738.0,9755.0,4093.0,11753.0,4738.0,4815.0,3385.0,2853.0,4870.0
2,Aceh,2021,14490.0,7890.0,5760.0,8120.0,2610.0,2880.0,1930.0,1770.0,4550.0
3,Aceh,2022,51488.0,25635.0,18943.0,35803.0,8168.0,6235.0,7855.0,5148.0,10725.0
4,Bali,2019,13171.0,24365.0,3322.0,6829.0,1042.0,1503.0,1375.0,693.0,7700.0
5,Bali,2020,12021.0,29808.0,7458.0,13708.0,2170.0,1634.0,1446.0,1022.0,3233.0
6,Bali,2021,7651.0,32898.0,8462.0,13726.0,1297.0,1629.0,1376.0,983.0,4278.0
7,Bali,2022,15494.0,34010.0,4877.0,9784.0,1046.0,540.0,1390.0,760.0,2099.0
8,Banten,2019,13763.0,10697.0,3429.0,5712.0,1119.0,858.0,762.0,1400.0,2260.0
9,Banten,2020,22101.0,3008.0,6826.0,11380.0,1009.0,666.0,598.0,2074.0,2765.0
10,Banten,2021,6301.0,0.0,913.0,2002.0,100.0,200.0,0.0,28.0,456.0
11,Banten,2022,26748.0,6808.0,6962.0,10667.0,1530.0,1128.0,732.0,1459.0,2766.0
12,Bengkulu,2019,8660.0,10750.0,4190.0,3150.0,860.0,330.0,400.0,770.0,890.0
13,Bengkulu,2020,2020.0,4500.0,1500.0,1800.0,100.0,50.0,10.0,20.0,0.0
14,Bengkulu,2021,4500.0,3500.0,700.0,800.0,400.0,50.0,0.0,50.0,0.0
15,Bengkulu,2022,15505.0,5307.0,2496.0,2816.0,1530.0,269.0,550.0,357.0,1170.0
16,Gorontalo,2019,12700.0,4310.0,3610.0,5840.0,1270.0,600.0,300.0,550.0,820.0
17,Gorontalo,2020,9813.0,2630.0,2320.0,3689.0,100.0,100.0,100.0,220.0,1028.0
18,Gorontalo,2021,2100.0,1000.0,1000.0,3000.0,800.0,500.0,700.0,900.0,0.0
19,Gorontalo,2022,12655.0,7184.0,7271.0,9270.0,550.0,400.0,600.0,1140.0,930.0
20,Jakarta Raya,2019,2302.0,297.0,18.0,90.0,8.0,0.0,0.0,65.0,7220.0
21,Jakarta Raya,2020,9279.0,875.0,326.0,387.0,157.0,299.0,125.0,66.0,8486.0
22,Jakarta Raya,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Jakarta Raya,2022,2550.0,3159.0,1217.0,1918.0,127.0,74.0,44.0,203.0,708.0
24,Jambi,2019,12713.0,4125.0,3922.0,3348.0,1308.0,1083.0,1073.0,538.0,11890.0
25,Jambi,2020,13063.0,5125.0,6472.0,7148.0,1658.0,1583.0,2023.0,638.0,2290.0
26,Jambi,2021,11661.0,3294.0,3248.0,5497.0,3269.0,307.0,1138.0,230.0,1356.0
27,Jambi,2022,16181.0,2973.0,5068.0,9336.0,1776.0,1177.0,1752.0,156.0,1581.0
28,Jawa Barat,2019,31640.0,10564.0,9655.0,10220.0,2462.0,2385.0,856.0,3368.0,8546.0
29,Jawa Barat,2020,39743.0,7684.0,11335.0,12810.0,1914.0,2187.0,772.0,3275.0,10269.0
30,Jawa Barat,2021,46194.0,9991.0,12796.0,22718.0,2217.0,3588.0,896.0,3127.0,8473.0
31,Jawa Barat,2022,48670.0,12956.0,13700.0,23163.0,2970.0,3890.0,1118.0,3437.0,10086.0
32,Jawa Tengah,2019,87700.0,30811.0,20905.0,29130.0,4375.0,3779.0,2302.0,3668.0,5770.0
33,Jawa Tengah,2020,70812.0,31130.0,23148.0,34298.0,3608.0,4268.0,2682.0,3829.0,6026.0
34,Jawa Tengah,2021,85162.0,32944.0,27156.0,46478.0,5826.0,6139.0,3391.0,5134.0,17670.0
35,Jawa Tengah,2022,111030.0,28066.0,28480.0,48907.0,9242.0,8102.0,4111.0,7119.0,13086.0
36,Jawa Timur,2019,120124.0,39871.0,30758.0,39607.0,4007.0,3767.0,3813.0,2776.0,13634.0
37,Jawa Timur,2020,90506.0,16816.0,17724.0,26209.0,1718.0,3597.0,3090.0,2039.0,18311.0
38,Jawa Timur,2021,91286.0,15027.0,19664.0,28956.0,3637.0,4053.0,2329.0,2985.0,23863.0
39,Jawa Timur,2022,131332.0,26353.0,26771.0,43854.0,4647.0,5783.0,3656.0,4376.0,15028.0
40,Kalimantan Barat,2019,19665.0,4289.0,6714.0,13002.0,1682.0,847.0,945.0,722.0,2134.0
41,Kalimantan Barat,2020,26882.0,5120.0,6170.0,13932.0,1620.0,873.0,500.0,928.0,3975.0
42,Kalimantan Barat,2021,9621.0,1921.0,1893.0,3210.0,30.0,100.0,90.0,496.0,2639.0
43,Kalimantan Barat,2022,16177.0,1502.0,3700.0,7482.0,2120.0,251.0,1176.0,429.0,7163.0
44,Kalimantan Selatan,2019,52587.0,14126.0,9996.0,21836.0,1918.0,1791.0,885.0,2384.0,4477.0
45,Kalimantan Selatan,2020,45700.0,5455.0,10500.0,18179.0,1830.0,2578.0,499.0,1857.0,3401.0
46,Kalimantan Selatan,2021,52724.0,7525.0,13835.0,20953.0,1988.0,2984.0,1183.0,2180.0,6627.0
47,Kalimantan Selatan,2022,26454.0,14556.0,6151.0,13822.0,1072.0,1213.0,382.0,872.0,5478.0
48,Kalimantan Tengah,2019,34299.0,8339.0,8218.0,15818.0,1786.0,2353.0,1605.0,1741.0,5719.0
49,Kalimantan Tengah,2020,34509.0,8120.0,8508.0,15587.0,1800.0,2253.0,1655.0,1561.0,5979.0
50,Kalimantan Tengah,2021,17755.0,8407.0,7585.0,17162.0,1747.0,1527.0,1351.0,803.0,3662.0
51,Kalimantan Tengah,2022,12756.0,5507.0,3935.0,10662.0,747.0,1127.0,1451.0,753.0,3062.0
52,Kalimantan Timur,2019,35999.0,5984.0,12891.0,13907.0,3957.0,2445.0,508.0,1684.0,2625.0
53,Kalimantan Timur,2020,31485.0,2165.0,9626.0,9643.0,1026.0,1874.0,371.0,1463.0,2347.0
54,Kalimantan Timur,2021,35785.0,4165.0,10326.0,11843.0,1226.0,1974.0,571.0,1663.0,2447.0
55,Kalimantan Timur,2022,46224.0,4793.0,11600.0,17590.0,2589.0,2094.0,591.0,1762.0,2757.0
56,Kalimantan Utara,2019,8740.0,2020.0,3940.0,3830.0,120.0,220.0,10.0,10.0,1110.0
57,Kalimantan Utara,2020,8740.0,2020.0,3940.0,3830.0,120.0,220.0,10.0,10.0,1110.0
58,Kalimantan Utara,2021,4640.0,820.0,2340.0,2130.0,20.0,20.0,10.0,10.0,10.0
59,Kalimantan Utara,2022,4640.0,820.0,2340.0,2130.0,20.0,20.0,10.0,10.0,10.0
60,Kepulauan Bangka Belitung,2019,8616.0,8232.0,3154.0,5124.0,1529.0,1657.0,507.0,220.0,961.0
61,Kepulauan Bangka Belitung,2020,11840.0,11330.0,4893.0,4402.0,493.0,1992.0,1066.0,422.0,3562.0
62,Kepulauan Bangka Belitung,2021,15217.0,10552.0,3511.0,8688.0,2684.0,1753.0,1096.0,1950.0,4549.0
63,Kepulauan Bangka Belitung,2022,13975.0,5046.0,2287.0,11127.0,928.0,1059.0,652.0,1121.0,3805.0
64,Kepulauan Riau,2019,17030.0,7990.0,7970.0,9540.0,1070.0,2070.0,1270.0,1010.0,2050.0
65,Kepulauan Riau,2020,17300.0,8410.0,8370.0,9110.0,1030.0,2090.0,1130.0,760.0,1800.0
66,Kepulauan Riau,2021,3766.0,540.0,2389.0,1400.0,70.0,525.0,460.0,300.0,550.0
67,Kepulauan Riau,2022,10520.0,3840.0,6630.0,5110.0,680.0,1290.0,860.0,560.0,510.0
68,Lampung,2019,15707.0,4141.0,2945.0,10916.0,861.0,402.0,1104.0,734.0,3291.0
69,Lampung,2020,15145.0,7030.0,4615.0,9659.0,866.0,529.0,459.0,540.0,1257.0
70,Lampung,2021,17179.0,9636.0,3906.0,11235.0,2277.0,885.0,467.0,1205.0,3310.0
71,Lampung,2022,27987.0,7851.0,4532.0,11447.0,1010.0,2465.0,1246.0,915.0,2537.0
72,Maluku,2019,9500.0,6380.0,3860.0,5260.0,1360.0,1000.0,650.0,1010.0,980.0
73,Maluku,2020,5900.0,2800.0,2830.0,3890.0,1200.0,830.0,500.0,1200.0,850.0
74,Maluku,2021,4150.0,3950.0,2180.0,3880.0,760.0,1030.0,800.0,870.0,2380.0
75,Maluku,2022,3900.0,1800.0,1670.0,4450.0,100.0,100.0,100.0,100.0,306.0
76,Maluku Utara,2019,8800.0,3070.0,2260.0,2540.0,860.0,240.0,250.0,950.0,1030.0
77,Maluku Utara,2020,8376.0,4082.0,2474.0,2507.0,322.0,143.0,172.0,806.0,1118.0
78,Maluku Utara,2021,3400.0,2500.0,1200.0,1180.0,230.0,80.0,150.0,580.0,680.0
79,Maluku Utara,2022,4986.0,1590.0,1279.0,1334.0,84.0,419.0,89.0,208.0,11.0
80,Nusa Tenggara Barat,2019,4930.0,2970.0,350.0,1050.0,120.0,400.0,40.0,130.0,10.0
