,Provinsi,Tahun,Timbulan Sampah Harian (Ton),Timbulan Sampah Tahunan (Ton),Sampah masuk (ton/tahun),Sampah terkelola (ton/tahun),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
0,Aceh,2019,698.1800000000001,254830.94,63.319735,62.02811500000001,0.0,580.0,59787.145000000004,1660.975,11795.0,8000.0,4525.0,9105.0,4325.0,3000.0,2805.0,1675.0,3670.0
1,Aceh,2020,678.42,247624.51,63.319735,62.02811500000001,0.0,580.0,59787.145000000004,1660.975,13738.0,9755.0,4093.0,11753.0,4738.0,4815.0,3385.0,2853.0,4870.0
2,Aceh,2021,444.04999999999995,162077.27000000002,64.21585,63.25822,0.0,56.0,62753.28,448.95,14490.0,7890.0,5760.0,8120.0,2610.0,2880.0,1930.0,1770.0,4550.0
3,Aceh,2022,1640.1,598630.3700000001,62.42362000000001,60.798010000000005,0.0,1104.0,56821.01,2873.0,51488.0,25635.0,18943.0,35803.0,8168.0,6235.0,7855.0,5148.0,10725.0
4,Bali,2019,2185.54,797720.9400000001,56.6592,56.5392,0.0,3000.0,53539.2,0.0,13171.0,24365.0,3322.0,6829.0,1042.0,1503.0,1375.0,693.0,7700.0
5,Bali,2020,2479.26,904924.36,52.7256,51.1536,0.0,0.0,51153.6,0.0,12021.0,29808.0,7458.0,13708.0,2170.0,1634.0,1446.0,1022.0,3233.0
6,Bali,2021,2508.18,915482.47,882.27096,869.46216,0.0,27132.0,814870.5599999999,27459.6,7651.0,32898.0,8462.0,13726.0,1297.0,1629.0,1376.0,983.0,4278.0
7,Bali,2022,2814.8900000000003,1027433.75,18025.234800000002,16922.85,840.0,18120.0,16765146.0,138744.0,15494.0,34010.0,4877.0,9784.0,1046.0,540.0,1390.0,760.0,2099.0
8,Banten,2019,6644.63,2425292.19,20564.508,20564.49678,0.0,0.0,20563296.78,1200.0,13763.0,10697.0,3429.0,5712.0,1119.0,858.0,762.0,1400.0,2260.0
9,Banten,2020,3616.2699999999995,1319940.1099999999,54.96,54.96,0.0,0.0,54960.0,0.0,22101.0,3008.0,6826.0,11380.0,1009.0,666.0,598.0,2074.0,2765.0
10,Banten,2021,2180.3599999999997,795829.76,1083.40944,1080.40944,0.0,341568.0,738841.44,0.0,6301.0,0.0,913.0,2002.0,100.0,200.0,0.0,28.0,456.0
11,Banten,2022,7199.63,2627865.54,6667.40972,6613.590150000001,13860.0,443076.0,6139879.3,16774.85,26748.0,6808.0,6962.0,10667.0,1530.0,1128.0,732.0,1459.0,2766.0
