,Tahun,Provinsi,Sampahmasuk (kg/thn),Sampahterkelola (kg/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle
0,2019,Bali,56659.2,56539.2,0.0,3000.0,53539.2,0.0
1,2019,Banten,20564508.0,20564496.78,0.0,0.0,20563296.78,1200.0
2,2019,Jawa Tengah,124847.95,122459.95,0.0,6300.0,100199.95,15960.0
3,2019,Jawa Timur,19302.96,1746.0,0.0,240.0,1266.0,240.0
4,2019,Lampung,234000.0,26102.4,0.0,25116.0,493.2,493.2
5,2019,Papua,634646932.99,3578188.7,0.0,0.0,3578188.7,0.0
6,2019,Riau,227520.0,210360.0,0.0,53400.0,155760.0,1200.0
7,2020,Bali,52725.6,51153.6,0.0,0.0,51153.6,0.0
8,2020,Banten,54960.0,54960.0,0.0,0.0,54960.0,0.0
9,2020,Jawa Barat,6000.0,6000.0,0.0,0.0,6000.0,0.0
10,2020,Jawa Tengah,914635.08,808353.36,2346.0,309440.4,479237.76,17329.2
11,2020,Jawa Timur,279038.82,262876.82,0.0,240.0,262144.82,492.0
12,2020,Kalimantan Selatan,39984.72,39854.64,0.0,1020.0,38834.64,0.0
13,2020,Kalimantan Tengah,4985538.0,394089.6,297120.0,0.0,96813.6,156.0
14,2020,Kepulauan Riau,551841.6,548841.6,0.0,0.0,548121.6,720.0
15,2020,Lampung,447240.0,196477.56,0.0,251.16,190693.2,5533.2
16,2020,Nusa Tenggara Timur,60000.0,52200.0,0.0,0.0,52200.0,0.0
17,2020,Papua,19752.0,19752.0,0.0,0.0,19752.0,0.0
18,2020,Riau,227520.0,200760.0,0.0,43800.0,155760.0,1200.0
19,2020,Sulawesi Selatan,808458.39,808416.2100000001,0.0,0.0,808105.29,310.92
20,2020,Sulawesi Utara,30000.0,30000.0,0.0,0.0,30000.0,0.0
21,2020,Sumatera Utara,4682400.0,4682400.0,0.0,0.0,4682280.0,120.0
