,Provinsi,Tahun,Timbulan Sampah Harian (Ton),Timbulan Sampah Tahunan (Ton)
0,Aceh,2019,698.1800000000001,254830.94
1,Aceh,2020,678.42,247624.51
2,Aceh,2021,444.04999999999995,162077.27000000002
3,Aceh,2022,1640.1,598630.3700000001
4,Bali,2019,2185.54,797720.9400000001
5,Bali,2020,2479.26,904924.36
6,Bali,2021,2508.18,915482.47
7,Bali,2022,2814.8900000000003,1027433.75
8,Banten,2019,6644.63,2425292.19
9,Banten,2020,3616.2699999999995,1319940.1099999999
10,Banten,2021,2180.3599999999997,795829.76
11,Banten,2022,7199.63,2627865.54
12,Bengkulu,2019,397.71,145167.8
13,Bengkulu,2020,157.37,57440.71000000001
14,Bengkulu,2021,106.76,38966.12
15,Bengkulu,2022,375.43,137034.72
16,Gorontalo,2019,344.59000000000003,125774.51000000001
17,Gorontalo,2020,205.58,75039.19
18,Gorontalo,2021,141.21,51541.5
19,Gorontalo,2022,408.69,149170.71
20,Jakarta Raya,2019,5502.860000000001,2008546.37
21,Jakarta Raya,2020,8369.34,3054812.2200000007
22,Jakarta Raya,2021,8447.77,3083437.85
23,Jakarta Raya,2022,8527.07,3112381.41
24,Jambi,2019,1137.08,415036.1
25,Jambi,2020,1014.41,370256.76
26,Jambi,2021,787.32,287374.47
27,Jambi,2022,965.6999999999999,352484.44
28,Jawa Barat,2019,7965.46,2907389.89
29,Jawa Barat,2020,9974.75,3640779.86
30,Jawa Barat,2021,12358.529999999999,4510863.430000001
31,Jawa Barat,2022,13410.009999999998,4894648.33
32,Jawa Tengah,2019,10264.399999999998,3746508.5500000003
33,Jawa Tengah,2020,11844.14,4323106.859999999
34,Jawa Tengah,2021,13758.6,5021888.22
35,Jawa Tengah,2022,15784.899999999998,5761491.499999999
36,Jawa Timur,2019,15060.72,5497163.450000001
37,Jawa Timur,2020,10540.76,3847380.6399999997
38,Jawa Timur,2021,10599.42,3868784.3200000003
39,Jawa Timur,2022,13573.44,4954299.350000001
40,Kalimantan Barat,2019,1445.8500000000004,527737.08
41,Kalimantan Barat,2020,1436.74,524411.56
42,Kalimantan Barat,2021,1199.49,437814.0
43,Kalimantan Barat,2022,1277.13,466145.93
44,Kalimantan Selatan,2019,1628.8199999999997,594528.74
