,objectid,uid,updated,nm_balai,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,kl_dat_das,thn_data
0,17,6d569c94-ca7a-11eb-a0e3-0050568846de,1649668588000,BPPW Bali,36.0,Bali,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
1,18,6da5b98e-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW Bangka Belitung,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Muntok,Teluk Rubiah,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2006.0
2,19,6da5bb94-ca7a-11eb-a0e3-0050568846de,1628401843000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2007.0
3,20,6da5bbee-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Pangkalan Baru,Batu Belubang,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2011.0
4,21,6da5bc2a-ca7a-11eb-a0e3-0050568846de,1628401843000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2010.0
5,22,6da5bc5f-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Muntok,Muntok,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2011.0
6,24,6da5bcc4-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Namang,Kurau,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2012.0
7,25,6da5bcf8-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Muntok,Sungai Baru,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2013.0
8,26,6da5bd27-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Muntok,Sungai Baru,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2014.0
9,27,6da5bd56-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Parit Tiga,Parit Tiga,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2014.0
10,28,6da5bd84-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Muntok,Belo Laut,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2017.0
11,29,6da5bdb4-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,19.0,Kepulauan Bangka Belitung,Tidak Diketahui,Parit Tiga,Sekar Biru,33.0,49.0,INSTALASI AIR BUANGAN DOMESTIK,2018.0
12,30,6de154fc-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Banten,51.0,Banten,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
13,31,6e864136-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW D.I. Yogyakarta,34.0,DIY,Tidak Diketahui,Gunung Kidul,Gunung Kidul,33.0,5.0,0,0.0
14,32,6ec07a6c-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Gorontalo,75.0,Gorontalo,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
15,33,6f62136e-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Jambi,15.0,Jambi,Jambi,Kota Baru,Suka Karya,33.0,5.0,Tidak Diketahui,Tidak Diketahui
16,34,6f62149d-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Jambi,15.0,Jambi,Jambi,Alam Barajo,Mayang Mangurai,33.0,5.0,Tidak Diketahui,Tidak Diketahui
17,35,6f6214f3-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW Jambi,15.0,Jambi,Tidak Diketahui,Jambi,Jambi,33.0,5.0,Tidak Diketahui,Tidak Diketahui
18,36,6f62152b-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW Jambi,15.0,Jambi,Tidak Diketahui,Jambi,Jambi,33.0,5.0,Tidak Diketahui,Tidak Diketahui
19,37,6f621564-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW Jambi,15.0,Jambi,Tidak Diketahui,Muaro Jambi,Muaro Jambi,33.0,5.0,Tidak Diketahui,Tidak Diketahui
