,objectid,uid,creator,created,updater,updated,nm_balai,koord_x,koord_y,foto,data_src,last_sync,sync_notes,tgl_inspeksi,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,ko_in,video,peta,kondisi,kl_dat_das,nm_dat_das,nm_obj_inf,thn_data,nm_ws,nm_das,id_sumur,kd_seri,jenis,debit,dbt_bsh_1,dbt_kering,dbt_bsh_2,kd_ws,infrastruktur,status2,sta_hibah,urut,id,kode_balai,kd_das,tahun_pembangunan,kondisi_bangunan,status_pekerjaan,sungai,cat,nama_sistem,elevasi,sistem_pengambilan,jenis_pompa,head_pompa,tahun_rehab_terakhir,kelembagaan,keterangan,panjang,jumlah_box_bagi,jumlah_springkel,musim_tanam_mt_1,musim_tanam_mt_2,musim_tanam_mt_3,shape,geometry
0,246274,53ea2775-ff4f-4f1b-b0c1-30ff338f278b,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,110.841667,-7.906569,,,,,,,JAWA TENGAH,KAB. WONOGIRI,Wuryantoro,Mlopoharjo,,,,,,,Mata air,Sub Kawasan Cluntang,,,BENGAWAN SOLO,BENGAWAN SOLO,,,,,,,,02.A2.18,,,,1,06.20.23130000001,A_BSLO,02.A2.18.034,2008,Beroperasi,Selesai,Sub Kawasan Cluntang,CAT EROMOKO,,0,Gravitasi,,0,,,,0,0,0,,,,,POINT (110.84166700000009 -7.906568999999934)
1,246275,32967ee0-f7c4-4f6b-b5ad-9f4a0d95b759,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.036389,-7.827756,,,,,,,JAWA TENGAH,KAB. WONOGIRI,Ngadirojo,Kerjo Lor,,,,,,,Mata air,Sub Kawasan Tlatar,,,BENGAWAN SOLO,BENGAWAN SOLO,,,,,,,,02.A2.18,,,,2,06.20.23130000002,A_BSLO,02.A2.18.034,2008,Beroperasi,Selesai,Sub Kawasan Tlatar,CAT KARANGANYAR-BOYOLALI,,0,Pompa,,0,,,,0,0,0,,,,,POINT (111.03638900000004 -7.827755999999965)
2,246276,823fd578-2f9d-43ff-8117-cb36dc65eaa6,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.130278,-7.923333,,,,,,,JAWA TENGAH,KAB. WONOGIRI,Tirtomoyo,Sidorejo,,,,,,,Mata air,Sub Kawasan Umbul Sungsang,,,BENGAWAN SOLO,NGUJIL,,,,,,,,02.A2.18,,,,3,06.20.23130000003,A_BSLO,02.A2.18.051,2009,Beroperasi,Selesai,Umbul Sungsang,CAT YOGYAKARTA-SLEMAN,,0,Pompa,,0,,,,0,0,0,,,,,POINT (111.13027800000003 -7.923332999999957)
3,246277,6831585d-10d1-438e-9d17-4cc743d453b4,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.18835,-8.141392,,,,,,,JAWA TIMUR,KAB. PACITAN,Arjosari,Borang,,,,,,,Mata air,Broncaptering Sepanjang,,,BENGAWAN SOLO,NGUJIL,,,,,,,,02.A2.18,,,,4,06.20.23150000004,A_BSLO,02.A2.18.051,2010,Beroperasi,Selesai,Broncaptering Sepanjang,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,POINT (111.18835000000007 -8.14139199999994)
4,246278,3ace36ae-0de8-4707-b132-065b87382f51,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.071944,-7.9925,,,,,,,JAWA TENGAH,KAB. WONOGIRI,Karangtengah,Temboro,,,,,,,Mata air,Sub Kawasan Umbul Nila,,,BENGAWAN SOLO,NGUJIL,,,,,,,,02.A2.18,,,,5,06.20.23130000005,A_BSLO,02.A2.18.051,2010,Beroperasi,Selesai,Umbul Nila,NON CAT,,0,Pompa,,0,,,,0,0,0,,,,,POINT (111.07194400000009 -7.99249999999995)
5,246279,83bf1ed7-5aba-4eee-ae22-a18bf11a20bf,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,110.920556,-7.892564,,,,,,,JAWA TENGAH,KOTA SEMARANG,Gajahmungkur,Gajahmungkur,,,,,,,Mata air,Sub Kawasan Musuk I,,,BENGAWAN SOLO,BENGAWAN SOLO,,,,,,,,02.A2.18,,,,6,06.20.23130000006,A_BSLO,02.A2.18.034,2011,Beroperasi,Selesai,Musuk,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,POINT (110.92055600000003 -7.892563999999936)
6,246280,3910753d-3f41-4a14-8605-447771e7d66b,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.656667,-8.305117,,,,,,,JAWA TIMUR,KAB. TRENGGALEK,Watulimo,Karanggandu,,,,,,,Mata air,Sub Kawasan Sumber Maron,,,BENGAWAN SOLO,NGUJIL,,,,,,,,02.A2.18,,,,7,06.20.23150000007,A_BSLO,02.A2.18.051,2012,Beroperasi,Selesai,Sumber Maron,NON CAT,,0,Pompa,,0,,,,0,0,0,,,,,POINT (111.65666700000008 -8.305116999999939)
7,246281,5e11925e-f344-4003-9a15-42400b55916d,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.394294,-8.187739,,,,,,,JAWA TIMUR,KAB. PACITAN,Sudimoro,Ketanggung,,,,,,,Mata air,Broncaptering Sumber Semiri,,,BENGAWAN SOLO,NGUJIL,,,,,,,,02.A2.18,,,,8,06.20.23150000008,A_BSLO,02.A2.18.051,2013,Beroperasi,Selesai,Sumber Semiri,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,POINT (111.39429400000006 -8.187738999999965)
8,246282,963be3b6-2182-45c9-9edd-d9210466a2d3,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,111.455833,-8.264383,,,,,,,JAWA TIMUR,KAB. TRENGGALEK,Panggul,Nglebeng,,,,,,,Mata air,Sub Kawasan Sumber Padi,,,BENGAWAN SOLO,NGUJIL,,,,,,,,02.A2.18,,,,9,06.20.23150000009,A_BSLO,02.A2.18.051,2014,Tidak Beroperasi,Selesai,Sumber Padi,NON CAT,,0,Pompa,,0,,,,0,0,0,,,,,POINT (111.45583300000004 -8.264382999999953)
9,246283,626f0594-d2d9-40c3-91c2-af216b06caf4,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,110.918889,-7.9039,,,,,,,JAWA TENGAH,KOTA SEMARANG,Gajahmungkur,Gajahmungkur,,,,,,,Mata air,Sub Kawasan Musuk II,,,BENGAWAN SOLO,BENGAWAN SOLO,,,,,,,,02.A2.18,,,,10,06.20.23130000010,A_BSLO,02.A2.18.034,2016,Beroperasi,Selesai,Musuk,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,POINT (110.91888900000004 -7.903899999999965)
10,246284,1560a141-31a1-4ec7-b7d1-60edfb6150c8,,1696554041000,,1696554041000,BALAI BESAR WILAYAH SUNGAI BRANTAS,112.639444,-7.875278,,,,,,,JAWA TIMUR,KAB. MALANG,Singosari,Klampok,,,,,,,Mata Air,Pembangunan Bronkaptering Dan Jaringan Pipa Air Baku Di Kec. Singosari Kab. Malang,,,BRANTAS,BRANTAS,,,,,,,,02.A3.19,,,,11,06.20.24150000011,A_BRAS,02.A3.19.001,2012,Beroperasi,Selesai,Mata Air Klampok,CAT BRANTAS,,0,Gravitasi,,0,,,,0,0,0,,,,,POINT (112.63944400000003 -7.87527799999998)
