,Unnamed: 0,objectid,uid,creator,nm_dat_das,thn_data,kewenangan,provinsi,kab_kota,kecamatan,kel_desa,nm_sungai,kapasitas,jns_pompa,kondisi_pompa,tgl_inspeksi,geometry
0,0,1,171a963d-ae3a-4024-950e-bccf8e5cf423,Tidak Diketahui,Pompa Banjir Sungai Asahan Paket 2 (1),2021,BWS Sumatera II,Sumatera Utara,Asahan,--,--,Tidak Diketahui,2.0,Submersible,berfungsi,1629849600000.0,POINT (99.84992300000005 2.9886520000000587)
1,1,2,eb8b75f2-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Sedompyong (2),2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,1.5,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.43727530000007 -6.956891999999925)
2,2,3,312e8428-fbf3-11eb-a0e3-0050568846de,admin,Pompa Tamalate (19),2021,BWS Sulawesi II,Gorontalo,Gorontalo,Tamalate,Mangasa,Jeneberang,0.01,Alkon Pump,berfungsi,1643155200000.0,POINT (119.43167900000003 -5.189014999999927)
3,3,4,ec590f81-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Hasanudin (2),2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,0.1,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.40847330000008 -6.966081999999972)
4,4,5,ed13d50c-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Bandara (24),2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,0.12,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.36458800000008 -6.975516599999935)
5,5,6,bc148a5d-8f1b-4145-b66e-c4b5fd62c01e,Tidak Diketahui,Pompa Ketintang (2),2021,BBWS Brantas,Jawa Timur,Mojokerto,Gondang,Bakalan,Tidak Diketahui,1.0,Submersible,berfungsi,1629849600000.0,POINT (110.84018300000008 -7.575702999999976)
6,6,7,43229390-6e0d-4b8b-8cdf-ff798406c4b1,Tidak Diketahui,Pompa Banjir Beteng (2),2021,BBWS Bengawan Solo,Jawa Timur,Madiun,Manguharjo,Madiun Lor,Tidak Diketahui,1.0,Centrifugal,berfungsi,1629849600000.0,POINT (111.52006100000006 -7.619572999999946)
7,7,8,6f87c860-3d7f-442e-9079-d93901e9b849,Tidak Diketahui,pompa Banjir Parit Belanda Sektor 3 (1),2021,BWS Sumatera III,Riau,Pekan Baru,Rumbai Pesisir,Meranti Pandak,Siak,3.0,Auger,tidak berfungsi,1629849600000.0,POINT (101.43753000000004 0.5435400000000641)
8,8,9,eb8cfdb4-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Progo ,2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,0.4,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.43901600000004 -6.9690389999999525)
9,9,10,31401324-fbf3-11eb-a0e3-0050568846de,admin,Pompa Tamalate (20),2021,BWS Sulawesi II,Gorontalo,Gorontalo,Tamalate,Mangasa,Jeneberang,0.01,Alkon Pump,berfungsi,1643155200000.0,POINT (119.43167900000003 -5.189014999999927)
10,10,11,ec5c2056-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Hasanudin (3),2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,0.08,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.40847330000008 -6.966081999999972)
11,11,12,ed155dc2-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Bandara (25),2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,0.12,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.36458800000008 -6.975516599999935)
12,12,13,1a633b48-d67b-4cd8-8e3b-7a9432259967,Tidak Diketahui,Pompa Banjir Patihan (1),2021,BBWS Bengawan Solo,Jawa Timur,Madiun,Manguharjo,Patihan,Tidak Diketahui,1.0,Centrifugal,berfungsi,1629849600000.0,POINT (111.52695900000003 -7.60928999999993)
13,13,14,ebdf4656-5e03-4217-a77e-23a7924e6faa,Tidak Diketahui,Pompa Sinoman (1),2021,BBWS Brantas,Jawa Timur,Mojokerto,Prajurit Kulon,Miji,Tidak Diketahui,1.0,Submersible,berfungsi,1629849600000.0,POINT (112.44191000000001 -7.474849999999947)
14,14,15,b92c1b6c-d6df-4b71-82a1-a989abf0d122,Tidak Diketahui,Pompa Sinoman (2),2021,BBWS Brantas,Jawa Timur,Mojokerto,Prajurit Kulon,Miji,Tidak Diketahui,1.0,Submersible,berfungsi,1629849600000.0,POINT (112.44191000000001 -7.474849999999947)
15,15,16,ec5da9fb-7dad-11ec-9f7c-0050568846de,najib_baedlowi,Rumah Pompa Hasanudin (4),2021,PU Kota,Jawa Tengah,,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,0.08,Tidak Diketahui,Operasional,1643155200000.0,POINT (110.40847330000008 -6.966081999999972)
16,16,17,837bc3e2-fbf0-11eb-a0e3-0050568846de,admin,Pompa Pluit Barat (2),2021,BBWS Ciliwung Cisadane,DKI Jakarta,Jakarta Utara,Pluit,Penjaringan,Tidak Diketahui,6.0,Submersible,berfungsi,1643155200000.0,POINT (106.79698000000008 -6.109513799999945)
