,time,weathercode (wmo code),temperature_2m_mean (°C),rain_sum (mm),Province
0,2018-01-01,55,20.904165,10.5,Aceh
1,2018-01-02,65,21.095833,29.900002,Aceh
2,2018-01-03,61,20.570835,25.199999,Aceh
3,2018-01-04,53,20.795832,8.599999,Aceh
4,2018-01-05,53,21.858332,0.90000004,Aceh
5,2018-01-06,53,22.066666,0.70000005,Aceh
6,2018-01-07,55,21.608335,2.5,Aceh
7,2018-01-08,63,21.191668,10.7,Aceh
8,2018-01-09,63,20.791668,9.400001,Aceh
9,2018-01-10,63,21.025,14.200001,Aceh
10,2018-01-11,55,21.366667,1.3000001,Aceh
11,2018-01-12,3,21.166666,0.0,Aceh
12,2018-01-13,61,20.504166,7.5999994,Aceh
13,2018-01-14,53,20.295832,2.3999999,Aceh
14,2018-01-15,65,20.800001,21.199999,Aceh
15,2018-01-16,63,20.7375,12.5,Aceh
16,2018-01-17,61,20.970833,5.3999996,Aceh
17,2018-01-18,63,21.070833,11.599999,Aceh
18,2018-01-19,53,20.966665,2.5,Aceh
19,2018-01-20,63,21.020832,11.2,Aceh
20,2018-01-21,63,20.841667,18.4,Aceh
21,2018-01-22,53,20.72917,10.899999,Aceh
22,2018-01-23,65,21.0875,14.100001,Aceh
23,2018-01-24,53,21.612503,1.7,Aceh
24,2018-01-25,63,21.72917,8.400001,Aceh
25,2018-01-26,63,21.045834,15.6,Aceh
26,2018-01-27,63,21.670835,9.1,Aceh
27,2018-01-28,55,21.366667,4.2000003,Aceh
28,2018-01-29,53,21.35417,1.5,Aceh
29,2018-01-30,53,22.270834,1.3,Aceh
30,2018-01-31,63,22.162498,5.8,Aceh
31,2018-02-01,53,21.570831,2.4,Aceh
32,2018-02-02,53,21.737497,2.5,Aceh
33,2018-02-03,51,21.816666,1.4,Aceh
34,2018-02-04,53,21.820837,1.5,Aceh
35,2018-02-05,51,21.9,1.8000002,Aceh
36,2018-02-06,53,21.291668,1.9000001,Aceh
37,2018-02-07,51,21.429163,2.7999997,Aceh
38,2018-02-08,51,21.770836,2.9000003,Aceh
39,2018-02-09,51,21.658333,3.2,Aceh
40,2018-02-10,53,21.308332,2.9,Aceh
41,2018-02-11,51,21.479166,0.6,Aceh
42,2018-02-12,3,21.366663,0.0,Aceh
43,2018-02-13,51,21.391668,0.90000004,Aceh
44,2018-02-14,63,21.095833,15.7,Aceh
45,2018-02-15,63,21.512503,7.9999995,Aceh
46,2018-02-16,53,21.612501,2.8000004,Aceh
47,2018-02-17,51,21.754168,1.5,Aceh
48,2018-02-18,53,21.854166,2.1000001,Aceh
49,2018-02-19,53,21.8125,2.7,Aceh
50,2018-02-20,3,22.050001,0.0,Aceh
51,2018-02-21,63,20.8875,25.500002,Aceh
52,2018-02-22,63,20.695833,16.0,Aceh
53,2018-02-23,63,21.133333,5.4999995,Aceh
54,2018-02-24,61,21.866669,6.3999996,Aceh
55,2018-02-25,63,21.633331,8.1,Aceh
56,2018-02-26,51,22.0625,0.90000004,Aceh
57,2018-02-27,61,21.375,5.4000006,Aceh
58,2018-02-28,63,21.466665,10.7,Aceh
59,2018-03-01,63,21.395834,11.799999,Aceh
60,2018-03-02,61,21.866667,3.1,Aceh
61,2018-03-03,63,22.070831,7.4999995,Aceh
62,2018-03-04,51,22.479166,1.8,Aceh
63,2018-03-05,63,22.158335,4.6,Aceh
64,2018-03-06,53,21.704165,2.4,Aceh
65,2018-03-07,63,21.604164,10.5,Aceh
66,2018-03-08,61,21.966665,7.6000004,Aceh
67,2018-03-09,51,21.933334,1.5,Aceh
68,2018-03-10,53,21.912504,2.5,Aceh
69,2018-03-11,51,22.23333,1.1,Aceh
70,2018-03-12,51,22.133333,0.8,Aceh
71,2018-03-13,51,22.325003,0.2,Aceh
72,2018-03-14,51,22.466667,0.4,Aceh
73,2018-03-15,63,21.929167,12.2,Aceh
74,2018-03-16,63,21.754168,10.3,Aceh
75,2018-03-17,61,21.929163,4.5,Aceh
76,2018-03-18,63,21.845833,10.9,Aceh
77,2018-03-19,53,21.975,2.1,Aceh
78,2018-03-20,55,21.966665,3.3999999,Aceh
79,2018-03-21,53,21.929167,2.7,Aceh
80,2018-03-22,51,22.22083,1.5,Aceh
81,2018-03-23,51,22.2875,1.4000001,Aceh
82,2018-03-24,53,22.366669,2.8000002,Aceh
