Tahun,Provinsi,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir,temperature_2m_mean (°C),rain_sum (mm)
2018,Aceh,0,0,0,195.0,26019,59,92,21.86762578630137,8.906575363534246
2018,Bali,4,0,6,49.0,450,23,29,24.30456631780822,7.746027302657534
2018,Banten,1,0,0,7.0,4022,5,18,26.087785276712328,5.938356152630137
2018,Bengkulu,0,0,0,0.0,1253,2,8,25.604863027397258,9.159178139232877
2018,Gorontalo,0,1,0,6.0,3241,7,14,23.331027372602737,11.960548150630135
2018,Jakarta Raya,2,0,1,0.0,1230,0,16,26.657317320547943,4.1780821693972605
2018,Jambi,3,0,2,4.0,1594,17,7,26.18470311232877,7.743835631972603
2018,Jawa Barat,11,0,4,574.0,60304,210,79,20.073915463013694,6.876712360767124
2018,Jawa Tengah,8,0,2,190.0,33717,18,85,25.540673665753424,5.135890402328768
2018,Jawa Timur,9,2,9,517.0,26607,161,87,26.513150695890413,4.015068547945205
2018,Kalimantan Barat,3,1,0,551.0,11332,72,50,25.82816213150685,7.851506860794521
2018,Kalimantan Selatan,0,0,0,9.0,1149,2,15,25.044109589041096,6.963835616438357
2018,Kalimantan Tengah,0,0,0,0.0,6261,48,25,26.17699764657534,8.36410960279452
2018,Kalimantan Timur,1,0,0,4.0,14665,2,14,26.29003437534247,7.508219153643836
2018,Kalimantan Utara,0,0,0,0.0,0,0,1,24.135433695890413,9.581917856164385
2018,Kepulauan Bangka Belitung,0,0,0,0.0,1889,6,13,26.55554791232877,7.893698636356164
2018,Kepulauan Riau,3,0,0,0.0,50,0,4,26.9085844,6.407123291972603
2018,Lampung,13,1,3,296.0,6038,17,17,26.298527342465757,6.519999936602739
2018,Maluku,2,0,1,19.0,393,1,5,22.73134707671233,8.287671273452053
2018,Maluku Utara,0,0,2,39.0,3481,4,12,24.57320791506849,12.099178081178083
2018,Nusa Tenggara Barat,3,0,2,2129.0,4480,52,39,25.018139432876712,5.036438432246576
2018,Nusa Tenggara Timur,9,0,1,492.0,2746,2,28,26.122237487671235,5.4375343679178085
2018,Papua,0,0,130,25.0,417,18,8,20.067488561643835,28.693150809452057
2018,Papua Barat,0,0,0,0.0,1620,2,6,21.306107334246576,13.095616422
2018,Riau,0,0,0,1239.0,12110,92,15,26.04465774520548,6.8364383389041095
2018,Sulawesi Barat,0,0,7,5.0,1509,2,5,16.239520494520548,9.122465836054795
2018,Sulawesi Selatan,10,0,3,607.0,22955,255,39,24.573949846575346,7.955890474328767
2018,Sulawesi Tengah,0,0,18,83.0,1535,8,7,18.89584461917808,15.355616464328769
2018,Sulawesi Tenggara,0,1,1,33.0,4951,12,17,25.983333263013694,7.494520547506849
2018,Sulawesi Utara,0,0,0,9.0,3987,0,10,25.142191712328767,6.486849284493151
2018,Sumatera Barat,12,1,18,190.0,5369,94,50,23.56380144383562,6.157534257123288
2018,Sumatera Selatan,0,0,0,4.0,6000,20,33,26.490513600000003,6.874794552273973
2018,Sumatera Utara,32,8,33,260.0,15548,87,32,19.96184934520548,10.104657563863016
2018,Yogyakarta,0,0,0,1.0,120,0,4,25.14764838630137,3.827123272575342
2019,Aceh,0,0,0,294.0,5290,27,65,22.11743161643836,8.261917795671232
2019,Bali,0,0,0,2.0,9,1,5,24.636449769863013,7.271780826958904
2019,Banten,0,0,0,271.0,2825,15,9,26.53216893150685,4.282191780219178
2019,Bengkulu,26,4,4,2031.0,7456,145,15,25.71565070684932,6.450137011671233
2019,Gorontalo,0,0,0,5.0,717,4,3,23.52166680547945,9.298082276219178
2019,Jakarta Raya,2,0,0,0.0,0,0,2,26.968059446575342,4.345479397863014
2019,Jambi,0,0,0,0.0,4038,4,12,26.652922342465757,5.98301370539726
2019,Jawa Barat,4,0,1,521.0,36583,130,110,20.410947610958903,5.582739801178082
2019,Jawa Tengah,11,2,10,67.0,14856,26,111,25.719737391780825,5.229589029561644
