Tahun,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
2018,Aceh,21.86762578630137,8.906575363534246,0,0,0,195,26019,59,92
2018,Bali,24.30456631780822,7.746027302657534,4,0,6,49,450,23,29
2018,Banten,26.087785276712328,5.938356152630137,1,0,0,7,4022,5,18
2018,Bengkulu,25.604863027397258,9.159178139232877,0,0,0,0,1253,2,8
2018,Gorontalo,23.331027372602737,11.960548150630135,0,1,0,6,3241,7,14
2018,Jakarta Raya,26.657317320547943,4.1780821693972605,2,0,1,0,1230,0,16
2018,Jambi,26.18470311232877,7.743835631972603,3,0,2,4,1594,17,7
2018,Jawa Barat,20.073915463013694,6.876712360767124,11,0,4,574,60304,210,79
2018,Jawa Tengah,25.540673665753424,5.135890402328768,8,0,2,190,33717,18,85
2018,Jawa Timur,26.513150695890413,4.015068547945205,9,2,9,517,26607,161,87
2018,Kalimantan Barat,25.82816213150685,7.851506860794521,3,1,0,551,11332,72,50
2018,Kalimantan Selatan,25.044109589041096,6.963835616438357,0,0,0,9,1149,2,15
2018,Kalimantan Tengah,26.17699764657534,8.36410960279452,0,0,0,0,6261,48,25
2018,Kalimantan Timur,26.29003437534247,7.508219153643836,1,0,0,4,14665,2,14
2018,Kalimantan Utara,24.135433695890413,9.581917856164385,0,0,0,0,0,0,1
2018,Kepulauan Bangka Belitung,26.55554791232877,7.893698636356164,0,0,0,0,1889,6,13
2018,Kepulauan Riau,26.9085844,6.407123291972603,3,0,0,0,50,0,4
2018,Lampung,26.298527342465757,6.519999936602739,13,1,3,296,6038,17,17
2018,Maluku,22.73134707671233,8.287671273452053,2,0,1,19,393,1,5
2018,Maluku Utara,24.57320791506849,12.099178081178083,0,0,2,39,3481,4,12
2018,Nusa Tenggara Barat,25.018139432876712,5.036438432246576,3,0,2,2129,4480,52,39
2018,Nusa Tenggara Timur,26.122237487671235,5.4375343679178085,9,0,1,492,2746,2,28
2018,Papua,20.067488561643835,28.693150809452057,0,0,130,25,417,18,8
2018,Papua Barat,21.306107334246576,13.095616422,0,0,0,0,1620,2,6
2018,Riau,26.04465774520548,6.8364383389041095,0,0,0,1239,12110,92,15
2018,Sulawesi Barat,16.239520494520548,9.122465836054795,0,0,7,5,1509,2,5
2018,Sulawesi Selatan,24.573949846575346,7.955890474328767,10,0,3,607,22955,255,39
2018,Sulawesi Tengah,18.89584461917808,15.355616464328769,0,0,18,83,1535,8,7
2018,Sulawesi Tenggara,25.983333263013694,7.494520547506849,0,1,1,33,4951,12,17
2018,Sulawesi Utara,25.142191712328767,6.486849284493151,0,0,0,9,3987,0,10
2018,Sumatera Barat,23.56380144383562,6.157534257123288,12,1,18,190,5369,94,50
2018,Sumatera Selatan,26.490513600000003,6.874794552273973,0,0,0,4,6000,20,33
2018,Sumatera Utara,19.96184934520548,10.104657563863016,32,8,33,260,15548,87,32
2018,Yogyakarta,25.14764838630137,3.827123272575342,0,0,0,1,120,0,4
2019,Aceh,22.11743161643836,8.261917795671232,0,0,0,294,5290,27,65
2019,Bali,24.636449769863013,7.271780826958904,0,0,0,2,9,1,5
2019,Banten,26.53216893150685,4.282191780219178,0,0,0,271,2825,15,9
2019,Bengkulu,25.71565070684932,6.450137011671233,26,4,4,2031,7456,145,15
2019,Gorontalo,23.52166680547945,9.298082276219178,0,0,0,5,717,4,3
2019,Jakarta Raya,26.968059446575342,4.345479397863014,2,0,0,0,0,0,2
2019,Jambi,26.652922342465757,5.98301370539726,0,0,0,0,4038,4,12
2019,Jawa Barat,20.410947610958903,5.582739801178082,4,0,1,521,36583,130,110
2019,Jawa Tengah,25.719737391780825,5.229589029561644,11,2,10,67,14856,26,111
2019,Jawa Timur,26.5751597260274,4.464383553260274,4,0,1,97,33738,136,99
2019,Kalimantan Barat,26.15423523561644,6.886849237616438,1,0,0,14,6915,21,19
2019,Kalimantan Selatan,25.522465753424655,5.745479452054794,0,0,0,1,1476,3,20
2019,Kalimantan Tengah,26.479143715068496,6.857534194082192,0,0,0,1,9344,198,30
2019,Kalimantan Timur,26.66713469863014,5.318904101726028,0,0,0,21,976,28,12
2019,Kalimantan Utara,24.2681733890411,8.148219244054795,0,0,0,13,772,11,5
2019,Kepulauan Bangka Belitung,26.81986298630137,7.220547992136986,0,0,1,271,527,3,12
2019,Kepulauan Riau,27.29127831780822,4.998356166958904,0,0,0,1,130,8,1
2019,Lampung,26.75807090684932,5.611232914493151,2,0,0,68,5566,39,10
