Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
1;6206 107 2023 09 025 1;6206;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Sukamara Ds. Mendawai;SUKAMARA;KALIMANTAN TENGAH;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
2;1101 101 2023 09 025 1;1101;25/09/23;BANJIR;Kec. Simeuleu Barat Ds. Sigulai Kec. Salang Ds. Tameng Ds. Padang Unoi Ds. Nasreuheu Ds. Jaya Baru Ds. Meunafa Kec. Simeulue Tengah Ds. Latitik;SIMEULUE;ACEH;Dokumentasi;Curah hujan yg mengguyur sebagian di wilayah Kabupaten Simeulue semenjak tadi malam, mengakibatkan banjir di Kec. Simeulue Barat, Kec. Simeulue Tengah dan Kec. Salang;;;;0;75;0
3;6208 107 2023 09 025 1;6208;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Seruyan Hilir Kec. Danau Sembuluh;SERUYAN;KALIMANTAN TENGAH;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
4;5101 106 2023 09 025 1;5101;25/09/23;KEKERINGAN;Kec. Jembrana Kel. Pendem Kec. Melaye  Ds. Manistutu;JEMBRANA;BALI;Dokumentasi;debit sungai sudah menurun dan telah memasuki tahapan puncak musim kemarau.;;;;0;;0
5;1604 107 2023 09 025 1;1604;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Pulau Pinang  Ds. Terkul;LAHAT;SUMATERA SELATAN;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
6;3520 107 2023 09 025 1;3520;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Magetan  Ds. Purwosari;MAGETAN;JAWA TIMUR;Dokumentasi;Berawal dari informasi masuk kepada BPBD Kabupaten  Magetan pada pukul 12.30 WIB bahwa terdapat kebakaran rumpun bambu dan merembet di pekarangan rumah -/+ 1 meter yang berada di perbatasan Desa Baron dengan Desa Purwosari, Kecamatan Magetan, Kabupaten Magetan. Untuk penyebab belum diketahui.;;;;0;;0
7;6310 107 2023 09 025 1;6310;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Batulicin  Ds. Polewali Marajae;TANAH BUMBU;KALIMANTAN SELATAN;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
8;1871 106 2023 09 025 1;1871;25/09/23;KEKERINGAN;Kec. Sukarame Kel. Waydadi;KOTA BANDAR LAMPUNG;LAMPUNG;Dokumentasi;Dikarenakan intensitas hujan yang menurun di wilayah tersebut sehingga mengakibatkan debit air sumur warga mengering dan warga kesulitan memenuhi kebutuhan air bersih setiap harinya.;;;;0;;0
9;1807 107 2023 09 025 1;1807;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Baradatu;WAY KANAN;LAMPUNG;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
10;6305 107 2023 09 025 1;6305;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Candi Laras Selatan  Ds. Sungai Rutas Hulu;TAPIN;KALIMANTAN SELATAN;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
11;1906 107 2023 09 025 1;1906;25/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Damar  Ds. Suka Mandi;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Menurut keterangan Ibu. Lista saat melintas jalan Manggar-Damar bahwa asap api yang sangat tebal berasal dari area Tower, karna itu Ibu. Lista melaporkan kejadian tersebut dengan BPBD Kab. Belitung Timur.;;;;0;;0
12;3213 106 2023 09 025 1;3213;25/09/23;KEKERINGAN;Kec. Cibogo Ds. Cibalandong;SUBANG;JAWA BARAT;Dokumentasi;Debit dari sumber mata air berkurang sehingga mengakibatkan kekurangan air.;;;;0;;0
13;3579 107 2023 09 024 1;3579;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bumiaji  Ds. Bumiaji;KOTA BATU;JAWA TIMUR;Dokumentasi;masih dalam proses penyelidikan;;;;0;;0
14;3604 106 2023 09 024 1;3604;24/09/23;KEKERINGAN;Kec. Potang Kec. Tirtayasa Kec. Tanara Kec. Lebakwangi Kec. Carenang Kec. Binuang Kec. Kibin Kec. Cikande Kec. Jawilan Kec. Kopo Kec. Bandung Kec. Pamarayan Kec. Tanjung Teja Kec. Petir Kec. Ciomas Kec. Cikeusal Kec. Kragilan Kec. Ciruas Kec. Cinangka;SERANG;BANTEN;Dokumentasi;Dipicu oleh kemarau yang panjang;;;;0;;0
15;6209 107 2023 09 024 1;6209;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Katingan Kuala Ds. Bumi Subur Ds. Subur Indah Ds. Sigam Raya Ds. Jaya Makmur Ds. Kampung Baru Kec. Mendawai Ds. Bangun Jaya Kec. Marikit Ds. Tumbang Lambi Ds. Tumbang Pahanei Ds. Tumbang Taei Ds. Tumbang Dakei Ds. Tumbang Sarei  Kec. Sanaman Mantikei Ds. Tumbang Manggo Kec. Tasik Payawan Ds. Handiwung Kec. Kamipang Ds. Asem Kumbang;KATINGAN;KALIMANTAN TENGAH;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
16;1672 107 2023 09 024 1;1672;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Cambai  Kel. Cambai;KOTA PRABUMULIH;SUMATERA SELATAN;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
17;3308 107 2023 09 024 1;3308;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Windusari Ds. Kembangkuning;MAGELANG;JAWA TENGAH;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
18;6106 107 2023 09 024 1;6106;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Matan Hilir Selatan  Ds. Pematang Gadung;KETAPANG;KALIMANTAN BARAT;Dokumentasi;sengaja dibakar untuk membuka lahan;;;;0;;0
19;7204 107 2023 09 024 1;7204;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Pamona Selatan Ds. Pasir Putih;POSO;SULAWESI TENGAH;Dokumentasi;Belum diketahui;;;;0;;0
20;1906 107 2023 09 024 1;1906;24/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Gantung  Ds. Selinsing;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;masih dalam penyelidikan pihak berwajib;;;;0;;0
21;1103 101 2023 09 024 1;1103;24/09/23;BANJIR;Kec. Kota Bahagia Ds. Betong  Kec. Trumon Tengah Ds. Ladang Rimba Ds. Gampong  Teungoh;ACEH SELATAN;ACEH;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;0;12;0
