"iso","adm1","umd_tree_cover_extent_2000__ha","area__ha"
"IDN",1,4984709.80236098959765074,5683651.24466288856519588
"IDN",2,365484.72851892991138825,559069.42780415962406265
"IDN",3,1332851.10520897342854143,1675822.10385787348942122
"IDN",4,561726.64604146470871202,935222.44639088649696735
"IDN",5,1795194.99933062524180098,1981467.13232934638331757
"IDN",6,1002909.96349711098255104,1204186.68245578171954407
"IDN",7,1305.13199256971774903,65354.62237237534057119
"IDN",8,4484195.45601312150136711,4896338.60203248887229426
"IDN",9,2007194.16846182556185849,3705872.96118353712819307
"IDN",10,1507021.90444447344920325,3443678.33444860515855994
"IDN",11,1917065.50666803541906580,4799633.52945909306234338
"IDN",12,13640415.37489901374393592,14687429.23751537364782028
"IDN",13,2818022.47529698521778892,3737280.67260345581471993
"IDN",14,14220871.95879311817076096,15371142.20171358305079272
"IDN",15,18555913.97166278440363645,19597828.89372415651639701
"IDN",16,689816.59301792394745658,827823.22520236930014987
"IDN",17,1783154.91523702519963479,3348754.00875342331933599
"IDN",18,3073268.65923986570894131,3150921.15890946175962111
"IDN",19,4147422.08406698305314510,4634778.92542463486098002
"IDN",20,1134689.89189438971978512,1967050.52183705206815697
"IDN",21,2298089.48834363306671086,4644385.48202451451289318
"IDN",22,9456467.04287720029410296,9852296.85564382488293266
"IDN",23,29567808.18178748882052223,31378173.52226020603615305
"IDN",24,7848796.35333611554119931,8988059.13531234364278594
"IDN",25,1513857.78841454703098414,1657128.21478572526394423
"IDN",26,3038123.02346056520831933,4547521.04105762169608290
"IDN",27,5659034.15144501740873882,6115655.73761140608192313
"IDN",28,3163844.68467956241855832,3663110.54250687350356275
"IDN",29,1305523.95725781300886304,1450738.02742890185301901
"IDN",30,3810767.91757222549215155,4214603.53876335213299864
"IDN",31,7037572.91774432649390268,8699092.71485586812295150
"IDN",32,5784859.59989162279215895,7222714.69124540771092731
"IDN",33,133242.88302174632553276,317683.58580650811149630
