country;subnational1;subnational2;umd_tree_cover_density_2000__threshold;umd_tree_cover_extent_2000__ha;gfw_aboveground_carbon_stocks_2000__Mg_C;avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1;gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1;gfw_forest_carbon_gross_removals__Mg_CO2_yr-1;gfw_forest_carbon_net_flux__Mg_CO2e_yr-1;gfw_forest_carbon_gross_emissions_2001__Mg_CO2e;gfw_forest_carbon_gross_emissions_2002__Mg_CO2e;gfw_forest_carbon_gross_emissions_2003__Mg_CO2e;gfw_forest_carbon_gross_emissions_2004__Mg_CO2e;gfw_forest_carbon_gross_emissions_2005__Mg_CO2e;gfw_forest_carbon_gross_emissions_2006__Mg_CO2e;gfw_forest_carbon_gross_emissions_2007__Mg_CO2e;gfw_forest_carbon_gross_emissions_2008__Mg_CO2e;gfw_forest_carbon_gross_emissions_2009__Mg_CO2e;gfw_forest_carbon_gross_emissions_2010__Mg_CO2e;gfw_forest_carbon_gross_emissions_2011__Mg_CO2e;gfw_forest_carbon_gross_emissions_2012__Mg_CO2e;gfw_forest_carbon_gross_emissions_2013__Mg_CO2e;gfw_forest_carbon_gross_emissions_2014__Mg_CO2e;gfw_forest_carbon_gross_emissions_2015__Mg_CO2e;gfw_forest_carbon_gross_emissions_2016__Mg_CO2e;gfw_forest_carbon_gross_emissions_2017__Mg_CO2e;gfw_forest_carbon_gross_emissions_2018__Mg_CO2e;gfw_forest_carbon_gross_emissions_2019__Mg_CO2e;gfw_forest_carbon_gross_emissions_2020__Mg_CO2e;gfw_forest_carbon_gross_emissions_2021__Mg_CO2e;gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Indonesia;Aceh;Aceh Barat;0;281203;30730839;109;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;10;260913;30693868;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;15;259283;30628211;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;20;258298;30586447;118;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;25;257565;30556188;119;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat;30;256149;30497184;119;1750870;925252;825619;1081997;482313;303613;702798;1519231;750905;1281725;2928523;3205553;1404738;3016035;2600373;3234029;3930132;1430696;1886576;2457002;1394065;939663;794900;1814013;1360270
Indonesia;Aceh;Aceh Barat;50;249560;30202771;121;1736691;890413;846278;1081485;481893;303220;698405;1511536;748423;1280112;2925593;3187695;1402838;3009396;2590676;3205215;3867640;1422150;1869062;2409864;1372898;926352;777169;1790866;1344710
Indonesia;Aceh;Aceh Barat;75;231202;29177105;126;1659643;794418;865225;1074422;478428;297567;665437;1443050;729918;1247266;2865670;3054363;1383823;2948740;2518092;3007083;3611631;1358864;1767371;2228596;1282315;869399;722527;1689581;1267993
Indonesia;Aceh;Aceh Barat Daya;0;189314;25619501;135;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;10;179293;25589155;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;15;178624;25560286;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;20;178233;25542723;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;25;177985;25531840;143;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Barat Daya;30;177520;25510103;144;838300;326561;511739;484071;375315;2295446;326590;220302;416110;130030;468126;4319579;1001889;1555832;1304118;852877;811285;575165;618990;633247;465716;323093;413444;478141;373227
Indonesia;Aceh;Aceh Barat Daya;50;175238;25399904;145;836646;313822;522824;484005;375284;2295091;326313;220186;415952;129787;468033;4318097;1001684;1555046;1303987;852080;809462;573369;614220;628250;462580;321212;409730;472538;369306
Indonesia;Aceh;Aceh Barat Daya;75;170014;25093161;148;827626;287754;539872;482307;374285;2286473;323515;218805;414084;128674;466408;4302653;997985;1549749;1298862;846443;798216;563077;594143;607258;447679;309524;393342;449859;354434
Indonesia;Aceh;Aceh Besar;0;290557;25751617;89;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;10;211754;25660410;121;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;15;207634;25465252;123;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;20;205208;25346068;124;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;25;203398;25257634;124;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;Aceh;Aceh Besar;30;200000;25079095;125;541455;623719;-82264;339804;159388;38759;633400;396416;181265;370814;95646;1081078;336280;1424267;225928;280864;1114480;322020;594886;1282216;515351;551557;763603;567775;636219
