latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
4.7000046,96.70001,1060.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,3,20.3,0.00,0.00
2020-01-02,51,19.9,0.10,0.10
2020-01-03,51,20.5,0.40,0.40
2020-01-04,53,20.8,2.10,2.10
2020-01-05,51,20.5,0.70,0.70
2020-01-06,51,20.8,0.60,0.60
2020-01-07,3,20.4,0.00,0.00
2020-01-08,3,20.3,0.00,0.00
2020-01-09,61,20.1,4.50,4.50
2020-01-10,51,20.1,1.20,1.20
2020-01-11,51,19.9,1.00,1.00
2020-01-12,51,20.7,0.40,0.40
2020-01-13,3,21.0,0.00,0.00
2020-01-14,51,21.3,0.10,0.10
2020-01-15,3,21.0,0.00,0.00
2020-01-16,51,21.1,0.60,0.60
2020-01-17,53,20.8,2.80,2.80
2020-01-18,51,21.4,0.60,0.60
2020-01-19,53,21.3,4.20,4.20
2020-01-20,63,20.8,13.80,13.80
2020-01-21,63,20.4,13.20,13.20
2020-01-22,51,20.8,0.50,0.50
2020-01-23,51,21.3,0.20,0.20
2020-01-24,3,21.7,0.00,0.00
2020-01-25,51,21.7,0.20,0.20
2020-01-26,61,21.1,5.00,5.00
2020-01-27,63,20.5,6.60,6.60
2020-01-28,51,20.6,2.20,2.20
2020-01-29,51,20.8,0.60,0.60
2020-01-30,51,20.9,1.00,1.00
2020-01-31,51,21.3,0.80,0.80
2020-02-01,51,21.7,0.80,0.80
2020-02-02,53,21.0,6.80,6.80
2020-02-03,61,20.1,5.20,5.20
2020-02-04,51,20.0,0.10,0.10
2020-02-05,3,20.4,0.00,0.00
2020-02-06,61,20.2,8.00,8.00
2020-02-07,63,19.7,31.90,31.90
2020-02-08,51,20.2,1.10,1.10
2020-02-09,3,20.4,0.00,0.00
2020-02-10,63,19.9,6.10,6.10
2020-02-11,61,20.5,5.90,5.90
2020-02-12,65,21.1,12.50,12.50
2020-02-13,63,20.8,15.40,15.40
2020-02-14,61,20.6,5.10,5.10
2020-02-15,61,19.9,5.10,5.10
2020-02-16,55,20.3,3.50,3.50
2020-02-17,53,20.6,2.40,2.40
2020-02-18,63,20.3,5.20,5.20
2020-02-19,63,20.0,21.50,21.50
2020-02-20,3,20.5,0.00,0.00
2020-02-21,51,20.4,0.50,0.50
2020-02-22,3,20.6,0.00,0.00
2020-02-23,53,20.3,2.50,2.50
2020-02-24,51,21.0,0.20,0.20
2020-02-25,51,21.9,1.50,1.50
2020-02-26,53,21.4,3.10,3.10
2020-02-27,51,21.7,0.30,0.30
2020-02-28,63,20.8,11.90,11.90
2020-02-29,63,20.8,7.60,7.60
2020-03-01,53,21.2,1.90,1.90
2020-03-02,51,21.6,0.10,0.10
2020-03-03,3,21.7,0.00,0.00
2020-03-04,51,21.6,0.50,0.50
2020-03-05,51,21.5,2.00,2.00
2020-03-06,61,20.0,7.30,7.30
2020-03-07,51,20.5,2.70,2.70
2020-03-08,53,21.1,2.20,2.20
2020-03-09,53,21.1,1.40,1.40
2020-03-10,61,20.8,4.90,4.90
2020-03-11,63,20.5,16.10,16.10
2020-03-12,63,20.8,10.10,10.10
2020-03-13,51,21.4,0.20,0.20
2020-03-14,3,22.2,0.00,0.00
2020-03-15,53,21.7,2.70,2.70
2020-03-16,63,21.4,10.20,10.20
2020-03-17,63,20.9,7.40,7.40
