latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.400002,115.20001,465.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,24.8,22.60,22.60
2020-01-02,63,25.4,9.00,9.00
2020-01-03,65,25.4,42.40,42.40
2020-01-04,63,25.1,18.90,18.90
2020-01-05,61,25.1,8.70,8.70
2020-01-06,65,25.2,24.10,24.10
2020-01-07,65,24.9,40.40,40.40
2020-01-08,61,25.2,6.10,6.10
2020-01-09,53,25.4,2.20,2.20
2020-01-10,51,25.8,0.90,0.90
2020-01-11,63,25.1,14.30,14.30
2020-01-12,55,25.3,4.80,4.80
2020-01-13,65,25.6,14.70,14.70
2020-01-14,53,26.1,1.90,1.90
2020-01-15,2,26.0,0.00,0.00
2020-01-16,2,26.0,0.00,0.00
2020-01-17,53,25.7,1.90,1.90
2020-01-18,51,25.7,1.30,1.30
2020-01-19,51,25.9,1.00,1.00
2020-01-20,65,25.4,37.20,37.20
2020-01-21,63,25.8,10.30,10.30
2020-01-22,63,25.9,6.70,6.70
2020-01-23,55,25.7,4.90,4.90
2020-01-24,61,25.8,4.90,4.90
2020-01-25,61,25.6,4.70,4.70
2020-01-26,61,25.7,3.10,3.10
2020-01-27,63,26.0,9.50,9.50
2020-01-28,63,26.2,5.00,5.00
2020-01-29,61,26.5,5.10,5.10
2020-01-30,63,25.1,26.20,26.20
2020-01-31,65,26.0,33.60,33.60
2020-02-01,65,25.2,46.90,46.90
2020-02-02,63,25.3,10.70,10.70
2020-02-03,53,25.6,2.70,2.70
2020-02-04,51,25.9,0.40,0.40
2020-02-05,51,26.3,0.10,0.10
2020-02-06,63,26.2,10.50,10.50
2020-02-07,65,25.6,32.50,32.50
2020-02-08,63,25.4,22.10,22.10
2020-02-09,63,24.2,38.60,38.60
2020-02-10,65,25.2,36.00,36.00
2020-02-11,65,24.8,22.50,22.50
2020-02-12,63,25.4,12.50,12.50
2020-02-13,65,25.6,17.20,17.20
2020-02-14,63,25.7,13.10,13.10
2020-02-15,65,25.3,23.80,23.80
2020-02-16,65,25.1,30.40,30.40
2020-02-17,65,25.0,37.20,37.20
2020-02-18,63,25.3,11.20,11.20
2020-02-19,63,24.5,30.80,30.80
2020-02-20,61,24.9,11.50,11.50
2020-02-21,65,24.7,46.30,46.30
2020-02-22,65,25.1,29.70,29.70
2020-02-23,53,25.7,3.20,3.20
2020-02-24,63,25.9,7.50,7.50
2020-02-25,65,25.8,39.00,39.00
2020-02-26,65,25.6,46.80,46.80
2020-02-27,63,26.0,18.50,18.50
2020-02-28,65,26.0,25.00,25.00
2020-02-29,63,25.9,10.90,10.90
2020-03-01,65,25.1,35.40,35.40
2020-03-02,65,26.1,26.20,26.20
2020-03-03,65,25.9,29.00,29.00
2020-03-04,63,25.1,26.70,26.70
2020-03-05,65,25.2,33.50,33.50
2020-03-06,65,25.0,37.10,37.10
2020-03-07,63,24.9,16.80,16.80
2020-03-08,65,24.8,30.70,30.70
2020-03-09,65,24.9,21.50,21.50
2020-03-10,63,25.5,18.30,18.30
2020-03-11,55,25.6,2.30,2.30
2020-03-12,63,25.6,9.90,9.90
2020-03-13,63,25.3,30.10,30.10
2020-03-14,63,25.1,14.50,14.50
2020-03-15,55,25.7,4.70,4.70
2020-03-16,63,25.3,16.40,16.40
2020-03-17,63,25.0,19.20,19.20
2020-03-18,63,24.8,17.80,17.80
2020-03-19,63,25.1,15.60,15.60
2020-03-20,53,25.4,2.30,2.30
2020-03-21,53,25.2,2.10,2.10
2020-03-22,63,25.5,6.50,6.50
2020-03-23,65,25.1,38.30,38.30
2020-03-24,65,25.1,30.00,30.00
