latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-3.7999954,102.30002,18.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,25.8,7.50,7.50
2020-01-02,63,25.6,13.00,13.00
2020-01-03,55,26.0,4.40,4.40
2020-01-04,63,26.0,7.40,7.40
2020-01-05,63,25.9,7.10,7.10
2020-01-06,63,25.9,9.10,9.10
2020-01-07,61,26.0,7.40,7.40
2020-01-08,55,26.1,5.10,5.10
2020-01-09,63,24.7,36.70,36.70
2020-01-10,63,24.2,38.20,38.20
2020-01-11,63,24.2,44.20,44.20
2020-01-12,55,25.8,4.60,4.60
2020-01-13,61,25.0,13.50,13.50
2020-01-14,51,26.2,1.90,1.90
2020-01-15,61,26.3,9.80,9.80
2020-01-16,53,25.8,3.90,3.90
2020-01-17,61,26.0,4.50,4.50
2020-01-18,63,25.4,30.10,30.10
2020-01-19,63,25.8,10.80,10.80
2020-01-20,63,25.7,17.40,17.40
2020-01-21,61,26.0,6.30,6.30
2020-01-22,63,25.9,23.30,23.30
2020-01-23,61,25.8,6.60,6.60
2020-01-24,61,26.2,4.80,4.80
2020-01-25,61,26.2,5.20,5.20
2020-01-26,61,26.4,5.60,5.60
2020-01-27,61,25.9,6.00,6.00
2020-01-28,63,25.9,10.40,10.40
2020-01-29,53,25.8,2.10,2.10
2020-01-30,2,26.9,0.00,0.00
2020-01-31,1,26.9,0.00,0.00
2020-02-01,63,26.8,7.20,7.20
2020-02-02,61,26.4,14.70,14.70
2020-02-03,65,26.1,27.30,27.30
2020-02-04,61,26.2,9.40,9.40
2020-02-05,63,25.6,19.30,19.30
2020-02-06,55,25.3,7.60,7.60
2020-02-07,63,25.4,15.50,15.50
2020-02-08,63,24.6,35.00,35.00
2020-02-09,53,25.9,0.80,0.80
2020-02-10,2,26.7,0.00,0.00
2020-02-11,2,26.6,0.00,0.00
2020-02-12,61,28.0,2.30,2.30
2020-02-13,63,26.4,15.10,15.10
2020-02-14,63,25.9,20.80,20.80
2020-02-15,63,25.4,18.30,18.30
2020-02-16,63,25.0,15.50,15.50
2020-02-17,53,26.3,2.20,2.20
2020-02-18,53,25.8,3.80,3.80
2020-02-19,61,25.7,4.20,4.20
2020-02-20,63,26.0,9.70,9.70
2020-02-21,63,26.4,5.60,5.60
2020-02-22,63,27.2,7.80,7.80
2020-02-23,53,26.8,1.90,1.90
2020-02-24,53,26.9,3.10,3.10
2020-02-25,63,26.7,8.40,8.40
2020-02-26,63,26.8,10.60,10.60
