latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.5,112.20001,39.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,24.9,13.50,13.50
2020-01-02,63,26.0,10.90,10.90
2020-01-03,65,25.9,13.30,13.30
2020-01-04,51,26.2,1.20,1.20
2020-01-05,61,26.2,13.80,13.80
2020-01-06,63,25.9,12.80,12.80
2020-01-07,63,25.6,9.70,9.70
2020-01-08,63,25.1,11.80,11.80
2020-01-09,61,26.3,3.10,3.10
2020-01-10,63,26.0,13.40,13.40
2020-01-11,63,25.7,10.70,10.70
2020-01-12,53,25.6,4.60,4.60
2020-01-13,2,26.7,0.00,0.00
2020-01-14,53,26.6,1.10,1.10
2020-01-15,61,26.8,3.80,3.80
2020-01-16,55,27.1,1.10,1.10
2020-01-17,1,27.5,0.00,0.00
2020-01-18,1,27.8,0.00,0.00
2020-01-19,2,27.9,0.00,0.00
2020-01-20,63,26.9,9.10,9.10
2020-01-21,63,26.2,9.70,9.70
2020-01-22,55,27.2,2.30,2.30
2020-01-23,63,26.9,6.50,6.50
2020-01-24,53,26.9,2.70,2.70
2020-01-25,53,26.6,4.20,4.20
2020-01-26,63,26.4,16.10,16.10
2020-01-27,61,26.7,2.90,2.90
2020-01-28,53,27.5,2.70,2.70
2020-01-29,63,27.3,10.00,10.00
2020-01-30,63,26.0,20.00,20.00
2020-01-31,61,26.4,4.90,4.90
2020-02-01,53,26.5,5.50,5.50
2020-02-02,63,25.9,16.40,16.40
2020-02-03,63,26.2,10.50,10.50
2020-02-04,53,26.6,1.70,1.70
2020-02-05,51,27.3,1.10,1.10
2020-02-06,51,26.7,0.40,0.40
2020-02-07,65,26.0,20.60,20.60
2020-02-08,61,25.5,11.60,11.60
2020-02-09,53,25.5,3.10,3.10
2020-02-10,61,26.3,4.80,4.80
2020-02-11,63,25.5,11.50,11.50
2020-02-12,61,25.8,6.60,6.60
2020-02-13,63,26.5,8.60,8.60
2020-02-14,63,26.4,10.10,10.10
2020-02-15,63,25.9,20.40,20.40
2020-02-16,63,26.1,12.00,12.00
2020-02-17,63,25.6,13.60,13.60
2020-02-18,63,25.4,16.90,16.90
2020-02-19,63,25.0,11.60,11.60
2020-02-20,61,24.9,7.30,7.30
2020-02-21,65,25.6,16.40,16.40
2020-02-22,63,26.2,8.00,8.00
2020-02-23,65,26.2,11.30,11.30
2020-02-24,63,26.0,8.60,8.60
2020-02-25,63,25.7,21.20,21.20
2020-02-26,65,25.8,17.30,17.30
2020-02-27,63,25.6,10.40,10.40
2020-02-28,63,26.2,28.90,28.90
2020-02-29,65,25.7,14.90,14.90
2020-03-01,63,25.6,10.00,10.00
2020-03-02,51,26.4,2.20,2.20
2020-03-03,65,26.3,18.90,18.90
2020-03-04,55,26.3,5.20,5.20
2020-03-05,63,25.7,9.80,9.80
2020-03-06,51,26.2,1.60,1.60
2020-03-07,63,25.4,7.40,7.40
2020-03-08,63,25.8,9.70,9.70
2020-03-09,63,25.0,15.30,15.30
2020-03-10,53,26.4,2.60,2.60
