latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-0.29999542,111.5,58.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,25.2,3.30,3.30
2020-01-02,53,25.4,2.20,2.20
2020-01-03,61,24.9,9.20,9.20
2020-01-04,53,25.7,3.50,3.50
2020-01-05,61,25.5,10.30,10.30
2020-01-06,61,25.4,6.20,6.20
2020-01-07,53,25.8,2.00,2.00
2020-01-08,61,26.1,5.50,5.50
2020-01-09,61,26.0,5.80,5.80
2020-01-10,63,25.1,39.70,39.70
2020-01-11,61,24.2,17.00,17.00
2020-01-12,61,24.8,9.00,9.00
2020-01-13,3,26.4,0.00,0.00
2020-01-14,51,26.7,1.10,1.10
2020-01-15,61,26.1,9.00,9.00
2020-01-16,61,25.6,9.60,9.60
2020-01-17,63,25.4,11.40,11.40
2020-01-18,61,25.3,16.90,16.90
2020-01-19,53,25.0,5.60,5.60
2020-01-20,63,25.2,16.90,16.90
2020-01-21,53,26.3,2.00,2.00
2020-01-22,53,26.2,2.60,2.60
2020-01-23,61,25.8,7.00,7.00
2020-01-24,63,24.8,16.20,16.20
2020-01-25,53,25.3,2.30,2.30
2020-01-26,63,25.6,11.90,11.90
2020-01-27,61,25.3,3.10,3.10
2020-01-28,63,25.7,7.60,7.60
2020-01-29,63,24.9,11.20,11.20
2020-01-30,61,23.8,18.60,18.60
2020-01-31,51,25.2,1.30,1.30
2020-02-01,51,26.4,0.20,0.20
2020-02-02,63,25.8,8.60,8.60
2020-02-03,55,26.0,6.50,6.50
2020-02-04,63,25.2,11.70,11.70
2020-02-05,61,25.6,5.60,5.60
2020-02-06,53,26.0,3.20,3.20
2020-02-07,51,24.2,2.00,2.00
2020-02-08,3,25.8,0.00,0.00
2020-02-09,63,25.8,8.00,8.00
2020-02-10,63,25.1,10.30,10.30
2020-02-11,61,26.3,3.50,3.50
2020-02-12,51,26.7,0.50,0.50
2020-02-13,61,26.5,5.00,5.00
2020-02-14,63,25.3,30.40,30.40
2020-02-15,63,24.7,29.00,29.00
2020-02-16,63,24.4,27.60,27.60
2020-02-17,55,24.2,4.90,4.90
2020-02-18,3,25.7,0.00,0.00
2020-02-19,53,26.2,1.90,1.90
2020-02-20,61,26.4,5.70,5.70
2020-02-21,61,25.5,8.80,8.80
2020-02-22,63,25.3,14.60,14.60
2020-02-23,53,26.0,5.30,5.30
2020-02-24,55,25.7,6.30,6.30
2020-02-25,63,25.4,6.70,6.70
2020-02-26,63,25.0,10.40,10.40
2020-02-27,53,26.2,1.00,1.00
2020-02-28,63,25.6,10.00,10.00
2020-02-29,61,26.5,6.50,6.50
2020-03-01,61,25.9,7.50,7.50
2020-03-02,61,26.1,6.90,6.90
2020-03-03,65,24.3,63.00,63.00
2020-03-04,63,25.7,20.10,20.10
2020-03-05,63,24.6,28.50,28.50
2020-03-06,51,25.3,0.80,0.80
2020-03-07,53,26.6,2.50,2.50
2020-03-08,53,27.0,2.20,2.20
2020-03-09,61,26.7,4.60,4.60
2020-03-10,53,27.0,1.40,1.40
2020-03-11,51,28.4,0.50,0.50
2020-03-12,63,26.0,9.40,9.40
2020-03-13,63,26.4,11.10,11.10
2020-03-14,61,26.1,4.80,4.80
2020-03-15,61,26.5,9.20,9.20
2020-03-16,63,24.4,44.50,44.50
2020-03-17,61,25.5,13.90,13.90
2020-03-18,61,24.6,6.70,6.70
2020-03-19,63,25.0,20.50,20.50
2020-03-20,65,24.1,80.50,80.50
2020-03-21,61,25.5,3.50,3.50
2020-03-22,61,26.3,2.70,2.70
2020-03-23,63,24.7,22.80,22.80
2020-03-24,51,26.2,0.10,0.10
2020-03-25,61,26.4,2.90,2.90
2020-03-26,63,25.3,26.20,26.20
2020-03-27,53,26.4,1.40,1.40
2020-03-28,55,26.4,2.40,2.40
2020-03-29,61,26.6,6.70,6.70
2020-03-30,61,25.2,8.00,8.00
2020-03-31,51,26.8,0.40,0.40
2020-04-01,53,27.3,1.30,1.30
2020-04-02,61,26.5,4.10,4.10
2020-04-03,63,26.2,7.00,7.00
2020-04-04,61,25.9,8.10,8.10
2020-04-05,63,25.4,17.20,17.20
2020-04-06,61,25.4,11.50,11.50
2020-04-07,63,24.9,19.60,19.60
2020-04-08,61,25.3,8.20,8.20
2020-04-09,63,26.0,12.60,12.60
2020-04-10,63,25.8,14.60,14.60
2020-04-11,63,25.1,18.60,18.60
2020-04-12,63,26.0,6.30,6.30
2020-04-13,51,26.7,1.30,1.30
2020-04-14,51,27.1,1.10,1.10
2020-04-15,55,26.8,1.90,1.90
2020-04-16,55,25.8,6.30,6.30
2020-04-17,63,26.1,9.60,9.60
2020-04-18,61,25.2,8.00,8.00
2020-04-19,51,26.6,0.10,0.10
2020-04-20,53,27.0,3.50,3.50
2020-04-21,63,26.0,20.10,20.10
2020-04-22,63,26.0,7.70,7.70
2020-04-23,63,25.6,15.90,15.90
2020-04-24,63,25.5,9.60,9.60
2020-04-25,63,25.2,27.30,27.30
2020-04-26,61,25.1,11.30,11.30
2020-04-27,53,25.0,3.80,3.80
2020-04-28,63,24.3,17.70,17.70
2020-04-29,51,26.2,1.20,1.20
2020-04-30,63,25.9,10.80,10.80
2020-05-01,61,25.9,15.40,15.40
2020-05-02,61,25.1,9.60,9.60
2020-05-03,51,25.5,4.80,4.80
2020-05-04,63,26.7,9.60,9.60
2020-05-05,51,27.3,1.50,1.50
2020-05-06,51,27.4,0.20,0.20
2020-05-07,63,26.9,6.10,6.10
2020-05-08,63,26.0,14.80,14.80
2020-05-09,61,26.0,8.30,8.30
2020-05-10,53,27.3,1.30,1.30
2020-05-11,53,26.4,3.90,3.90
2020-05-12,63,25.3,18.00,18.00
2020-05-13,63,26.2,10.50,10.50
2020-05-14,61,25.9,8.60,8.60
2020-05-15,63,26.4,7.70,7.70
2020-05-16,53,26.7,2.60,2.60
2020-05-17,63,26.3,20.80,20.80
2020-05-18,63,24.8,20.80,20.80
2020-05-19,61,26.2,3.00,3.00
2020-05-20,61,25.6,6.70,6.70
2020-05-21,61,26.3,3.90,3.90
2020-05-22,61,25.6,5.40,5.40
2020-05-23,53,26.8,0.70,0.70
2020-05-24,51,27.2,0.60,0.60
2020-05-25,53,27.2,0.90,0.90
2020-05-26,63,26.8,10.30,10.30
2020-05-27,63,25.6,15.60,15.60
2020-05-28,53,24.9,3.00,3.00
2020-05-29,51,26.3,0.20,0.20
2020-05-30,55,26.8,2.50,2.50
2020-05-31,61,26.2,4.10,4.10
2020-06-01,63,24.8,21.00,21.00
2020-06-02,63,25.4,4.70,4.70
2020-06-03,61,26.1,4.40,4.40
2020-06-04,61,26.0,5.20,5.20
2020-06-05,61,25.3,11.40,11.40
2020-06-06,63,24.8,13.30,13.30
2020-06-07,53,25.8,2.70,2.70
2020-06-08,61,26.0,4.90,4.90
2020-06-09,53,26.2,1.30,1.30
2020-06-10,3,26.7,0.00,0.00
2020-06-11,51,26.3,0.30,0.30
2020-06-12,51,26.6,0.60,0.60
2020-06-13,63,26.7,8.10,8.10
2020-06-14,51,26.2,0.10,0.10
2020-06-15,55,26.9,1.10,1.10
2020-06-16,63,24.7,5.90,5.90
2020-06-17,61,25.6,9.50,9.50
2020-06-18,63,25.2,19.00,19.00
2020-06-19,63,25.5,11.80,11.80
2020-06-20,61,24.9,5.20,5.20
2020-06-21,63,25.1,19.80,19.80
2020-06-22,63,24.5,26.40,26.40
2020-06-23,63,24.8,7.60,7.60
2020-06-24,63,24.3,25.90,25.90
2020-06-25,61,24.8,11.30,11.30
2020-06-26,63,24.7,19.90,19.90
2020-06-27,55,23.9,12.20,12.20
2020-06-28,61,25.5,2.00,2.00
2020-06-29,3,26.2,0.00,0.00
2020-06-30,61,25.5,3.10,3.10
2020-07-01,63,25.5,20.90,20.90
2020-07-02,61,24.5,17.50,17.50
2020-07-03,53,25.6,2.90,2.90
2020-07-04,55,25.7,4.20,4.20
2020-07-05,53,24.8,3.20,3.20
2020-07-06,51,25.2,1.30,1.30
2020-07-07,63,25.4,8.30,8.30
