latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.2000046,116.100006,586.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,23.3,5.90,5.90
2020-01-02,61,23.8,6.30,6.30
2020-01-03,53,22.2,5.50,5.50
2020-01-04,53,22.5,5.90,5.90
2020-01-05,61,22.7,3.20,3.20
2020-01-06,51,23.5,0.30,0.30
2020-01-07,63,23.1,5.30,5.30
2020-01-08,51,22.3,0.40,0.40
2020-01-09,51,23.6,1.10,1.10
2020-01-10,61,23.8,9.00,9.00
2020-01-11,63,22.1,29.10,29.10
2020-01-12,63,22.1,18.80,18.80
2020-01-13,53,22.2,4.30,4.30
2020-01-14,63,22.5,15.50,15.50
2020-01-15,61,23.3,5.70,5.70
2020-01-16,63,23.6,10.80,10.80
2020-01-17,63,23.3,45.80,45.80
2020-01-18,61,23.3,6.40,6.40
2020-01-19,53,23.4,1.60,1.60
2020-01-20,53,23.7,4.70,4.70
2020-01-21,51,23.6,1.50,1.50
2020-01-22,51,23.1,1.90,1.90
2020-01-23,51,23.1,0.40,0.40
2020-01-24,3,23.1,0.00,0.00
2020-01-25,61,24.0,3.20,3.20
2020-01-26,63,23.8,21.50,21.50
2020-01-27,61,23.7,3.80,3.80
2020-01-28,55,23.7,4.00,4.00
2020-01-29,61,23.3,6.70,6.70
2020-01-30,61,23.2,7.00,7.00
2020-01-31,61,22.8,4.60,4.60
2020-02-01,63,22.2,11.30,11.30
2020-02-02,51,23.7,0.70,0.70
2020-02-03,51,23.7,0.80,0.80
2020-02-04,53,22.8,3.00,3.00
2020-02-05,63,23.1,13.80,13.80
2020-02-06,63,23.6,6.20,6.20
2020-02-07,61,24.1,2.80,2.80
2020-02-08,63,24.1,12.20,12.20
2020-02-09,63,22.5,20.80,20.80
2020-02-10,55,22.5,4.10,4.10
2020-02-11,51,22.6,1.20,1.20
2020-02-12,53,23.3,2.20,2.20
2020-02-13,61,23.5,4.70,4.70
2020-02-14,63,23.3,8.70,8.70
2020-02-15,63,22.5,26.70,26.70
2020-02-16,63,22.7,8.60,8.60
2020-02-17,53,24.3,2.10,2.10
2020-02-18,51,23.7,0.70,0.70
2020-02-19,63,22.8,15.10,15.10
2020-02-20,53,23.2,3.70,3.70
2020-02-21,51,23.0,2.50,2.50
2020-02-22,51,23.7,0.90,0.90
2020-02-23,51,23.9,0.60,0.60
2020-02-24,51,24.3,0.80,0.80
2020-02-25,53,23.9,2.60,2.60
2020-02-26,63,23.7,9.70,9.70
2020-02-27,53,23.4,4.80,4.80
2020-02-28,63,24.3,6.60,6.60
2020-02-29,51,24.1,1.50,1.50
2020-03-01,51,24.0,0.80,0.80
2020-03-02,53,23.9,2.60,2.60
2020-03-03,63,23.1,16.90,16.90
2020-03-04,63,22.5,25.70,25.70
2020-03-05,63,23.6,23.40,23.40
2020-03-06,53,24.2,3.10,3.10
2020-03-07,63,23.6,14.20,14.20
2020-03-08,61,23.5,4.00,4.00
2020-03-09,55,23.4,7.10,7.10
2020-03-10,63,22.2,33.70,33.70
2020-03-11,53,23.6,4.00,4.00
2020-03-12,55,23.8,4.30,4.30
2020-03-13,61,23.6,4.40,4.40
2020-03-14,51,24.1,0.90,0.90
2020-03-15,51,24.2,0.20,0.20
2020-03-16,51,23.8,1.20,1.20
2020-03-17,51,23.7,2.10,2.10
2020-03-18,51,23.7,1.50,1.50
2020-03-19,53,23.5,2.40,2.40
2020-03-20,63,23.1,7.10,7.10
2020-03-21,63,23.4,14.50,14.50
2020-03-22,51,23.9,0.60,0.60
2020-03-23,61,24.0,9.20,9.20
2020-03-24,63,22.9,13.60,13.60
2020-03-25,63,23.5,7.00,7.00
2020-03-26,63,23.7,12.90,12.90
2020-03-27,61,23.8,7.70,7.70
2020-03-28,63,23.7,16.70,16.70
2020-03-29,63,23.4,15.40,15.40
2020-03-30,63,23.0,15.00,15.00
2020-03-31,65,22.7,33.60,33.60
2020-04-01,63,23.1,23.80,23.80
2020-04-02,63,22.8,15.70,15.70
2020-04-03,63,23.5,8.10,8.10
2020-04-04,53,23.7,2.50,2.50
2020-04-05,51,24.1,1.70,1.70
2020-04-06,51,23.9,2.20,2.20
