latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.9000015,108.100006,25.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,51,26.6,1.70,1.70
2020-01-02,51,26.6,1.50,1.50
2020-01-03,51,26.2,1.80,1.80
2020-01-04,51,26.2,1.10,1.10
2020-01-05,51,26.1,0.10,0.10
2020-01-06,65,25.6,54.40,54.40
2020-01-07,61,26.3,3.40,3.40
2020-01-08,51,26.6,1.50,1.50
2020-01-09,51,26.7,1.30,1.30
2020-01-10,61,26.5,6.60,6.60
2020-01-11,63,25.2,27.10,27.10
2020-01-12,61,26.0,4.10,4.10
2020-01-13,51,26.5,1.00,1.00
2020-01-14,61,26.0,3.60,3.60
2020-01-15,51,26.5,1.90,1.90
2020-01-16,65,26.1,18.10,18.10
2020-01-17,61,26.2,3.10,3.10
2020-01-18,53,26.8,2.30,2.30
2020-01-19,53,26.3,4.40,4.40
2020-01-20,53,26.3,2.30,2.30
2020-01-21,51,27.0,1.60,1.60
2020-01-22,51,26.9,2.30,2.30
2020-01-23,1,26.6,0.00,0.00
2020-01-24,1,26.6,0.00,0.00
2020-01-25,51,26.9,0.80,0.80
2020-01-26,51,26.8,2.60,2.60
2020-01-27,51,27.0,1.30,1.30
2020-01-28,51,27.2,1.10,1.10
2020-01-29,51,27.0,0.30,0.30
2020-01-30,51,26.7,1.00,1.00
2020-01-31,2,26.9,0.00,0.00
2020-02-01,51,26.7,1.50,1.50
2020-02-02,51,26.8,1.50,1.50
2020-02-03,51,26.8,0.40,0.40
2020-02-04,51,26.9,1.40,1.40
2020-02-05,51,26.8,1.00,1.00
2020-02-06,3,26.8,0.00,0.00
2020-02-07,51,26.7,1.50,1.50
2020-02-08,53,26.3,2.00,2.00
2020-02-09,53,26.2,4.80,4.80
2020-02-10,63,25.7,16.50,16.50
2020-02-11,53,26.5,1.40,1.40
2020-02-12,51,27.2,0.10,0.10
2020-02-13,51,27.0,0.40,0.40
2020-02-14,51,26.5,0.30,0.30
2020-02-15,3,26.5,0.00,0.00
2020-02-16,65,26.0,50.30,50.30
2020-02-17,63,25.5,22.20,22.20
2020-02-18,51,26.6,0.90,0.90
2020-02-19,51,26.4,0.50,0.50
2020-02-20,53,26.6,2.90,2.90
2020-02-21,51,26.5,1.90,1.90
2020-02-22,51,26.8,2.10,2.10
2020-02-23,51,26.7,2.00,2.00
2020-02-24,51,26.6,1.00,1.00
2020-02-25,51,26.9,0.70,0.70
2020-02-26,51,26.8,2.00,2.00
2020-02-27,51,26.7,1.70,1.70
2020-02-28,2,26.9,0.00,0.00
2020-02-29,51,27.1,0.70,0.70
2020-03-01,53,27.1,2.40,2.40
2020-03-02,51,27.3,0.70,0.70
2020-03-03,51,27.2,0.40,0.40
2020-03-04,51,27.1,0.50,0.50
2020-03-05,61,26.1,10.90,10.90
2020-03-06,53,26.3,2.90,2.90
2020-03-07,53,27.0,4.00,4.00
2020-03-08,51,27.0,1.10,1.10
2020-03-09,51,26.8,1.10,1.10
2020-03-10,2,26.9,0.00,0.00
2020-03-11,2,27.3,0.00,0.00
2020-03-12,51,27.9,0.20,0.20
2020-03-13,61,27.5,2.70,2.70
2020-03-14,61,27.2,4.00,4.00
2020-03-15,1,27.8,0.00,0.00
2020-03-16,3,27.6,0.00,0.00
2020-03-17,51,27.7,0.40,0.40
2020-03-18,51,27.4,0.10,0.10
2020-03-19,51,27.4,0.40,0.40
2020-03-20,51,27.2,0.80,0.80
2020-03-21,55,27.6,2.70,2.70
2020-03-22,1,28.0,0.00,0.00
2020-03-23,2,28.0,0.00,0.00
2020-03-24,51,28.0,0.50,0.50
2020-03-25,51,28.0,1.80,1.80
2020-03-26,53,27.9,1.80,1.80
2020-03-27,51,28.1,0.40,0.40
2020-03-28,2,28.0,0.00,0.00
2020-03-29,3,27.8,0.00,0.00
2020-03-30,51,27.8,0.60,0.60
2020-03-31,51,28.0,1.30,1.30
2020-04-01,2,28.5,0.00,0.00
2020-04-02,53,28.3,1.00,1.00
2020-04-03,51,28.4,1.10,1.10
2020-04-04,55,28.5,2.50,2.50
2020-04-05,51,28.4,0.30,0.30
2020-04-06,51,28.5,0.40,0.40
2020-04-07,51,28.1,1.20,1.20
2020-04-08,51,28.2,0.30,0.30
2020-04-09,1,28.5,0.00,0.00
2020-04-10,51,28.2,0.90,0.90
2020-04-11,55,27.9,3.60,3.60
2020-04-12,3,28.5,0.00,0.00
2020-04-13,1,28.4,0.00,0.00
2020-04-14,51,28.5,0.80,0.80
2020-04-15,1,28.9,0.00,0.00
2020-04-16,51,28.6,1.30,1.30
2020-04-17,61,28.1,3.40,3.40
2020-04-18,63,27.8,6.80,6.80
2020-04-19,53,28.1,2.60,2.60
2020-04-20,55,28.3,2.90,2.90
2020-04-21,63,27.7,8.40,8.40
2020-04-22,61,27.7,7.30,7.30
2020-04-23,63,27.1,16.90,16.90
2020-04-24,61,27.4,5.90,5.90
2020-04-25,63,27.5,8.10,8.10
2020-04-26,63,27.0,15.40,15.40
2020-04-27,65,26.7,25.50,25.50
2020-04-28,65,26.6,30.10,30.10
2020-04-29,63,27.5,10.70,10.70
2020-04-30,63,27.6,6.20,6.20
2020-05-01,63,26.9,9.00,9.00
2020-05-02,63,26.7,12.60,12.60
2020-05-03,51,27.6,1.70,1.70
2020-05-04,63,27.6,11.30,11.30
2020-05-05,63,26.9,34.80,34.80
2020-05-06,63,27.3,10.00,10.00
2020-05-07,51,28.2,1.10,1.10
2020-05-08,61,28.6,3.00,3.00
2020-05-09,61,28.4,6.80,6.80
2020-05-10,51,28.9,1.10,1.10
2020-05-11,53,28.4,1.90,1.90
2020-05-12,53,28.0,2.30,2.30
2020-05-13,63,27.7,15.10,15.10
2020-05-14,53,27.8,4.00,4.00
2020-05-15,51,28.5,2.10,2.10
2020-05-16,51,28.9,0.70,0.70
2020-05-17,53,28.9,3.10,3.10
2020-05-18,63,28.1,8.90,8.90
2020-05-19,51,28.6,2.20,2.20
2020-05-20,63,28.4,11.40,11.40
2020-05-21,51,28.2,1.90,1.90
2020-05-22,61,28.1,7.60,7.60
2020-05-23,65,27.9,19.30,19.30
2020-05-24,63,27.9,4.60,4.60
2020-05-25,53,28.3,2.00,2.00
2020-05-26,63,27.6,5.80,5.80
2020-05-27,63,27.0,14.10,14.10
2020-05-28,51,28.7,0.30,0.30
2020-05-29,63,27.9,13.70,13.70
2020-05-30,51,28.6,0.50,0.50
2020-05-31,63,28.2,6.10,6.10
2020-06-01,63,27.0,13.80,13.80
2020-06-02,63,27.2,9.00,9.00
2020-06-03,61,27.9,2.80,2.80
2020-06-04,61,28.3,3.10,3.10
2020-06-05,63,26.8,22.90,22.90
2020-06-06,63,26.8,14.60,14.60
2020-06-07,61,27.9,5.70,5.70
2020-06-08,61,27.8,4.70,4.70
2020-06-09,61,28.2,3.60,3.60
2020-06-10,61,27.6,10.30,10.30
2020-06-11,63,27.6,7.90,7.90
2020-06-12,63,27.6,8.20,8.20
2020-06-13,55,27.4,5.60,5.60
2020-06-14,53,28.6,1.30,1.30
2020-06-15,51,28.9,0.50,0.50
2020-06-16,51,27.7,3.00,3.00
2020-06-17,61,27.5,6.60,6.60
2020-06-18,63,26.2,20.60,20.60
2020-06-19,63,26.8,15.30,15.30
2020-06-20,63,26.7,16.50,16.50
2020-06-21,53,27.8,3.70,3.70
2020-06-22,63,26.4,21.70,21.70
2020-06-23,65,26.3,31.10,31.10
2020-06-24,63,26.2,16.10,16.10
2020-06-25,51,27.6,0.40,0.40
2020-06-26,61,26.9,5.90,5.90
2020-06-27,53,27.2,0.80,0.80
2020-06-28,3,28.3,0.00,0.00
2020-06-29,65,27.4,19.10,19.10
2020-06-30,53,27.3,3.10,3.10
2020-07-01,65,27.2,18.20,18.20
2020-07-02,55,27.4,3.40,3.40
2020-07-03,63,27.8,12.00,12.00
2020-07-04,65,26.3,45.50,45.50
2020-07-05,51,27.4,0.40,0.40
2020-07-06,63,27.3,5.50,5.50
2020-07-07,65,27.0,14.20,14.20
2020-07-08,65,26.4,27.60,27.60
2020-07-09,63,25.8,25.80,25.80
2020-07-10,61,26.3,13.50,13.50
2020-07-11,63,26.5,14.00,14.00
2020-07-12,63,26.7,11.50,11.50
2020-07-13,63,26.6,22.30,22.30
2020-07-14,63,25.8,24.90,24.90
2020-07-15,51,27.2,0.20,0.20
2020-07-16,53,27.0,2.10,2.10
2020-07-17,63,26.9,9.90,9.90
2020-07-18,63,26.3,11.00,11.00
2020-07-19,61,27.4,4.50,4.50
2020-07-20,63,27.4,8.20,8.20
2020-07-21,61,27.6,4.40,4.40
2020-07-22,63,26.5,13.60,13.60
2020-07-23,65,25.9,81.10,81.10
2020-07-24,63,26.9,10.10,10.10
2020-07-25,51,27.3,1.40,1.40
2020-07-26,65,26.8,21.80,21.80
2020-07-27,61,26.9,3.50,3.50
2020-07-28,63,26.6,12.20,12.20
2020-07-29,63,25.9,13.90,13.90
2020-07-30,55,26.6,7.60,7.60
2020-07-31,61,27.3,7.30,7.30
2020-08-01,2,28.2,0.00,0.00
2020-08-02,51,28.3,0.30,0.30
2020-08-03,63,28.0,5.60,5.60
2020-08-04,51,28.0,0.50,0.50
2020-08-05,63,26.6,15.90,15.90
2020-08-06,61,27.5,3.80,3.80
2020-08-07,53,27.9,1.00,1.00
2020-08-08,1,28.4,0.00,0.00
2020-08-09,51,28.7,0.60,0.60
2020-08-10,51,28.7,0.30,0.30
2020-08-11,51,28.4,0.50,0.50
2020-08-12,63,27.7,11.50,11.50
2020-08-13,63,27.3,12.10,12.10
2020-08-14,63,26.3,12.20,12.20
2020-08-15,63,27.5,4.60,4.60
2020-08-16,63,26.8,7.10,7.10
2020-08-17,53,27.5,3.20,3.20
2020-08-18,61,26.9,6.20,6.20
2020-08-19,61,27.6,5.10,5.10
2020-08-20,61,27.0,6.20,6.20
2020-08-21,51,27.9,0.90,0.90
2020-08-22,63,27.6,6.10,6.10
2020-08-23,61,27.1,5.80,5.80
2020-08-24,61,27.5,2.80,2.80
2020-08-25,2,27.9,0.00,0.00
2020-08-26,53,27.1,2.20,2.20
2020-08-27,61,26.8,5.60,5.60
2020-08-28,55,27.2,2.40,2.40
2020-08-29,51,27.0,1.60,1.60
2020-08-30,51,28.0,1.10,1.10
2020-08-31,63,27.3,7.20,7.20
2020-09-01,65,26.9,30.60,30.60
2020-09-02,65,26.6,27.20,27.20
2020-09-03,63,26.8,9.60,9.60
2020-09-04,53,26.9,2.60,2.60
2020-09-05,61,26.1,18.80,18.80
2020-09-06,61,26.6,11.30,11.30
2020-09-07,61,26.4,8.60,8.60
2020-09-08,61,27.5,3.20,3.20
2020-09-09,63,27.0,10.80,10.80
2020-09-10,63,26.1,11.80,11.80
2020-09-11,65,26.0,24.10,24.10
2020-09-12,61,26.4,16.20,16.20
2020-09-13,63,25.6,45.90,45.90
2020-09-14,63,26.5,17.40,17.40
2020-09-15,61,27.2,11.70,11.70
2020-09-16,63,27.2,6.70,6.70
2020-09-17,3,27.9,0.00,0.00
2020-09-18,51,28.1,0.10,0.10
2020-09-19,65,27.7,19.90,19.90
2020-09-20,61,27.4,7.50,7.50
2020-09-21,65,26.3,26.40,26.40
2020-09-22,51,26.4,1.10,1.10
2020-09-23,63,27.4,5.30,5.30
2020-09-24,51,27.7,0.90,0.90
2020-09-25,61,26.9,12.30,12.30
2020-09-26,61,26.3,12.30,12.30
2020-09-27,61,25.8,31.40,31.40
2020-09-28,63,27.6,10.40,10.40
2020-09-29,55,27.5,3.80,3.80
2020-09-30,53,27.2,3.70,3.70
2020-10-01,55,27.2,4.30,4.30
2020-10-02,63,26.5,16.20,16.20
2020-10-03,55,26.8,6.70,6.70
2020-10-04,61,26.0,27.50,27.50
2020-10-05,53,27.4,3.00,3.00
2020-10-06,51,27.8,0.70,0.70
2020-10-07,61,27.7,4.50,4.50
2020-10-08,63,26.4,17.40,17.40
2020-10-09,63,27.1,11.60,11.60
2020-10-10,63,26.7,16.20,16.20
2020-10-11,51,27.6,2.00,2.00
2020-10-12,55,26.8,8.90,8.90
2020-10-13,61,27.7,7.50,7.50
2020-10-14,55,27.0,7.00,7.00
2020-10-15,63,27.4,10.20,10.20
2020-10-16,53,27.9,1.90,1.90
2020-10-17,53,28.0,1.80,1.80
2020-10-18,61,27.9,3.10,3.10
2020-10-19,55,27.9,2.00,2.00
2020-10-20,51,27.9,0.70,0.70
2020-10-21,61,27.5,6.20,6.20
2020-10-22,63,26.1,26.90,26.90
2020-10-23,53,26.8,5.50,5.50
2020-10-24,61,26.5,7.20,7.20
2020-10-25,63,26.6,12.30,12.30
2020-10-26,63,26.3,13.30,13.30
2020-10-27,53,27.7,2.10,2.10
2020-10-28,53,27.6,1.50,1.50
2020-10-29,61,27.6,2.60,2.60
2020-10-30,63,27.1,5.80,5.80
2020-10-31,61,27.6,1.80,1.80
2020-11-01,63,25.8,20.90,20.90
