latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-3.199997,130.0,725.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,51,23.4,0.30,0.30
2020-01-02,65,22.2,31.50,31.50
2020-01-03,63,22.1,13.20,13.20
2020-01-04,63,21.6,15.30,15.30
2020-01-05,61,22.2,5.30,5.30
2020-01-06,65,22.4,11.30,11.30
2020-01-07,63,22.4,5.40,5.40
2020-01-08,63,22.3,10.00,10.00
2020-01-09,61,22.6,6.00,6.00
2020-01-10,63,22.7,8.90,8.90
2020-01-11,65,22.6,22.00,22.00
2020-01-12,65,21.4,32.00,32.00
2020-01-13,61,21.1,16.40,16.40
2020-01-14,51,22.9,0.40,0.40
2020-01-15,63,22.7,8.80,8.80
2020-01-16,63,22.3,9.30,9.30
2020-01-17,53,22.8,1.90,1.90
2020-01-18,53,23.3,1.70,1.70
2020-01-19,51,22.8,1.30,1.30
2020-01-20,2,22.6,0.00,0.00
2020-01-21,1,22.4,0.00,0.00
2020-01-22,51,22.5,0.10,0.10
2020-01-23,2,22.8,0.00,0.00
2020-01-24,2,23.0,0.00,0.00
2020-01-25,3,23.6,0.00,0.00
2020-01-26,51,23.6,0.50,0.50
2020-01-27,51,24.0,1.10,1.10
2020-01-28,51,23.7,1.20,1.20
2020-01-29,53,23.3,2.20,2.20
2020-01-30,51,23.5,0.50,0.50
2020-01-31,53,23.1,1.80,1.80
2020-02-01,63,22.6,4.60,4.60
2020-02-02,61,23.0,1.50,1.50
2020-02-03,53,22.8,2.20,2.20
2020-02-04,51,23.0,0.60,0.60
2020-02-05,51,23.5,0.20,0.20
2020-02-06,53,23.5,1.30,1.30
2020-02-07,63,23.3,9.70,9.70
2020-02-08,63,23.2,3.90,3.90
2020-02-09,63,22.3,10.00,10.00
2020-02-10,51,22.6,0.40,0.40
2020-02-11,2,22.9,0.00,0.00
2020-02-12,51,23.1,1.10,1.10
2020-02-13,61,22.7,2.40,2.40
2020-02-14,53,23.1,2.70,2.70
2020-02-15,51,23.3,1.30,1.30
2020-02-16,63,23.1,6.80,6.80
2020-02-17,61,22.6,4.60,4.60
2020-02-18,63,21.8,10.00,10.00
2020-02-19,61,21.5,9.90,9.90
2020-02-20,63,22.3,8.00,8.00
2020-02-21,61,22.5,2.40,2.40
2020-02-22,63,22.6,7.00,7.00
2020-02-23,51,22.7,0.60,0.60
2020-02-24,63,23.4,4.10,4.10
2020-02-25,65,22.8,12.20,12.20
2020-02-26,63,22.7,8.60,8.60
2020-02-27,63,22.5,11.50,11.50
2020-02-28,65,22.8,16.40,16.40
2020-02-29,63,23.3,8.10,8.10
2020-03-01,63,23.3,4.40,4.40
2020-03-02,63,22.8,18.50,18.50
2020-03-03,65,23.0,20.20,20.20
2020-03-04,63,22.8,13.70,13.70
2020-03-05,61,22.7,7.30,7.30
