latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
1.5,127.70001,289.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,53,25.7,1.40,1.40
2020-01-02,61,25.3,6.90,6.90
2020-01-03,63,24.3,13.60,13.60
2020-01-04,63,24.8,13.30,13.30
2020-01-05,63,24.5,17.60,17.60
2020-01-06,53,24.9,4.30,4.30
2020-01-07,61,23.1,26.80,26.80
2020-01-08,63,23.2,31.80,31.80
2020-01-09,63,25.0,13.20,13.20
2020-01-10,65,24.7,24.60,24.60
2020-01-11,65,24.8,38.80,38.80
2020-01-12,51,24.8,1.00,1.00
2020-01-13,61,25.4,4.20,4.20
2020-01-14,51,25.8,1.60,1.60
2020-01-15,61,25.8,3.80,3.80
2020-01-16,55,25.7,3.30,3.30
2020-01-17,53,25.6,2.90,2.90
2020-01-18,51,25.1,0.20,0.20
2020-01-19,2,24.8,0.00,0.00
2020-01-20,51,25.1,0.70,0.70
2020-01-21,51,25.0,0.80,0.80
2020-01-22,2,25.1,0.00,0.00
2020-01-23,51,25.1,1.80,1.80
2020-01-24,2,25.9,0.00,0.00
2020-01-25,3,26.0,0.00,0.00
2020-01-26,3,25.9,0.00,0.00
2020-01-27,3,26.3,0.00,0.00
2020-01-28,51,26.1,0.20,0.20
2020-01-29,53,26.2,2.50,2.50
2020-01-30,55,25.8,3.20,3.20
2020-01-31,63,25.2,11.80,11.80
2020-02-01,53,25.4,2.50,2.50
2020-02-02,51,25.9,1.60,1.60
2020-02-03,63,24.4,21.50,21.50
2020-02-04,61,24.9,4.90,4.90
2020-02-05,2,25.5,0.00,0.00
2020-02-06,51,25.4,0.60,0.60
2020-02-07,53,25.5,3.20,3.20
2020-02-08,53,25.8,2.60,2.60
2020-02-09,51,25.4,0.60,0.60
2020-02-10,3,25.4,0.00,0.00
2020-02-11,61,24.5,7.20,7.20
2020-02-12,63,23.4,34.60,34.60
2020-02-13,63,24.1,18.30,18.30
2020-02-14,51,25.7,0.30,0.30
2020-02-15,63,25.2,11.90,11.90
2020-02-16,63,25.1,5.70,5.70
2020-02-17,63,25.1,9.50,9.50
2020-02-18,65,24.7,25.20,25.20
2020-02-19,51,25.2,0.40,0.40
2020-02-20,51,25.1,0.80,0.80
2020-02-21,51,25.0,2.10,2.10
2020-02-22,53,24.8,3.80,3.80
2020-02-23,51,25.0,1.50,1.50
2020-02-24,53,25.6,3.00,3.00
2020-02-25,63,25.1,10.40,10.40
2020-02-26,63,25.2,14.10,14.10
2020-02-27,65,25.3,23.00,23.00
2020-02-28,61,24.9,8.50,8.50
2020-02-29,63,25.3,21.90,21.90
2020-03-01,63,25.3,15.50,15.50
2020-03-02,63,24.7,29.70,29.70
2020-03-03,63,24.5,27.70,27.70
2020-03-04,63,25.6,8.00,8.00
2020-03-05,65,25.6,28.20,28.20
2020-03-06,65,24.8,35.50,35.50
2020-03-07,63,24.1,33.50,33.50
2020-03-08,63,24.9,11.90,11.90
2020-03-09,53,25.5,2.60,2.60
2020-03-10,3,25.9,0.00,0.00
2020-03-11,51,25.8,1.60,1.60
2020-03-12,53,25.5,1.40,1.40
2020-03-13,51,25.3,1.20,1.20
2020-03-14,55,24.6,3.60,3.60
2020-03-15,51,24.8,2.00,2.00
2020-03-16,53,24.8,3.10,3.10
2020-03-17,53,25.2,1.70,1.70
2020-03-18,63,24.8,9.90,9.90
2020-03-19,65,24.9,23.90,23.90
2020-03-20,63,25.3,13.90,13.90
2020-03-21,61,25.3,5.30,5.30
2020-03-22,61,24.5,13.30,13.30
2020-03-23,63,24.5,17.50,17.50
2020-03-24,61,24.6,6.50,6.50
2020-03-25,63,25.0,14.50,14.50
2020-03-26,61,25.5,4.00,4.00
2020-03-27,63,24.4,21.30,21.30
2020-03-28,65,25.0,30.80,30.80
2020-03-29,65,24.6,28.10,28.10
2020-03-30,65,24.2,52.80,52.80
2020-03-31,65,24.0,112.80,112.80
2020-04-01,61,24.7,7.80,7.80
2020-04-02,53,24.9,1.30,1.30
2020-04-03,63,25.4,9.70,9.70
2020-04-04,55,25.3,2.30,2.30
2020-04-05,2,25.4,0.00,0.00
2020-04-06,63,25.3,5.10,5.10
2020-04-07,65,25.2,21.90,21.90
2020-04-08,51,25.3,1.80,1.80
2020-04-09,55,25.1,2.90,2.90
2020-04-10,51,25.5,0.70,0.70
2020-04-11,51,25.4,2.60,2.60
2020-04-12,55,25.1,3.70,3.70
2020-04-13,51,25.5,1.10,1.10
2020-04-14,65,25.0,34.00,34.00
2020-04-15,63,24.5,19.90,19.90
2020-04-16,63,25.5,8.20,8.20
2020-04-17,53,25.7,2.00,2.00
2020-04-18,63,25.1,12.20,12.20
2020-04-19,65,24.9,32.60,32.60
2020-04-20,65,24.6,39.60,39.60
2020-04-21,61,25.1,7.20,7.20
2020-04-22,65,25.2,28.60,28.60
2020-04-23,65,24.9,25.80,25.80
2020-04-24,65,25.2,27.10,27.10
2020-04-25,63,25.1,20.80,20.80
2020-04-26,65,24.8,60.50,60.50
2020-04-27,63,23.7,48.20,48.20
