latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.699997,117.399994,457.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,24.1,21.20,21.20
2020-01-02,53,24.4,7.40,7.40
2020-01-03,65,24.0,29.30,29.30
2020-01-04,63,24.0,23.90,23.90
2020-01-05,55,24.4,5.50,5.50
2020-01-06,51,25.2,1.00,1.00
2020-01-07,53,24.7,3.90,3.90
2020-01-08,53,24.5,2.70,2.70
2020-01-09,51,25.0,1.10,1.10
2020-01-10,51,24.8,0.20,0.20
2020-01-11,53,24.5,2.90,2.90
2020-01-12,53,24.6,2.90,2.90
2020-01-13,63,24.5,8.80,8.80
2020-01-14,53,25.0,1.30,1.30
2020-01-15,63,24.9,12.40,12.40
2020-01-16,3,25.1,0.00,0.00
2020-01-17,53,25.0,2.30,2.30
2020-01-18,51,25.2,1.50,1.50
2020-01-19,61,25.1,5.10,5.10
2020-01-20,51,24.9,1.60,1.60
2020-01-21,63,24.7,5.10,5.10
2020-01-22,51,25.6,2.50,2.50
2020-01-23,53,25.2,2.60,2.60
2020-01-24,53,24.8,2.80,2.80
2020-01-25,63,24.7,13.20,13.20
2020-01-26,61,25.1,5.50,5.50
2020-01-27,63,25.9,8.70,8.70
2020-01-28,61,26.1,5.00,5.00
2020-01-29,55,26.1,3.30,3.30
2020-01-30,65,24.5,30.90,30.90
2020-01-31,61,24.3,6.10,6.10
2020-02-01,63,24.4,8.90,8.90
2020-02-02,61,24.8,2.90,2.90
2020-02-03,53,25.0,2.40,2.40
2020-02-04,51,25.3,0.50,0.50
2020-02-05,51,25.6,0.20,0.20
2020-02-06,63,24.8,10.20,10.20
2020-02-07,63,24.0,17.00,17.00
2020-02-08,63,23.9,17.00,17.00
2020-02-09,63,23.4,15.80,15.80
2020-02-10,61,23.9,4.00,4.00
2020-02-11,61,23.7,5.20,5.20
2020-02-12,63,23.9,10.30,10.30
2020-02-13,53,24.5,4.10,4.10
2020-02-14,63,24.4,12.20,12.20
2020-02-15,63,24.9,10.90,10.90
2020-02-16,63,24.5,10.80,10.80
2020-02-17,63,24.2,23.10,23.10
2020-02-18,63,24.2,14.10,14.10
2020-02-19,63,23.7,16.30,16.30
2020-02-20,63,23.6,14.80,14.80
2020-02-21,65,23.5,33.70,33.70
2020-02-22,61,23.6,4.50,4.50
2020-02-23,51,24.6,0.60,0.60
2020-02-24,63,24.5,6.00,6.00
2020-02-25,63,24.5,11.40,11.40
2020-02-26,65,24.4,28.50,28.50
2020-02-27,63,24.4,21.00,21.00
2020-02-28,63,24.8,12.60,12.60
2020-02-29,63,24.3,11.10,11.10
2020-03-01,63,24.0,19.80,19.80
2020-03-02,63,24.8,14.10,14.10
2020-03-03,63,25.0,7.60,7.60
2020-03-04,63,24.8,10.10,10.10
2020-03-05,65,24.4,23.50,23.50
2020-03-06,61,23.5,8.20,8.20
2020-03-07,63,23.6,17.70,17.70
2020-03-08,65,23.5,31.40,31.40
2020-03-09,65,23.9,26.00,26.00
2020-03-10,63,24.5,16.10,16.10
2020-03-11,63,24.4,11.40,11.40
2020-03-12,63,24.9,8.20,8.20
2020-03-13,63,24.1,30.70,30.70
2020-03-14,63,24.1,17.80,17.80
2020-03-15,55,24.5,2.90,2.90
2020-03-16,63,24.6,7.10,7.10
2020-03-17,63,24.3,10.00,10.00
2020-03-18,65,24.3,26.00,26.00
2020-03-19,63,24.7,19.60,19.60
2020-03-20,53,24.7,3.40,3.40
2020-03-21,61,24.5,3.90,3.90
2020-03-22,65,24.2,18.80,18.80
2020-03-23,63,24.3,7.90,7.90
2020-03-24,55,24.6,4.50,4.50
2020-03-25,51,24.9,0.50,0.50
2020-03-26,51,25.2,1.70,1.70
2020-03-27,63,24.6,11.90,11.90
2020-03-28,65,24.4,23.80,23.80
2020-03-29,61,24.5,9.30,9.30
2020-03-30,63,24.7,6.70,6.70
2020-03-31,61,24.6,4.30,4.30
2020-04-01,53,24.6,2.90,2.90
2020-04-02,53,24.8,2.90,2.90
2020-04-03,61,24.7,6.20,6.20
2020-04-04,63,24.4,10.60,10.60
2020-04-05,63,24.6,5.10,5.10
2020-04-06,61,24.5,2.80,2.80
2020-04-07,63,24.3,12.10,12.10
2020-04-08,63,24.3,7.50,7.50
2020-04-09,53,24.3,1.90,1.90
2020-04-10,53,24.7,2.00,2.00
2020-04-11,63,23.8,17.20,17.20
2020-04-12,63,23.9,11.70,11.70
2020-04-13,65,24.1,34.80,34.80
2020-04-14,63,24.1,7.30,7.30
