latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.599998,121.20001,329.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,25.4,32.20,32.20
2020-01-02,63,25.3,21.50,21.50
2020-01-03,63,25.4,13.30,13.30
2020-01-04,63,24.5,20.70,20.70
2020-01-05,63,24.5,20.40,20.40
2020-01-06,51,25.4,1.30,1.30
2020-01-07,61,25.9,3.30,3.30
2020-01-08,61,25.4,5.00,5.00
2020-01-09,61,25.5,4.80,4.80
2020-01-10,51,25.9,0.50,0.50
2020-01-11,63,26.0,8.50,8.50
2020-01-12,63,25.9,6.30,6.30
2020-01-13,63,25.0,11.10,11.10
2020-01-14,63,25.2,11.10,11.10
2020-01-15,63,25.0,19.10,19.10
2020-01-16,63,25.3,7.90,7.90
2020-01-17,61,25.9,6.00,6.00
2020-01-18,55,26.3,3.70,3.70
2020-01-19,63,26.0,8.50,8.50
2020-01-20,53,25.9,2.50,2.50
2020-01-21,63,25.2,7.90,7.90
2020-01-22,63,25.3,11.40,11.40
2020-01-23,61,25.0,3.80,3.80
2020-01-24,61,25.4,3.80,3.80
2020-01-25,55,25.9,2.70,2.70
2020-01-26,61,26.4,3.50,3.50
2020-01-27,51,26.8,0.30,0.30
2020-01-28,61,26.7,2.80,2.80
2020-01-29,55,26.8,3.30,3.30
2020-01-30,63,25.4,11.80,11.80
2020-01-31,61,25.3,8.30,8.30
2020-02-01,61,24.8,4.20,4.20
2020-02-02,63,25.1,6.70,6.70
2020-02-03,55,25.6,3.20,3.20
2020-02-04,51,26.1,0.20,0.20
2020-02-05,51,25.9,1.20,1.20
2020-02-06,63,24.8,21.80,21.80
2020-02-07,63,25.0,16.80,16.80
2020-02-08,63,25.1,20.80,20.80
2020-02-09,61,24.8,13.50,13.50
2020-02-10,63,25.1,18.90,18.90
2020-02-11,63,24.2,28.30,28.30
2020-02-12,65,24.5,30.80,30.80
2020-02-13,63,25.3,11.10,11.10
2020-02-14,61,25.5,5.90,5.90
2020-02-15,61,26.2,4.10,4.10
2020-02-16,61,26.1,5.80,5.80
2020-02-17,63,25.7,10.60,10.60
2020-02-18,63,25.6,7.70,7.70
2020-02-19,63,25.0,21.90,21.90
2020-02-20,63,24.3,21.50,21.50
2020-02-21,63,25.1,12.80,12.80
2020-02-22,65,24.7,28.10,28.10
2020-02-23,63,24.1,20.90,20.90
2020-02-24,63,25.0,9.00,9.00
2020-02-25,63,25.5,13.60,13.60
2020-02-26,63,25.9,9.00,9.00
2020-02-27,63,25.8,17.90,17.90
2020-02-28,63,25.8,10.80,10.80
2020-02-29,63,25.5,14.00,14.00
2020-03-01,63,25.3,21.30,21.30
2020-03-02,63,25.9,14.00,14.00
2020-03-03,63,25.8,15.20,15.20
