latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-4.2999954,138.0,1333.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,19.5,9.30,9.30
2020-01-02,65,19.1,53.80,53.80
2020-01-03,61,19.1,31.10,31.10
2020-01-04,63,19.5,40.10,40.10
2020-01-05,63,19.9,20.10,20.10
2020-01-06,53,20.6,6.10,6.10
2020-01-07,61,20.6,8.40,8.40
2020-01-08,63,19.8,15.80,15.80
2020-01-09,63,19.6,18.20,18.20
2020-01-10,63,20.2,14.20,14.20
2020-01-11,61,20.5,8.20,8.20
2020-01-12,61,20.2,13.00,13.00
2020-01-13,55,19.7,14.00,14.00
2020-01-14,61,19.1,19.50,19.50
2020-01-15,65,19.3,82.50,82.50
2020-01-16,65,18.5,109.00,109.00
2020-01-17,61,19.5,8.10,8.10
2020-01-18,63,20.0,9.70,9.70
2020-01-19,53,20.5,3.90,3.90
2020-01-20,53,20.8,5.00,5.00
2020-01-21,61,20.1,6.40,6.40
2020-01-22,51,20.3,0.30,0.30
2020-01-23,51,20.4,0.70,0.70
2020-01-24,63,19.9,14.60,14.60
2020-01-25,63,19.3,23.80,23.80
2020-01-26,61,19.8,3.80,3.80
2020-01-27,55,20.7,5.10,5.10
2020-01-28,51,21.0,2.60,2.60
2020-01-29,63,20.1,30.20,30.20
2020-01-30,61,20.0,8.90,8.90
2020-01-31,61,20.3,4.30,4.30
2020-02-01,63,19.0,53.80,53.80
2020-02-02,63,20.2,16.80,16.80
2020-02-03,61,19.7,16.10,16.10
2020-02-04,61,20.3,9.80,9.80
2020-02-05,55,19.9,4.30,4.30
2020-02-06,61,21.0,5.50,5.50
2020-02-07,63,19.4,29.60,29.60
2020-02-08,65,19.0,75.20,75.20
2020-02-09,63,19.6,40.30,40.30
2020-02-10,65,19.4,99.50,99.50
2020-02-11,65,19.5,74.50,74.50
2020-02-12,63,20.0,21.30,21.30
2020-02-13,65,19.5,79.50,79.50
2020-02-14,65,19.5,38.10,38.10
2020-02-15,61,20.6,5.40,5.40
2020-02-16,51,21.0,1.60,1.60
2020-02-17,55,20.3,5.50,5.50
2020-02-18,61,20.0,11.60,11.60
2020-02-19,63,19.1,79.40,79.40
2020-02-20,63,19.1,57.50,57.50
2020-02-21,63,19.8,40.10,40.10
2020-02-22,63,19.9,77.40,77.40
2020-02-23,65,19.9,104.00,104.00
2020-02-24,65,19.7,132.80,132.80
2020-02-25,65,20.5,40.30,40.30
2020-02-26,55,21.0,5.50,5.50
2020-02-27,61,20.2,28.30,28.30
2020-02-28,53,20.7,8.20,8.20
2020-02-29,61,20.4,6.20,6.20
2020-03-01,55,21.0,5.20,5.20
2020-03-02,61,21.3,6.80,6.80
2020-03-03,63,20.4,21.70,21.70
2020-03-04,63,20.3,21.10,21.10
2020-03-05,65,19.9,118.50,118.50
2020-03-06,65,20.3,48.40,48.40
