latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-1.2999954,133.20001,911.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,20.9,17.80,17.80
2020-01-02,65,20.7,29.20,29.20
2020-01-03,63,20.8,7.50,7.50
2020-01-04,63,21.0,17.20,17.20
2020-01-05,63,21.1,22.60,22.60
2020-01-06,61,21.4,8.50,8.50
2020-01-07,61,21.2,12.60,12.60
2020-01-08,61,20.8,10.50,10.50
2020-01-09,61,21.1,4.90,4.90
2020-01-10,63,21.3,10.30,10.30
2020-01-11,61,20.8,5.90,5.90
2020-01-12,63,20.2,18.40,18.40
2020-01-13,53,20.7,4.60,4.60
2020-01-14,55,20.9,3.50,3.50
2020-01-15,61,21.5,2.50,2.50
2020-01-16,63,21.7,7.10,7.10
2020-01-17,53,21.8,2.70,2.70
2020-01-18,53,21.4,2.30,2.30
2020-01-19,51,22.3,0.10,0.10
2020-01-20,51,22.7,0.60,0.60
2020-01-21,51,22.1,0.90,0.90
2020-01-22,63,21.6,10.10,10.10
2020-01-23,53,21.8,1.70,1.70
2020-01-24,65,22.0,10.40,10.40
2020-01-25,61,21.3,8.90,8.90
2020-01-26,61,21.4,7.50,7.50
2020-01-27,63,21.7,5.10,5.10
2020-01-28,51,21.8,1.10,1.10
2020-01-29,53,22.4,1.10,1.10
2020-01-30,51,22.3,0.50,0.50
2020-01-31,51,22.5,0.50,0.50
2020-02-01,53,21.6,1.70,1.70
2020-02-02,53,22.5,2.20,2.20
2020-02-03,61,22.2,4.90,4.90
2020-02-04,2,22.5,0.00,0.00
2020-02-05,51,22.6,0.90,0.90
2020-02-06,53,22.1,3.80,3.80
2020-02-07,61,20.6,23.00,23.00
2020-02-08,63,21.5,22.10,22.10
2020-02-09,61,21.5,2.80,2.80
2020-02-10,53,22.1,1.20,1.20
2020-02-11,51,21.5,0.60,0.60
2020-02-12,53,21.9,1.70,1.70
2020-02-13,65,21.3,18.60,18.60
2020-02-14,51,22.4,1.40,1.40
2020-02-15,63,22.5,6.90,6.90
2020-02-16,61,21.4,3.70,3.70
2020-02-17,63,20.7,9.60,9.60
2020-02-18,61,20.7,8.60,8.60
2020-02-19,63,20.5,22.70,22.70
2020-02-20,63,21.0,10.20,10.20
2020-02-21,51,21.9,0.60,0.60
2020-02-22,53,21.4,1.30,1.30
2020-02-23,65,21.7,14.70,14.70
2020-02-24,63,21.8,14.80,14.80
2020-02-25,63,21.8,7.00,7.00
2020-02-26,63,21.5,16.70,16.70
2020-02-27,63,21.3,17.80,17.80
2020-02-28,63,21.1,13.80,13.80
2020-02-29,63,21.0,17.00,17.00
2020-03-01,61,22.2,3.40,3.40
2020-03-02,63,21.9,12.50,12.50
2020-03-03,63,22.3,7.90,7.90
2020-03-04,63,21.3,18.00,18.00
2020-03-05,63,21.4,24.00,24.00
2020-03-06,63,20.9,29.70,29.70
2020-03-07,63,20.6,25.40,25.40
2020-03-08,53,20.9,5.30,5.30
2020-03-09,55,21.1,3.40,3.40
2020-03-10,61,21.2,11.00,11.00
2020-03-11,61,21.5,1.70,1.70
2020-03-12,63,22.1,4.70,4.70
2020-03-13,63,21.0,11.50,11.50
2020-03-14,61,20.3,18.10,18.10
2020-03-15,63,20.6,10.50,10.50
2020-03-16,3,21.0,0.00,0.00
2020-03-17,51,21.2,0.50,0.50
2020-03-18,63,21.0,12.20,12.20
2020-03-19,65,20.7,38.70,38.70
2020-03-20,65,20.7,46.60,46.60
2020-03-21,63,20.1,10.50,10.50
2020-03-22,61,19.8,6.80,6.80
2020-03-23,53,20.2,6.80,6.80
2020-03-24,61,20.1,10.30,10.30
2020-03-25,61,19.8,10.30,10.30
2020-03-26,53,21.2,1.90,1.90
2020-03-27,63,21.4,7.60,7.60
2020-03-28,61,20.8,9.60,9.60
2020-03-29,63,20.7,13.10,13.10
2020-03-30,65,20.8,25.30,25.30
2020-03-31,65,21.5,14.40,14.40
2020-04-01,63,20.9,26.50,26.50
2020-04-02,63,21.0,18.70,18.70
2020-04-03,63,20.5,9.40,9.40
