latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-2.9000015,119.30002,1591.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,18.4,16.60,16.60
2020-01-02,63,17.9,12.70,12.70
2020-01-03,61,17.0,9.80,9.80
2020-01-04,53,18.4,1.80,1.80
2020-01-05,63,18.7,11.60,11.60
2020-01-06,63,18.1,16.40,16.40
2020-01-07,63,18.2,7.40,7.40
2020-01-08,51,19.3,0.30,0.30
2020-01-09,55,19.2,2.10,2.10
2020-01-10,63,18.4,15.50,15.50
2020-01-11,65,17.2,43.10,43.10
2020-01-12,63,16.8,22.20,22.20
2020-01-13,51,18.3,3.40,3.40
2020-01-14,51,18.5,2.10,2.10
2020-01-15,61,18.3,5.60,5.60
2020-01-16,63,18.5,8.40,8.40
2020-01-17,63,18.7,12.50,12.50
2020-01-18,53,18.6,3.80,3.80
2020-01-19,55,18.8,3.00,3.00
2020-01-20,65,19.0,99.20,99.20
2020-01-21,65,18.8,99.10,99.10
2020-01-22,65,18.4,16.90,16.90
2020-01-23,61,18.4,4.30,4.30
2020-01-24,53,18.5,5.40,5.40
2020-01-25,63,19.0,11.30,11.30
2020-01-26,65,19.0,99.30,99.30
2020-01-27,63,19.3,33.20,33.20
2020-01-28,63,19.6,5.20,5.20
2020-01-29,63,19.1,12.50,12.50
2020-01-30,63,19.4,6.30,6.30
2020-01-31,63,17.2,14.00,14.00
2020-02-01,63,17.7,11.00,11.00
2020-02-02,61,18.4,8.70,8.70
2020-02-03,53,18.6,2.60,2.60
2020-02-04,55,18.9,2.80,2.80
2020-02-05,55,18.8,3.90,3.90
2020-02-06,65,19.3,14.10,14.10
2020-02-07,63,18.7,7.90,7.90
2020-02-08,53,18.8,2.20,2.20
2020-02-09,63,17.9,33.00,33.00
2020-02-10,63,17.4,10.40,10.40
2020-02-11,63,17.9,25.00,25.00
2020-02-12,63,18.1,8.00,8.00
2020-02-13,63,18.9,3.90,3.90
2020-02-14,63,19.0,12.20,12.20
2020-02-15,63,18.6,16.30,16.30
2020-02-16,63,18.3,21.90,21.90
2020-02-17,65,17.8,96.40,96.40
2020-02-18,65,16.9,91.30,91.30
2020-02-19,61,17.2,7.70,7.70
2020-02-20,63,18.3,13.80,13.80
2020-02-21,61,18.4,13.10,13.10
2020-02-22,63,18.4,18.90,18.90
2020-02-23,53,19.2,5.20,5.20
2020-02-24,61,19.2,6.70,6.70
2020-02-25,63,19.1,20.00,20.00
2020-02-26,63,18.7,18.20,18.20
2020-02-27,63,18.6,20.70,20.70
2020-02-28,53,19.0,3.80,3.80
2020-02-29,53,19.2,2.70,2.70
2020-03-01,55,19.0,5.20,5.20
2020-03-02,63,19.4,12.20,12.20
2020-03-03,61,19.1,7.30,7.30
2020-03-04,63,18.6,12.70,12.70
2020-03-05,63,18.0,15.20,15.20
2020-03-06,63,17.3,24.70,24.70
2020-03-07,55,17.7,4.20,4.20
2020-03-08,63,18.3,5.30,5.30
2020-03-09,51,18.8,0.70,0.70
2020-03-10,61,19.2,4.40,4.40
2020-03-11,63,19.4,6.20,6.20
2020-03-12,63,18.7,14.90,14.90
2020-03-13,63,18.5,9.70,9.70
2020-03-14,63,18.2,10.00,10.00
2020-03-15,61,18.4,9.10,9.10
2020-03-16,63,18.2,13.00,13.00
2020-03-17,53,19.1,2.00,2.00
2020-03-18,63,18.6,11.60,11.60
2020-03-19,61,18.1,10.60,10.60
2020-03-20,63,18.0,13.90,13.90
2020-03-21,63,17.8,28.00,28.00
2020-03-22,63,17.6,43.20,43.20
2020-03-23,61,18.1,8.30,8.30
2020-03-24,63,17.9,8.70,8.70
2020-03-25,53,18.5,1.70,1.70
2020-03-26,53,18.8,3.70,3.70
2020-03-27,61,19.6,5.50,5.50
2020-03-28,61,18.3,8.10,8.10
2020-03-29,63,18.3,13.30,13.30
2020-03-30,61,18.2,12.70,12.70
2020-03-31,63,18.1,20.40,20.40
2020-04-01,61,17.4,13.70,13.70
2020-04-02,63,18.2,9.60,9.60
2020-04-03,61,19.0,4.80,4.80
2020-04-04,61,18.4,11.40,11.40
2020-04-05,61,18.4,5.00,5.00
2020-04-06,63,18.1,16.20,16.20
2020-04-07,63,18.1,41.80,41.80
2020-04-08,65,17.9,48.40,48.40
2020-04-09,63,17.6,20.40,20.40
2020-04-10,63,18.5,10.40,10.40
2020-04-11,53,18.3,3.10,3.10
2020-04-12,61,19.0,3.20,3.20
2020-04-13,53,19.4,1.10,1.10
2020-04-14,61,19.0,7.50,7.50
2020-04-15,53,18.8,2.70,2.70
2020-04-16,63,19.1,8.20,8.20
2020-04-17,63,19.4,12.80,12.80
2020-04-18,63,18.8,7.80,7.80
2020-04-19,63,18.0,11.00,11.00
2020-04-20,53,19.0,1.20,1.20
2020-04-21,61,18.6,4.40,4.40
2020-04-22,63,18.5,15.60,15.60
2020-04-23,63,18.5,9.50,9.50
2020-04-24,63,18.5,20.20,20.20
2020-04-25,65,18.5,88.50,88.50
