latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-3.699997,120.0,194.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,25.6,7.00,7.00
2020-01-02,61,24.9,12.40,12.40
2020-01-03,61,25.0,10.30,10.30
2020-01-04,61,26.7,3.60,3.60
2020-01-05,63,27.1,11.70,11.70
2020-01-06,61,26.2,9.90,9.90
2020-01-07,53,26.5,4.60,4.60
2020-01-08,63,27.0,16.00,16.00
2020-01-09,63,26.5,10.20,10.20
2020-01-10,61,26.1,7.30,7.30
2020-01-11,63,24.9,29.00,29.00
2020-01-12,63,24.1,49.50,49.50
2020-01-13,51,26.8,0.60,0.60
2020-01-14,51,27.3,0.40,0.40
2020-01-15,51,26.2,1.40,1.40
2020-01-16,63,26.0,7.30,7.30
2020-01-17,61,26.4,4.00,4.00
2020-01-18,61,25.9,7.70,7.70
2020-01-19,61,26.4,6.80,6.80
2020-01-20,63,26.5,11.70,11.70
2020-01-21,63,26.1,9.00,9.00
2020-01-22,63,26.4,12.30,12.30
2020-01-23,61,26.2,7.30,7.30
2020-01-24,63,26.4,15.00,15.00
2020-01-25,63,26.8,9.70,9.70
2020-01-26,63,26.4,12.90,12.90
2020-01-27,61,26.7,7.70,7.70
2020-01-28,61,27.3,2.90,2.90
2020-01-29,61,27.3,4.10,4.10
2020-01-30,61,26.8,6.30,6.30
2020-01-31,61,25.5,7.90,7.90
2020-02-01,51,26.4,1.20,1.20
2020-02-02,63,26.2,11.30,11.30
2020-02-03,61,26.9,7.30,7.30
2020-02-04,61,26.5,6.70,6.70
2020-02-05,63,26.2,12.20,12.20
2020-02-06,63,26.6,19.60,19.60
2020-02-07,63,25.7,15.50,15.50
2020-02-08,61,25.8,10.50,10.50
2020-02-09,63,25.2,13.10,13.10
2020-02-10,61,25.2,6.30,6.30
2020-02-11,63,26.0,9.20,9.20
2020-02-12,61,26.4,7.60,7.60
2020-02-13,63,27.0,5.80,5.80
2020-02-14,61,26.4,12.60,12.60
2020-02-15,63,26.6,13.20,13.20
2020-02-16,61,26.3,8.90,8.90
2020-02-17,63,25.1,19.80,19.80
2020-02-18,63,24.7,21.40,21.40
2020-02-19,51,26.3,1.30,1.30
2020-02-20,63,25.9,15.30,15.30
2020-02-21,63,25.8,28.00,28.00
2020-02-22,61,26.1,9.60,9.60
2020-02-23,61,26.8,7.40,7.40
2020-02-24,63,26.2,24.70,24.70
2020-02-25,63,26.2,21.80,21.80
2020-02-26,63,25.9,13.80,13.80
2020-02-27,63,25.4,16.90,16.90
2020-02-28,61,26.3,7.40,7.40
