latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-1.5,121.5,1733.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,18.1,11.60,11.60
2020-01-02,63,17.7,30.90,30.90
2020-01-03,63,17.6,19.40,19.40
2020-01-04,63,18.5,7.10,7.10
2020-01-05,61,17.8,15.70,15.70
2020-01-06,63,17.8,15.60,15.60
2020-01-07,65,17.9,14.50,14.50
2020-01-08,53,18.5,3.20,3.20
2020-01-09,51,18.6,1.60,1.60
2020-01-10,53,19.0,2.40,2.40
2020-01-11,65,18.3,18.30,18.30
2020-01-12,63,17.6,20.30,20.30
2020-01-13,53,18.0,1.90,1.90
2020-01-14,63,18.3,14.70,14.70
2020-01-15,65,18.0,26.00,26.00
2020-01-16,63,18.1,18.30,18.30
2020-01-17,63,18.5,13.40,13.40
2020-01-18,53,18.9,1.80,1.80
2020-01-19,51,18.9,1.20,1.20
2020-01-20,51,18.8,1.20,1.20
2020-01-21,51,18.7,0.10,0.10
2020-01-22,51,18.5,1.60,1.60
2020-01-23,63,17.7,10.20,10.20
2020-01-24,51,18.6,1.30,1.30
2020-01-25,65,18.6,11.30,11.30
2020-01-26,51,19.3,0.70,0.70
2020-01-27,63,19.4,3.80,3.80
2020-01-28,63,19.0,8.60,8.60
2020-01-29,55,19.4,1.90,1.90
2020-01-30,51,18.8,1.00,1.00
2020-01-31,61,17.9,8.00,8.00
2020-02-01,55,18.0,1.70,1.70
2020-02-02,51,18.7,0.20,0.20
2020-02-03,65,17.9,22.20,22.20
2020-02-04,63,18.3,11.20,11.20
2020-02-05,63,18.3,12.80,12.80
2020-02-06,53,19.1,1.40,1.40
2020-02-07,51,19.0,1.00,1.00
2020-02-08,65,18.6,14.90,14.90
2020-02-09,63,17.9,35.50,35.50
2020-02-10,51,18.2,0.20,0.20
2020-02-11,51,18.4,0.70,0.70
2020-02-12,65,17.9,30.10,30.10
2020-02-13,63,18.2,20.80,20.80
2020-02-14,65,18.4,20.50,20.50
2020-02-15,63,18.5,21.40,21.40
2020-02-16,63,18.0,32.90,32.90
2020-02-17,63,17.9,21.80,21.80
2020-02-18,63,17.4,28.80,28.80
2020-02-19,63,17.4,11.20,11.20
2020-02-20,61,17.9,3.70,3.70
2020-02-21,61,17.7,8.50,8.50
2020-02-22,63,17.8,10.00,10.00
2020-02-23,63,18.4,6.20,6.20
2020-02-24,51,18.8,0.90,0.90
2020-02-25,61,18.8,13.10,13.10
2020-02-26,63,18.2,33.20,33.20
2020-02-27,63,18.1,26.00,26.00
2020-02-28,65,18.1,35.50,35.50
2020-02-29,61,18.7,7.60,7.60
2020-03-01,63,18.7,20.30,20.30
2020-03-02,65,18.6,23.40,23.40
2020-03-03,63,18.4,28.40,28.40
2020-03-04,63,18.0,24.80,24.80
2020-03-05,63,18.0,19.20,19.20
2020-03-06,63,17.8,23.90,23.90
2020-03-07,63,17.6,17.60,17.60
2020-03-08,51,18.7,1.40,1.40
2020-03-09,61,18.7,4.60,4.60
2020-03-10,65,18.5,30.60,30.60
2020-03-11,63,19.1,15.70,15.70
2020-03-12,65,18.2,21.00,21.00
2020-03-13,65,18.1,26.60,26.60
2020-03-14,63,17.6,23.40,23.40
2020-03-15,51,18.2,1.60,1.60
2020-03-16,55,17.9,3.50,3.50
2020-03-17,55,18.2,4.00,4.00
2020-03-18,61,17.8,9.30,9.30
2020-03-19,63,17.6,32.50,32.50
2020-03-20,65,17.2,61.80,61.80
2020-03-21,63,17.7,35.30,35.30
2020-03-22,61,17.3,10.80,10.80
2020-03-23,63,18.2,17.10,17.10
2020-03-24,63,17.2,23.20,23.20
2020-03-25,53,18.2,3.90,3.90
2020-03-26,63,18.5,7.60,7.60
2020-03-27,63,18.8,8.90,8.90
2020-03-28,65,18.3,17.40,17.40
2020-03-29,63,18.0,8.60,8.60
