latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.5999985,124.0,511.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,61,24.1,8.50,8.50
2020-01-02,61,23.9,8.70,8.70
2020-01-03,65,23.6,21.40,21.40
2020-01-04,61,23.8,11.50,11.50
2020-01-05,55,23.6,3.90,3.90
2020-01-06,3,24.7,0.00,0.00
2020-01-07,61,23.8,17.50,17.50
2020-01-08,63,23.6,20.40,20.40
2020-01-09,63,24.1,16.00,16.00
2020-01-10,63,24.0,15.20,15.20
2020-01-11,55,24.0,3.60,3.60
2020-01-12,63,23.0,10.90,10.90
2020-01-13,53,24.3,2.30,2.30
2020-01-14,63,24.4,10.30,10.30
2020-01-15,63,24.4,11.10,11.10
2020-01-16,63,24.6,8.20,8.20
2020-01-17,55,24.5,3.30,3.30
2020-01-18,55,24.4,2.70,2.70
2020-01-19,3,24.6,0.00,0.00
2020-01-20,2,24.2,0.00,0.00
2020-01-21,3,24.4,0.00,0.00
2020-01-22,3,24.4,0.00,0.00
2020-01-23,3,24.5,0.00,0.00
2020-01-24,2,25.2,0.00,0.00
2020-01-25,51,25.4,0.10,0.10
2020-01-26,51,25.3,1.20,1.20
2020-01-27,55,25.2,2.40,2.40
2020-01-28,63,25.3,5.80,5.80
2020-01-29,2,25.5,0.00,0.00
2020-01-30,53,25.0,1.60,1.60
2020-01-31,63,24.4,10.70,10.70
2020-02-01,61,23.9,5.50,5.50
2020-02-02,55,24.3,5.90,5.90
2020-02-03,63,23.0,32.10,32.10
2020-02-04,55,24.2,6.80,6.80
2020-02-05,53,24.5,3.30,3.30
2020-02-06,51,24.8,0.60,0.60
2020-02-07,3,24.9,0.00,0.00
2020-02-08,51,25.0,1.80,1.80
2020-02-09,53,24.1,2.20,2.20
2020-02-10,51,24.3,0.50,0.50
2020-02-11,51,24.2,2.80,2.80
2020-02-12,53,23.8,3.80,3.80
2020-02-13,55,23.3,2.70,2.70
2020-02-14,55,24.6,3.60,3.60
2020-02-15,63,24.7,7.60,7.60
2020-02-16,63,24.2,7.50,7.50
2020-02-17,61,24.4,4.10,4.10
2020-02-18,53,24.3,1.10,1.10
2020-02-19,61,23.5,7.60,7.60
2020-02-20,55,23.6,4.50,4.50
2020-02-21,53,23.6,3.10,3.10
2020-02-22,53,23.5,4.10,4.10
2020-02-23,51,24.3,2.80,2.80
2020-02-24,51,24.8,1.30,1.30
2020-02-25,63,24.3,7.70,7.70
2020-02-26,61,24.2,4.70,4.70
2020-02-27,1,24.7,0.00,0.00
2020-02-28,3,24.9,0.00,0.00
2020-02-29,53,24.9,4.40,4.40
2020-03-01,63,24.5,16.20,16.20
2020-03-02,65,23.9,68.00,68.00
2020-03-03,65,24.3,55.10,55.10
2020-03-04,63,24.5,14.60,14.60
2020-03-05,61,24.2,8.10,8.10
2020-03-06,63,24.2,11.70,11.70
2020-03-07,63,23.6,14.10,14.10
2020-03-08,63,24.7,14.70,14.70
2020-03-09,63,24.6,5.90,5.90
2020-03-10,61,24.6,3.30,3.30
2020-03-11,3,24.9,0.00,0.00
2020-03-12,53,24.5,5.20,5.20
2020-03-13,53,24.5,2.10,2.10
2020-03-14,51,24.2,0.40,0.40
2020-03-15,3,24.2,0.00,0.00
2020-03-16,3,24.5,0.00,0.00
2020-03-17,53,24.6,0.80,0.80
2020-03-18,61,24.5,3.30,3.30
2020-03-19,63,24.3,10.10,10.10
2020-03-20,63,24.1,11.50,11.50
2020-03-21,55,24.2,3.10,3.10
2020-03-22,61,23.8,4.90,4.90
2020-03-23,63,24.3,11.80,11.80
2020-03-24,61,24.5,7.30,7.30
2020-03-25,53,24.9,2.70,2.70
2020-03-26,51,25.1,0.60,0.60
2020-03-27,61,24.1,5.30,5.30
2020-03-28,61,24.6,5.60,5.60
2020-03-29,63,24.0,9.80,9.80
2020-03-30,63,23.9,16.00,16.00
2020-03-31,63,23.5,19.80,19.80
2020-04-01,63,23.4,20.20,20.20
2020-04-02,53,23.3,5.40,5.40
2020-04-03,51,24.3,0.20,0.20
2020-04-04,3,24.8,0.00,0.00
2020-04-05,51,24.8,1.50,1.50
2020-04-06,63,24.2,8.40,8.40
2020-04-07,51,24.3,1.30,1.30
2020-04-08,51,24.6,0.20,0.20
2020-04-09,53,24.5,1.70,1.70
2020-04-10,51,24.6,1.10,1.10
2020-04-11,53,24.5,1.00,1.00
2020-04-12,2,24.5,0.00,0.00
2020-04-13,3,24.9,0.00,0.00
2020-04-14,61,24.6,4.50,4.50
2020-04-15,65,24.0,17.00,17.00
2020-04-16,53,25.1,1.00,1.00
2020-04-17,3,25.3,0.00,0.00
2020-04-18,65,24.9,16.40,16.40
2020-04-19,65,24.4,17.50,17.50
2020-04-20,65,24.5,34.80,34.80
2020-04-21,63,24.4,4.10,4.10
2020-04-22,65,24.4,22.80,22.80
2020-04-23,65,24.3,31.40,31.40
2020-04-24,65,24.3,13.30,13.30
2020-04-25,63,24.2,14.70,14.70
2020-04-26,63,24.0,12.70,12.70
2020-04-27,63,23.9,10.20,10.20
2020-04-28,63,23.7,24.50,24.50
2020-04-29,65,23.7,27.60,27.60
2020-04-30,65,24.1,33.80,33.80
2020-05-01,63,24.1,12.00,12.00
2020-05-02,65,24.5,37.90,37.90
2020-05-03,65,24.9,25.00,25.00
2020-05-04,65,24.7,23.10,23.10
2020-05-05,65,24.7,19.30,19.30
2020-05-06,51,25.5,0.80,0.80
2020-05-07,2,25.7,0.00,0.00
2020-05-08,51,25.5,0.40,0.40
2020-05-09,65,24.9,21.80,21.80
2020-05-10,65,24.5,31.20,31.20
2020-05-11,51,25.0,0.10,0.10
2020-05-12,63,25.3,6.80,6.80
2020-05-13,51,25.2,1.20,1.20
2020-05-14,53,25.0,2.20,2.20
2020-05-15,55,25.2,1.90,1.90
2020-05-16,51,25.8,0.30,0.30
2020-05-17,51,25.3,1.40,1.40
2020-05-18,65,25.0,18.50,18.50
2020-05-19,63,24.4,25.90,25.90
2020-05-20,61,24.7,5.70,5.70
2020-05-21,63,24.4,11.30,11.30
2020-05-22,65,24.4,27.40,27.40
2020-05-23,61,25.0,6.60,6.60
2020-05-24,51,25.1,0.30,0.30
2020-05-25,53,24.7,1.50,1.50
2020-05-26,61,24.3,10.10,10.10
2020-05-27,63,24.8,5.20,5.20
2020-05-28,63,24.7,13.60,13.60
2020-05-29,63,24.0,12.00,12.00
2020-05-30,61,24.2,4.40,4.40
2020-05-31,63,24.1,16.20,16.20
2020-06-01,51,24.4,0.50,0.50
2020-06-02,55,23.9,5.90,5.90
2020-06-03,63,23.3,15.80,15.80
