latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2.2000046,99.399994,1565.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,51,17.3,2.70,2.70
2020-01-02,51,17.6,0.80,0.80
2020-01-03,53,18.0,2.90,2.90
2020-01-04,61,17.5,4.90,4.90
2020-01-05,53,17.7,1.90,1.90
2020-01-06,3,17.7,0.00,0.00
2020-01-07,3,18.0,0.00,0.00
2020-01-08,51,18.2,0.20,0.20
2020-01-09,63,17.9,18.90,18.90
2020-01-10,63,17.3,34.60,34.60
2020-01-11,63,17.4,12.70,12.70
2020-01-12,63,17.5,14.20,14.20
2020-01-13,61,18.1,4.20,4.20
2020-01-14,51,18.3,0.30,0.30
2020-01-15,51,18.2,1.80,1.80
2020-01-16,53,18.5,2.20,2.20
2020-01-17,61,18.0,9.30,9.30
2020-01-18,51,18.0,0.60,0.60
2020-01-19,61,18.4,3.40,3.40
2020-01-20,63,18.0,10.40,10.40
2020-01-21,63,17.8,6.70,6.70
2020-01-22,51,18.3,1.40,1.40
2020-01-23,51,18.4,1.40,1.40
2020-01-24,3,18.5,0.00,0.00
2020-01-25,61,19.0,2.50,2.50
2020-01-26,65,18.5,15.50,15.50
2020-01-27,63,18.0,8.20,8.20
2020-01-28,63,18.2,16.90,16.90
2020-01-29,63,16.9,55.20,55.20
2020-01-30,53,17.9,4.00,4.00
2020-01-31,61,17.7,5.30,5.30
2020-02-01,53,17.5,3.20,3.20
2020-02-02,51,18.1,2.50,2.50
2020-02-03,63,17.7,8.60,8.60
2020-02-04,51,17.8,0.20,0.20
2020-02-05,51,18.0,1.30,1.30
2020-02-06,61,17.9,7.30,7.30
2020-02-07,63,17.5,10.80,10.80
2020-02-08,61,17.6,5.10,5.10
2020-02-09,51,17.8,1.40,1.40
2020-02-10,63,17.4,5.70,5.70
2020-02-11,63,17.8,5.40,5.40
2020-02-12,51,18.6,1.20,1.20
2020-02-13,63,18.5,8.00,8.00
2020-02-14,63,18.0,15.50,15.50
2020-02-15,63,17.6,20.40,20.40
2020-02-16,61,18.4,4.10,4.10
2020-02-17,63,18.2,7.80,7.80
2020-02-18,61,17.1,8.30,8.30
2020-02-19,51,17.5,2.80,2.80
2020-02-20,51,17.6,1.70,1.70
2020-02-21,51,17.4,1.40,1.40
2020-02-22,51,17.4,0.20,0.20
2020-02-23,3,17.7,0.00,0.00
2020-02-24,51,17.8,0.10,0.10
2020-02-25,51,18.5,1.30,1.30
2020-02-26,53,18.6,1.90,1.90
2020-02-27,51,18.7,1.70,1.70
2020-02-28,53,18.5,1.80,1.80
2020-02-29,3,18.9,0.00,0.00
2020-03-01,61,18.8,4.00,4.00
2020-03-02,63,18.6,18.50,18.50
2020-03-03,51,18.7,0.10,0.10
2020-03-04,51,19.6,0.30,0.30
2020-03-05,61,18.3,6.70,6.70
2020-03-06,63,17.6,22.30,22.30
2020-03-07,63,17.7,24.10,24.10
2020-03-08,61,19.2,4.10,4.10
2020-03-09,63,18.9,7.10,7.10
2020-03-10,63,19.0,7.60,7.60
2020-03-11,63,18.2,15.20,15.20
2020-03-12,63,18.8,12.50,12.50
2020-03-13,51,18.8,0.20,0.20
2020-03-14,51,19.2,1.60,1.60
2020-03-15,61,18.8,3.70,3.70
2020-03-16,61,18.2,4.70,4.70
2020-03-17,55,18.8,1.90,1.90
2020-03-18,61,18.5,6.50,6.50
2020-03-19,55,18.6,4.00,4.00
2020-03-20,63,18.0,4.80,4.80
2020-03-21,63,17.8,13.20,13.20
2020-03-22,63,17.9,9.50,9.50
2020-03-23,63,17.7,11.60,11.60
2020-03-24,61,18.4,3.20,3.20
2020-03-25,63,18.3,15.40,15.40
2020-03-26,63,18.3,8.60,8.60
2020-03-27,63,18.4,10.40,10.40
2020-03-28,63,18.8,8.60,8.60
2020-03-29,63,18.7,14.80,14.80
2020-03-30,61,18.1,10.30,10.30
2020-03-31,65,18.5,25.80,25.80
2020-04-01,63,18.7,24.50,24.50
2020-04-02,63,18.0,25.80,25.80
2020-04-03,63,17.9,9.10,9.10
2020-04-04,63,18.4,16.30,16.30
2020-04-05,61,17.8,19.70,19.70
2020-04-06,63,17.9,16.80,16.80
2020-04-07,65,17.9,20.20,20.20
2020-04-08,65,18.1,23.40,23.40
2020-04-09,61,18.2,5.80,5.80
2020-04-10,51,18.5,0.30,0.30
2020-04-11,51,18.9,0.50,0.50
2020-04-12,63,19.0,11.90,11.90
2020-04-13,63,18.6,18.70,18.70
2020-04-14,63,18.2,31.70,31.70
2020-04-15,53,18.8,3.00,3.00
2020-04-16,63,18.1,9.20,9.20
2020-04-17,63,18.1,17.50,17.50
2020-04-18,63,18.2,14.70,14.70
2020-04-19,61,18.8,4.50,4.50
2020-04-20,51,19.1,1.60,1.60
2020-04-21,63,19.1,8.20,8.20
2020-04-22,63,18.8,14.60,14.60
2020-04-23,63,18.4,8.10,8.10
2020-04-24,63,18.3,28.00,28.00
2020-04-25,63,17.8,30.40,30.40
2020-04-26,61,17.6,12.20,12.20
2020-04-27,63,18.1,20.90,20.90
2020-04-28,63,18.0,12.20,12.20
2020-04-29,61,17.9,19.80,19.80
2020-04-30,63,17.9,42.70,42.70
2020-05-01,63,17.5,27.60,27.60
2020-05-02,53,17.8,8.10,8.10
2020-05-03,51,18.1,1.20,1.20
2020-05-04,61,18.3,4.50,4.50
2020-05-05,63,18.6,8.10,8.10
2020-05-06,51,19.0,1.50,1.50
2020-05-07,63,19.1,17.60,17.60
2020-05-08,53,19.3,1.70,1.70
2020-05-09,61,18.9,3.10,3.10
2020-05-10,63,18.7,9.40,9.40
2020-05-11,61,19.2,4.00,4.00
2020-05-12,51,19.0,0.90,0.90
2020-05-13,61,19.1,1.90,1.90
2020-05-14,63,19.1,14.90,14.90
2020-05-15,63,19.3,5.30,5.30
2020-05-16,61,18.9,9.30,9.30
2020-05-17,65,17.9,95.50,95.50
2020-05-18,51,19.5,1.20,1.20
2020-05-19,63,19.0,15.00,15.00
2020-05-20,51,19.0,0.10,0.10
2020-05-21,61,19.1,2.80,2.80
2020-05-22,61,18.6,9.90,9.90
2020-05-23,61,18.5,6.00,6.00
2020-05-24,61,18.9,4.10,4.10
2020-05-25,65,18.9,13.10,13.10
2020-05-26,61,18.1,9.70,9.70
2020-05-27,63,18.8,3.50,3.50
2020-05-28,63,19.0,5.80,5.80
2020-05-29,53,19.0,1.20,1.20
2020-05-30,61,18.8,8.50,8.50
2020-05-31,61,18.5,5.20,5.20
2020-06-01,51,19.1,0.70,0.70
2020-06-02,51,19.2,0.80,0.80
2020-06-03,61,18.7,7.90,7.90
2020-06-04,63,17.9,11.10,11.10
2020-06-05,63,17.6,18.70,18.70
2020-06-06,53,18.3,2.90,2.90
2020-06-07,51,18.6,0.40,0.40
2020-06-08,51,18.7,0.10,0.10
2020-06-09,55,19.1,1.50,1.50
2020-06-10,3,19.3,0.00,0.00
2020-06-11,61,18.5,13.00,13.00
2020-06-12,63,17.5,25.90,25.90
2020-06-13,63,18.0,5.30,5.30
2020-06-14,55,18.4,3.00,3.00
2020-06-15,61,18.9,3.70,3.70
2020-06-16,65,17.8,19.80,19.80
2020-06-17,63,17.6,20.00,20.00
2020-06-18,63,17.4,19.90,19.90
2020-06-19,63,17.9,16.00,16.00
2020-06-20,61,17.5,16.40,16.40
2020-06-21,63,17.9,11.30,11.30
2020-06-22,55,17.4,9.60,9.60
2020-06-23,61,18.0,4.50,4.50
2020-06-24,53,18.0,1.70,1.70
2020-06-25,51,18.5,0.50,0.50
2020-06-26,2,18.6,0.00,0.00
2020-06-27,3,18.9,0.00,0.00
2020-06-28,3,18.6,0.00,0.00
2020-06-29,1,18.7,0.00,0.00
2020-06-30,53,18.7,1.80,1.80
2020-07-01,63,18.3,5.70,5.70
2020-07-02,51,18.6,0.30,0.30
2020-07-03,51,18.7,0.10,0.10
2020-07-04,53,18.4,1.00,1.00
2020-07-05,51,18.3,0.70,0.70
2020-07-06,63,17.9,8.80,8.80
2020-07-07,63,16.8,23.60,23.60
2020-07-08,61,16.4,23.20,23.20
2020-07-09,55,16.8,2.20,2.20
2020-07-10,51,17.9,0.40,0.40
2020-07-11,63,17.4,22.20,22.20
2020-07-12,63,17.6,6.10,6.10
2020-07-13,53,17.3,6.10,6.10
2020-07-14,53,18.2,2.00,2.00
2020-07-15,53,18.2,1.40,1.40
2020-07-16,61,17.9,8.90,8.90
2020-07-17,63,17.7,19.20,19.20
2020-07-18,63,17.1,14.00,14.00
2020-07-19,63,18.2,4.20,4.20
2020-07-20,61,17.8,4.60,4.60
2020-07-21,63,17.8,9.00,9.00
2020-07-22,65,17.0,26.00,26.00
2020-07-23,63,17.4,10.50,10.50
2020-07-24,63,17.0,11.40,11.40
2020-07-25,63,17.7,15.80,15.80
2020-07-26,63,17.8,11.90,11.90
2020-07-27,63,17.3,23.40,23.40
2020-07-28,61,16.7,17.50,17.50
2020-07-29,53,17.3,2.00,2.00
2020-07-30,51,18.4,0.40,0.40
2020-07-31,55,17.4,4.90,4.90
2020-08-01,3,18.6,0.00,0.00
2020-08-02,51,18.4,0.10,0.10
2020-08-03,63,18.4,6.80,6.80
2020-08-04,51,18.6,0.40,0.40
2020-08-05,51,18.8,0.10,0.10
2020-08-06,3,19.1,0.00,0.00
2020-08-07,3,19.1,0.00,0.00
2020-08-08,51,19.1,0.30,0.30
2020-08-09,51,19.1,0.30,0.30
2020-08-10,1,19.0,0.00,0.00
2020-08-11,63,18.7,6.60,6.60
2020-08-12,55,18.4,2.20,2.20
2020-08-13,51,18.5,1.70,1.70
2020-08-14,63,17.9,7.80,7.80
2020-08-15,63,18.2,8.30,8.30
2020-08-16,61,18.3,5.00,5.00
2020-08-17,63,18.0,13.40,13.40
2020-08-18,63,18.0,3.90,3.90
2020-08-19,63,17.8,5.10,5.10
2020-08-20,61,18.1,3.60,3.60
2020-08-21,61,18.0,7.80,7.80
2020-08-22,65,16.9,92.10,92.10
2020-08-23,63,17.6,7.00,7.00
2020-08-24,51,18.5,1.30,1.30
2020-08-25,61,17.6,4.80,4.80
2020-08-26,53,17.8,2.70,2.70
2020-08-27,63,17.6,11.80,11.80
2020-08-28,65,17.8,13.10,13.10
2020-08-29,61,17.7,6.60,6.60
2020-08-30,61,17.8,8.60,8.60
2020-08-31,63,17.9,17.00,17.00
2020-09-01,63,18.1,11.30,11.30
2020-09-02,63,17.8,18.30,18.30
2020-09-03,65,17.7,35.40,35.40
2020-09-04,65,17.5,28.50,28.50
2020-09-05,63,17.9,9.80,9.80
2020-09-06,51,17.8,0.90,0.90
2020-09-07,63,17.8,17.90,17.90
2020-09-08,65,17.8,23.80,23.80
2020-09-09,63,17.5,13.90,13.90
2020-09-10,63,16.9,12.50,12.50
2020-09-11,63,17.1,15.70,15.70
2020-09-12,63,16.9,44.60,44.60
2020-09-13,61,17.0,10.60,10.60
2020-09-14,51,17.9,1.10,1.10
2020-09-15,51,17.9,0.40,0.40
2020-09-16,51,17.9,0.10,0.10
2020-09-17,51,17.9,1.10,1.10
2020-09-18,53,17.7,2.00,2.00
2020-09-19,61,17.8,5.60,5.60
2020-09-20,61,17.6,6.50,6.50
2020-09-21,51,18.1,1.80,1.80
2020-09-22,63,18.6,16.10,16.10
2020-09-23,63,17.8,21.00,21.00
2020-09-24,55,18.1,5.80,5.80
2020-09-25,55,17.4,5.30,5.30
2020-09-26,65,16.6,28.60,28.60
2020-09-27,63,17.4,12.00,12.00
2020-09-28,51,18.2,0.20,0.20
2020-09-29,63,18.0,3.30,3.30
2020-09-30,63,17.6,12.00,12.00
2020-10-01,63,17.4,18.70,18.70
2020-10-02,63,17.3,9.90,9.90
2020-10-03,55,17.4,4.20,4.20
2020-10-04,63,17.7,11.50,11.50
2020-10-05,61,17.6,10.10,10.10
2020-10-06,63,17.8,11.00,11.00
2020-10-07,61,17.1,12.80,12.80
2020-10-08,61,17.2,9.70,9.70
2020-10-09,55,17.3,7.10,7.10
2020-10-10,53,17.7,9.60,9.60
2020-10-11,53,18.0,5.60,5.60
2020-10-12,53,18.3,2.10,2.10
2020-10-13,53,17.8,3.10,3.10
2020-10-14,51,18.1,2.70,2.70
2020-10-15,51,18.2,1.00,1.00
2020-10-16,51,18.3,0.30,0.30
2020-10-17,2,18.6,0.00,0.00
2020-10-18,2,18.5,0.00,0.00
2020-10-19,51,18.3,0.70,0.70
2020-10-20,51,18.5,0.50,0.50
2020-10-21,63,18.1,12.30,12.30
2020-10-22,51,17.8,1.50,1.50
2020-10-23,63,17.4,7.00,7.00
2020-10-24,63,17.3,4.50,4.50
2020-10-25,51,17.5,1.80,1.80
2020-10-26,53,17.6,2.10,2.10
2020-10-27,53,17.9,1.30,1.30
2020-10-28,53,18.0,0.90,0.90
2020-10-29,51,18.2,0.40,0.40
2020-10-30,63,18.0,7.30,7.30
2020-10-31,63,17.6,10.10,10.10
2020-11-01,63,17.4,9.20,9.20
2020-11-02,63,17.7,21.60,21.60
2020-11-03,61,17.4,12.10,12.10
2020-11-04,61,17.2,14.00,14.00
2020-11-05,63,17.4,13.60,13.60
2020-11-06,61,17.6,4.50,4.50
2020-11-07,61,17.3,9.10,9.10
2020-11-08,63,17.2,46.50,46.50
2020-11-09,63,17.3,17.40,17.40
2020-11-10,63,17.4,15.00,15.00
2020-11-11,63,17.4,23.10,23.10
2020-11-12,61,18.0,3.80,3.80
2020-11-13,61,18.1,7.30,7.30
2020-11-14,63,18.1,16.30,16.30
2020-11-15,55,17.7,3.60,3.60
2020-11-16,61,17.8,11.90,11.90
2020-11-17,65,17.4,70.50,70.50
2020-11-18,61,17.7,14.50,14.50
