bulan, titik_lokasi , kecamatan , wilayah , panjang/luas ,satuan_panjang/luas,tanggal,volume_sampah_perhari(m3)
01,Kali / Sungai BKB Ciliwung Jembatan Jl Jendral Sudirman jembatan K.H Mas mansyur,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,Kali / Sungai BKB Ciliwung Jembatan Jl.KH Mas Mansyur Jembatan Merah PLN Jl.Tenaga Listrik,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,kali / Sungai BKB Ciliwung Pintu Air karet,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,kali / Sungai BKB Ciliwung Petamburan ,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,kali / Sungai BKB Ciliwung Stasiun Tanah Abang,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,Kali / Sungai Cideng BI,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,Kali / Sungai Cideng kraton,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,Kali / Sungai Cideng Kebon Kacang Gedung jaya,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,Kali / Sungai Cideng DEPAG,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,Kali / Sungai Gendong Grand Indonesia/Pintu Air Kebon KacangWaduk Melati,Tanah Abang,Jakarta Pusat,1000,m,1,-
01,Waduk Melati WM,Tanah Abang,Jakarta Pusat,6,Ha,1,-
01,Kali / Sungai Krukut Atas Wisma sudirman,Tanah Abang,Jakarta Pusat,500,m,1,-
01,Kali / Sungai Krukut Atas Apt. Batavia jl mutiara,Tanah Abang,Jakarta Pusat,500,m,1,-
01,Kali / Sungai Krukut Atas karet Pasar Baru,Tanah Abang,Jakarta Pusat,500,m,1,-
01,Kali / Sungai Krukut Atas PAM Baru Jl. Pejompongan,Tanah Abang,Jakarta Pusat,500,m,1,-
01,Kali / Sungai Ciragil Jembatan Hotel Park Royal,Tanah Abang,Jakarta Pusat,2000,m,1,-
01,Kali / sungai Krukut Bawah Tenlist,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,Kali / Sungai Krukut Bawah Sabeni,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,Kali / Sungai Krukut Bawah Lontar Raya,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,Kali / Sungai Krukut Bawah Pasar Tanah Abang,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,kali / Sungai Grogol  Senayan/Senayan City,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,kali / Sungai Grogol  Senayan/Hotel Mulya,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,PHB Wisma Darmala jl. Jend Sudirman,Tanah Abang,Jakarta Pusat,700,m,1,-
01,PHB Abdul Jalil,Tanah Abang,Jakarta Pusat,1200,m,1,-
01,PHB Kampung Bali,Tanah Abang,Jakarta Pusat,2000,m,1,-
01,PHB Petamburan,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,PHB Danau Poso,Tanah Abang,Jakarta Pusat,1500,m,1,-
01, PHB Fahrudin,Tanah Abang,Jakarta Pusat,900,m,1,-
01,PHB Jati Baru,Tanah Abang,Jakarta Pusat,1500,m,1,-
01,Kali / Sungai Sentiong Timah s/d Utan Panjang ,Kemayoran,Jakarta Pusat,700,m,1,-
01,Kali / Sungai Sentiong Utan Panjang s/d Jiung,Kemayoran,Jakarta Pusat,900,m,1,-
01,Kali / Sungai Sentiong P2SC s/d Marto,Kemayoran,Jakarta Pusat,100,m,1,-
01,Kali Utan Kayu Gardu PLN,Kemayoran,Jakarta Pusat,1000,m,1,-
01,Kali Item Pintu Air Honda Ke Paskalis,Kemayoran,Jakarta Pusat,650,m,1,-
01,Kali Item Paskalis s/d Pompa Dempet ,Kemayoran,Jakarta Pusat,750,m,1,-
01,Kali Item Dempet s/d Saringan ,Kemayoran,Jakarta Pusat,1000,m,1,-
01,Kali Hutan Kayu Ruko ITC,Kemayoran,Jakarta Pusat,500,m,1,-
01,PHB Serdang I ( Pasar ),Kemayoran,Jakarta Pusat,300,m,1,-
01,PHB Serdang II ,Kemayoran,Jakarta Pusat,1000,m,1,-
01,PHB Irian ,Kemayoran,Jakarta Pusat,300,m,1,-
01,PHB 54 SMK,Kemayoran,Jakarta Pusat,300,m,1,-
01,PHB Pasar Nangka,Kemayoran,Jakarta Pusat,700,m,1,-
01,PHB Serdang 7,Kemayoran,Jakarta Pusat,300,m,1,-
01,Saringan P2SC. UPK BADAN AIR,Kemayoran,Jakarta Pusat,,,1,0
01,Sungai Utan Kayu Jl Pengayoman,Cempaka Putih,Jakarta Pusat,600,,1,-
01,Sungai Utan Kayu  Jembatan Serong,Cempaka Putih,Jakarta Pusat,400,,1,-
01,Kali / Sungai Utan Kayu Jembatan Serong  SLTP 137,Cempaka Putih,Jakarta Pusat,950,m,1,-
01,Kali / Sungai Utan Kayu SLTP 137  Kebun Sayur,Cempaka Putih,Jakarta Pusat,1250,m,1,-
01,Kali / Sungai  Utan Kayu Jembatan Kebun Sayur  Suprapto,Cempaka Putih,Jakarta Pusat,700,m,1,-
01,Kali / Sungai  Utan Kayu Suprapto cempaka baru ,Cempaka Putih,Jakarta Pusat,900,m,1,-
01,Kali / Sungai Utan Kayu Cempaka Baru  Kodam,Cempaka Putih,Jakarta Pusat,900,m,1,-
01,PHB Rawa Kebo,Cempaka Putih,Jakarta Pusat,1100,m,1,-
01,PHB Mardani,Cempaka Putih,Jakarta Pusat,860,m,1,-
01,PHB Cempaka Raya,Cempaka Putih,Jakarta Pusat,600,m,1,-
01,PHB Suprapto/Bpjs,Cempaka Putih,Jakarta Pusat,1570,m,1,-
01,PHB Yatof,Cempaka Putih,Jakarta Pusat,250,m,1,-
01,PHB Cempaka Putih Indah,Cempaka Putih,Jakarta Pusat,210,m,1,-
01,PHB Cempaka Putih Barat 25,Cempaka Putih,Jakarta Pusat,220,m,1,-
01,PHB Suprapto Bea Cukai,Cempaka Putih,Jakarta Pusat,680,m,1,-
