bulan,tanggal,volume_sampah_perhari(m3),tahun
8,1,1595.4,2020
8,2,1726.14,2020
8,3,1749.74,2020
8,4,1763.78,2020
8,5,1907.48,2020
8,6,2040.16,2020
8,7,1813.26,2020
8,8,1707.42,2020
8,9,2058.38,2020
8,10,1970.88,2020
8,11,1985.1200000000001,2020
8,12,2157.42,2020
8,13,1428.5,2020
8,14,2735.0,2020
8,15,2503.86,2020
8,16,1982.64,2020
8,17,2112.1,2020
8,18,2218.56,2020
8,19,2320.72,2020
8,20,1976.26,2020
8,21,1815.46,2020
8,22,1797.92,2020
8,23,1822.98,2020
8,24,1823.4,2020
8,25,1787.6200000000001,2020
8,26,2106.98,2020
8,27,1907.74,2020
8,28,1743.5,2020
8,29,1783.28,2020
8,30,1746.24,2020
8,31,1689.14,2020
4,1,2590.22,2020
4,2,2312.48,2020
4,3,2047.0,2020
4,4,2369.1,2020
4,5,2144.28,2020
4,6,2789.36,2020
4,7,2613.34,2020
4,8,2559.02,2020
4,9,2389.04,2020
4,10,2421.75,2020
4,11,2235.32,2020
4,12,2403.34,2020
4,13,1793.4,2020
4,14,1860.0,2020
4,15,2392.9,2020
4,16,2567.34,2020
4,17,2732.14,2020
4,18,2737.16,2020
4,19,2835.44,2020
4,20,2593.96,2020
4,21,2134.82,2020
4,22,2410.28,2020
4,23,2334.14,2020
4,24,2284.26,2020
4,25,2355.52,2020
4,26,2649.72,2020
4,27,2679.78,2020
4,28,2516.44,2020
4,29,2276.18,2020
4,30,2568.02,2020
4,1,2557.7400000000002,2021
4,2,2901.0,2021
4,3,2636.26,2021
4,4,2649.66,2021
4,5,2737.77,2021
4,6,2831.72,2021
4,7,2781.8,2021
4,8,2571.09,2021
4,9,2660.42,2021
4,10,2692.52,2021
4,11,2884.96,2021
4,12,3363.86,2021
4,13,2770.55,2021
4,14,3034.95,2021
4,15,3040.82,2021
4,16,3271.13,2021
4,17,2919.8,2021
4,18,2787.96,2021
4,19,2819.16,2021
4,20,2881.98,2021
4,21,2646.57,2021
4,22,2944.13,2021
4,23,2702.13,2021
