tanggal,volume_sampah_perhari(m3)
2020-01-01,1452.5
2020-01-02,2107.0
2020-01-03,2708.5
2020-01-04,1785.5
2020-01-05,2256.0
2020-01-06,2235.5
2020-01-07,2379.0
2020-01-08,2306.5
2020-01-09,2145.4
2020-01-10,2346.9
2020-01-11,1927.5
2020-01-12,1677.0
2020-01-13,2079.5
2020-01-14,1715.5
2020-01-15,1869.5
2020-01-16,1768.8
2020-01-17,1828.4
2020-01-18,1918.5
2020-01-19,1536.0
2020-01-20,1587.0
2020-01-21,1490.6
2020-01-22,1450.5
2020-01-23,1516.5
2020-01-24,1373.0
2020-01-25,1543.5
2020-01-26,1415.5
2020-01-27,1527.5
2020-01-28,1457.5
2020-01-29,1381.5
2020-01-30,1412.0
2020-01-31,1287.5
2020-02-01,2611.24
2020-02-02,2372.01
2020-02-03,2449.9
2020-02-04,2292.28
2020-02-05,2271.48
2020-02-06,2382.72
2020-02-07,2266.76
2020-02-08,2375.68
2020-02-09,2664.24
2020-02-10,2551.8
2020-02-11,2351.92
2020-02-12,2797.94
2020-02-13,1764.86
2020-02-14,1646.74
2020-02-15,2715.0
2020-02-16,2426.63
2020-02-17,2870.18
2020-02-18,2636.2
2020-02-19,2728.44
2020-02-20,2368.04
2020-02-21,2702.16
2020-02-22,2847.62
2020-02-23,2071.26
2020-02-24,2894.96
2020-02-25,1815.4
2020-02-26,2826.52
2020-02-27,3004.9
2020-02-28,2655.1
2020-02-29,2693.78
2020-03-01,2946.14
2020-03-02,2626.24
2020-03-03,2737.06
2020-03-04,2737.56
2020-03-05,2693.4
2020-03-06,2749.08
2020-03-07,2693.06
2020-03-08,2281.71
2020-03-09,2512.24
2020-03-10,2373.0
2020-03-11,2675.8
2020-03-12,2799.7
2020-03-13,2102.5
2020-03-14,2048.75
2020-03-15,2569.92
2020-03-16,2655.1
2020-03-17,2809.04
2020-03-18,2744.16
2020-03-19,2907.42
2020-03-20,2420.58
2020-03-21,2681.2
2020-03-22,2681.14
2020-03-23,2577.86
2020-03-24,2225.7
2020-03-25,2349.16
2020-03-26,2720.7
2020-03-27,2454.22
2020-03-28,2410.34
2020-03-29,2008.36
2020-03-30,2398.24
2020-03-31,2230.28
2020-04-01,2590.22
2020-04-02,2312.48
2020-04-03,2047.0
2020-04-04,2369.1
2020-04-05,2144.28
2020-04-06,2789.36
2020-04-07,2613.34
2020-04-08,2559.02
2020-04-09,2389.04
2020-04-10,2421.75
2020-04-11,2235.32
2020-04-12,2403.34
2020-04-13,1793.4
2020-04-14,1860.0
2020-04-15,2392.9
2020-04-16,2567.34
2020-04-17,2732.14
2020-04-18,2737.16
2020-04-19,2835.44
2020-04-20,2593.96
2020-04-21,2134.82
2020-04-22,2410.28
2020-04-23,2334.14
2020-04-24,2284.26
2020-04-25,2355.52
2020-04-26,2649.72
2020-04-27,2679.78
2020-04-28,2516.44
2020-04-29,2276.18
2020-04-30,2568.02
2020-05-01,2447.02
2020-05-02,2486.96
2020-05-03,2182.83
2020-05-04,2433.1
2020-05-05,2318.08
2020-05-06,2419.12
2020-05-07,2223.04
2020-05-08,2384.88
2020-05-09,2424.16
2020-05-10,2564.16
2020-05-11,2255.16
2020-05-12,2514.12
2020-05-13,1637.12
2020-05-14,1527.32
2020-05-15,2107.9
2020-05-16,2442.78
2020-05-17,2532.36
2020-05-18,2590.44
2020-05-19,2973.08
2020-05-20,2433.54
2020-05-21,3086.54
2020-05-22,2842.06
2020-05-23,2930.94
2020-05-24,807.5
2020-05-25,896.92
2020-05-26,2650.2
2020-05-27,2790.9
2020-05-28,2551.86
2020-05-29,2399.5
2020-05-30,2624.42
2020-05-31,2342.0
2020-06-01,2457.8
2020-06-02,2671.09
2020-06-03,2290.61
2020-06-04,2517.74
2020-06-05,2575.1
2020-06-06,2674.11
2020-06-07,2401.92
2020-06-08,2635.52
2020-06-09,2777.67
2020-06-10,3011.6
2020-06-11,2742.31
2020-06-12,2726.08
2020-06-13,1999.3
2020-06-14,1766.0
2020-06-15,2642.47
2020-06-16,2765.85
2020-06-17,2876.88
2020-06-18,2906.91
2020-06-19,2590.7
2020-06-20,2548.28
2020-06-21,2238.19
2020-06-22,2767.29
2020-06-23,3047.67
2020-06-24,2601.62
2020-06-25,2634.47
2020-06-26,2911.4
2020-06-27,2813.76
2020-06-28,2355.83
2020-06-29,2795.76
2020-06-30,2645.2
2020-07-01,2635.94
2020-07-02,2870.0
2020-07-03,2905.44
2020-07-04,2736.09
2020-07-05,2539.81
2020-07-06,2443.45
2020-07-07,2610.85
2020-07-08,2666.39
2020-07-09,2714.93
2020-07-10,2738.47
2020-07-11,2357.41
2020-07-12,2614.7
2020-07-13,1867.42
2020-07-14,1874.5
2020-07-15,2790.01
2020-07-16,2766.24
2020-07-17,2919.62
2020-07-18,2702.96
2020-07-19,2645.52
2020-07-20,2489.93
2020-07-21,2469.59
2020-07-22,3151.44
2020-07-23,2757.53
2020-07-24,2505.78
2020-07-25,2459.58
2020-07-26,2919.92
2020-07-27,2743.3
2020-07-28,2862.19
2020-07-29,2635.45
2020-07-30,2703.8
2020-07-31,2269.75
2020-08-01,1595.4
2020-08-02,1726.14
2020-08-03,1749.74
2020-08-04,1763.78
2020-08-05,1907.48
2020-08-06,2040.16
2020-08-07,1813.26
2020-08-08,1707.42
2020-08-09,2058.38
2020-08-10,1970.88
2020-08-11,1985.12
2020-08-12,2157.42
2020-08-13,1428.5
2020-08-14,2735.0
2020-08-15,2503.86
2020-08-16,1982.64
2020-08-17,2112.1
2020-08-18,2218.56
2020-08-19,2320.72
2020-08-20,1976.26
2020-08-21,1815.46
2020-08-22,1797.92
2020-08-23,1822.98
2020-08-24,1823.4
2020-08-25,1787.62
2020-08-26,2106.98
2020-08-27,1907.74
2020-08-28,1743.5
2020-08-29,1783.28
2020-08-30,1746.24
2020-08-31,1689.14
2020-09-01,2179.96
2020-09-02,2266.12
2020-09-03,1968.6
2020-09-04,1971.2
2020-09-05,1943.74
2020-09-06,2164.68
2020-09-07,2056.2
2020-09-08,1939.5
2020-09-09,2000.0
2020-09-10,2108.64
2020-09-11,2178.78
2020-09-12,1914.48
2020-09-13,891.5
2020-09-14,1264.32
2020-09-15,2665.3
2020-09-16,2741.24
2020-09-17,2588.72
2020-09-18,2314.62
2020-09-19,2224.64
2020-09-20,1926.88
2020-09-21,2319.7
2020-09-22,5250.28
2020-09-23,2829.52
2020-09-24,2434.4
2020-09-25,2484.26
2020-09-26,2596.42
2020-09-27,2037.98
2020-09-28,2458.28
2020-09-29,2313.9
2020-09-30,2229.7
2020-10-01,2044.26
2020-10-02,2161.66
2020-10-03,2329.26
2020-10-04,2175.38
2020-10-05,2980.38
2020-10-06,2658.36
2020-10-07,2303.56
2020-10-08,2095.24
2020-10-09,2157.06
2020-10-10,2106.32
2020-10-11,2527.16
2020-10-12,2089.44
2020-10-13,1358.6
2020-10-14,1300.46
2020-10-15,2021.02
2020-10-16,2225.56
2020-10-17,2705.38
2020-10-18,2082.64
2020-10-19,2475.58
2020-10-20,2288.6
2020-10-21,2113.34
2020-10-22,2401.72
2020-10-23,2254.28
2020-10-24,2103.18
2020-10-25,3425.9
2020-10-26,2680.86
2020-10-27,2472.22
2020-10-28,2315.68
2020-10-29,2340.02
2020-10-30,2088.68
2020-10-31,2352.98
2020-11-01,2174.54
2020-11-02,2441.04
2020-11-03,2746.18
2020-11-04,2606.68
2020-11-05,2204.84
2020-11-06,2404.86
2020-11-07,2344.28
2020-11-08,1951.1
2020-11-09,2516.0
2020-11-10,2269.9
2020-11-11,2409.02
2020-11-12,2505.7
2020-11-13,1228.8
2020-11-14,1086.82
2020-11-15,2317.24
2020-11-16,2331.58
2020-11-17,2650.22
2020-11-18,2388.0
2020-11-19,2583.4
2020-11-20,2421.88
2020-11-21,2332.3
2020-11-22,2066.1
2020-11-23,2579.44
2020-11-24,2702.06
2020-11-25,2785.34
2020-11-26,2703.84
2020-11-27,2723.36
2020-11-28,2681.72
2020-11-29,2299.04
2020-11-30,2684.18
2020-12-01,2549.62
2020-12-02,2778.7
2020-12-03,2532.38
2020-12-04,2585.8
2020-12-05,2538.16
2020-12-06,2603.96
2020-12-07,2970.76
2020-12-08,2807.26
2020-12-09,2770.6
2020-12-10,2469.36
2020-12-11,2634.04
2020-12-12,2697.42
2020-12-13,1047.5
2020-12-14,1255.0
2020-12-15,2777.98
2020-12-16,2604.82
2020-12-17,2853.12
2020-12-18,2479.64
2020-12-19,2757.38
2020-12-20,2251.43
2020-12-21,2454.9
2020-12-22,2778.32
2020-12-23,2490.86
2020-12-24,2355.58
2020-12-25,2558.54
2020-12-26,2968.22
2020-12-27,2734.6
2020-12-28,2560.1
2020-12-29,2445.7
2020-12-30,2389.88
2020-12-31,2877.1
2021-01-01,4728.8
2021-01-02,4761.8
2021-01-03,4506.8
2021-01-04,4442.48
2021-01-05,4608.8
2021-01-06,4819.64
2021-01-07,5065.6
2021-01-08,4512.0
2021-01-09,5081.16
2021-01-10,4637.52
2021-01-11,5101.6
2021-01-12,4902.8
2021-01-13,5001.92
2021-01-14,4707.0
2021-01-15,4722.2
2021-01-16,5022.24
2021-01-17,4803.2
2021-01-18,5263.8
2021-01-19,5032.2
2021-01-20,5005.55
2021-01-21,4793.36
2021-01-22,5150.4
2021-01-23,4713.6
2021-01-24,4528.8
2021-01-25,4670.2
2021-01-26,5114.4
2021-01-27,4922.5
2021-01-28,4918.2
2021-01-29,5313.2
2021-01-30,4822.0
2021-01-31,4988.2
2021-02-01,2878.79
2021-02-02,2920.53
2021-02-03,2664.69
2021-02-04,2954.32
2021-02-05,2967.68
2021-02-06,3147.57
2021-02-07,2689.24
2021-02-08,3716.32
2021-02-09,3166.26
2021-02-10,3211.4
2021-02-11,3395.06
2021-02-12,3092.06
2021-02-13,3121.12
2021-02-14,3005.76
2021-02-15,3199.91
2021-02-16,3124.75
2021-02-17,2986.23
2021-02-18,3544.64
2021-02-19,3315.25
2021-02-20,2990.14
2021-02-21,3482.44
2021-02-22,3636.28
2021-02-23,3140.86
2021-02-24,2982.34
2021-02-25,2992.77
2021-02-26,2971.31
2021-02-27,2898.26
2021-02-28,2815.22
2021-03-01,2653.48
2021-03-02,2946.71
2021-03-03,2732.54
2021-03-04,2691.6
2021-03-05,2670.04
2021-03-06,2974.64
2021-03-07,2534.06
2021-03-08,2801.97
2021-03-09,2474.52
2021-03-10,2615.64
2021-03-11,2829.94
2021-03-12,2707.18
2021-03-13,2701.74
2021-03-14,2638.4
2021-03-15,2868.08
2021-03-16,2877.61
