bulan,tanggal,volume_sampah_perhari(m3),tahun
9,1,2179.96,2020
9,2,2266.12,2020
9,3,1968.6,2020
9,4,1971.2,2020
9,5,1943.74,2020
9,6,2164.68,2020
9,7,2056.2,2020
9,8,1939.5,2020
9,9,2000.0,2020
9,10,2108.64,2020
9,11,2178.78,2020
9,12,1914.48,2020
9,13,891.5,2020
9,14,1264.32,2020
9,15,2665.3,2020
9,16,2741.24,2020
9,17,2588.72,2020
9,18,2314.62,2020
9,19,2224.64,2020
9,20,1926.88,2020
9,21,2319.7,2020
9,22,5250.28,2020
9,23,2829.52,2020
9,24,2434.4,2020
9,25,2484.26,2020
9,26,2596.42,2020
9,27,2037.98,2020
9,28,2458.28,2020
9,29,2313.9,2020
9,30,2229.7,2020
