country;subnational1;subnational2;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2020_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022
Indonesia;Aceh;Aceh Barat;0;281203;281203;281203;8219;1649;718;402;1121;2504;1219;2125;4471;4367;2057;4201;4940;7527;6329;2553;3408;4644;2571;1675;1522;3173;2534
Indonesia;Aceh;Aceh Barat;10;281203;260913;256871;8219;1648;718;402;1115;2490;1217;2124;4469;4365;2057;4188;4783;6615;5975;2508;3301;4441;2482;1607;1426;3070;2425
Indonesia;Aceh;Aceh Barat;15;281203;259283;254394;8219;1648;717;402;1114;2488;1216;2124;4469;4364;2057;4185;4772;6579;5957;2502;3291;4420;2473;1601;1415;3059;2414
Indonesia;Aceh;Aceh Barat;20;281203;258298;253668;8219;1647;717;401;1113;2485;1216;2123;4468;4363;2056;4183;4763;6549;5937;2498;3283;4401;2466;1597;1407;3047;2405
Indonesia;Aceh;Aceh Barat;25;281203;257565;252292;8219;1647;717;401;1113;2484;1216;2123;4468;4362;2056;4182;4759;6532;5926;2495;3277;4388;2460;1594;1401;3041;2401
Indonesia;Aceh;Aceh Barat;30;281203;256149;250456;8219;1647;717;401;1112;2482;1215;2123;4468;4361;2056;4179;4748;6503;5904;2490;3267;4364;2449;1587;1389;3026;2390
Indonesia;Aceh;Aceh Barat;50;281203;249560;240629;8219;1645;715;400;1099;2446;1209;2118;4458;4333;2052;4158;4665;6310;5746;2460;3203;4218;2385;1550;1336;2951;2332
Indonesia;Aceh;Aceh Barat;75;281203;231202;219250;8219;1623;709;391;1037;2249;1168;2046;4336;4116;2010;4015;4245;5276;5056;2292;2925;3730;2137;1413;1190;2672;2063
Indonesia;Aceh;Aceh Barat Daya;0;189314;189314;189314;2995;709;562;2962;475;362;639;220;729;7364;1745;2426;1652;1152;1450;942;1138;1152;1029;885;827;1264;1138
Indonesia;Aceh;Aceh Barat Daya;10;189314;179293;175951;2995;708;562;2961;475;361;639;220;729;7363;1745;2426;1651;1145;1432;930;1109;1120;1011;871;800;1218;1104
Indonesia;Aceh;Aceh Barat Daya;15;189314;178624;174556;2995;708;562;2961;474;361;639;220;729;7362;1745;2426;1651;1144;1431;929;1108;1117;1009;869;799;1215;1102
Indonesia;Aceh;Aceh Barat Daya;20;189314;178233;174119;2995;708;562;2960;474;361;639;220;729;7362;1745;2426;1651;1144;1429;929;1106;1114;1008;868;795;1211;1098
Indonesia;Aceh;Aceh Barat Daya;25;189314;177985;173119;2995;708;562;2960;474;361;639;220;729;7362;1745;2425;1651;1144;1429;928;1105;1113;1007;867;794;1208;1097
Indonesia;Aceh;Aceh Barat Daya;30;189314;177520;172409;2995;708;562;2960;474;360;639;220;729;7362;1745;2425;1651;1144;1428;928;1103;1111;1005;866;792;1206;1095
Indonesia;Aceh;Aceh Barat Daya;50;189314;175238;167989;2995;708;562;2959;473;360;638;219;728;7355;1744;2421;1650;1139;1419;922;1088;1095;995;861;781;1185;1081
Indonesia;Aceh;Aceh Barat Daya;75;189314;170014;159698;2995;699;558;2938;460;354;628;214;722;7282;1732;2398;1634;1120;1367;893;1028;1017;909;820;739;1102;1002
Indonesia;Aceh;Aceh Besar;0;290557;290557;290557;5161;580;264;65;1152;893;319;634;157;1698;530;2265;363;737;2041;622;1382;2707;1107;1244;1667;1108;1243
Indonesia;Aceh;Aceh Besar;10;290557;211754;209695;5161;577;263;65;1143;886;316;628;157;1689;529;2248;360;519;1830;553;1124;2280;930;984;1361;946;1066
Indonesia;Aceh;Aceh Besar;15;290557;207634;205279;5161;576;263;65;1142;885;315;627;157;1688;528;2246;360;510;1816;549;1096;2239;912;964;1328;929;1044
Indonesia;Aceh;Aceh Besar;20;290557;205208;204172;5161;576;262;64;1140;883;315;626;157;1686;528;2244;359;503;1801;544;1078;2209;902;952;1309;920;1029
Indonesia;Aceh;Aceh Besar;25;290557;203398;202410;5161;576;262;64;1140;882;314;625;157;1686;528;2243;359;498;1795;543;1066;2195;894;944;1301;913;1020
Indonesia;Aceh;Aceh Besar;30;290557;200000;199885;5161;575;262;64;1138;881;314;624;157;1684;527;2241;359;489;1781;537;1042;2149;873;924;1272;899;1000
Indonesia;Aceh;Aceh Besar;50;290557;190303;187956;5161;566;260;64;1123;858;309;613;156;1670;523;2220;355;463;1715;516;953;2017;815;864;1177;846;939
Indonesia;Aceh;Aceh Besar;75;290557;170788;166687;5161;531;246;61;1027;733;277;565;148;1591;495;2099;327;373;1476;426;696;1610;657;696;927;704;762
Indonesia;Aceh;Aceh Jaya;0;386638;386638;386638;7523;1494;542;308;2162;5052;420;1918;3126;3161;780;3059;3226;3340;4096;1524;2981;4216;2643;1763;2276;2848;2919
Indonesia;Aceh;Aceh Jaya;10;386638;376041;372133;7523;1493;541;308;2141;5012;419;1915;3122;3158;779;3052;3208;3223;4020;1491;2845;4053;2555;1692;2142;2735;2819
Indonesia;Aceh;Aceh Jaya;15;386638;375243;370825;7523;1493;541;308;2135;5001;418;1915;3121;3158;779;3051;3206;3215;4011;1488;2833;4041;2547;1688;2129;2725;2806
Indonesia;Aceh;Aceh Jaya;20;386638;374571;370460;7523;1493;541;308;2131;4990;417;1914;3121;3158;779;3050;3204;3205;4003;1487;2821;4025;2537;1682;2118;2709;2795
Indonesia;Aceh;Aceh Jaya;25;386638;374169;369783;7523;1493;541;308;2127;4983;417;1914;3120;3157;779;3048;3203;3198;4000;1486;2813;4015;2530;1678;2109;2703;2789
Indonesia;Aceh;Aceh Jaya;30;386638;373389;368859;7523;1493;541;308;2123;4978;417;1914;3120;3157;779;3047;3200;3187;3991;1485;2798;3996;2518;1672;2093;2688;2777
Indonesia;Aceh;Aceh Jaya;50;386638;368769;363168;7523;1491;540;307;2070;4870;415;1911;3115;3152;778;3034;3180;3107;3934;1468;2696;3857;2446;1627;2012;2633;2715
